Frequency (Hz)	Level (dB)
43.066406	-16.576483
86.132812	-15.729084
129.199219	-17.213062
172.265625	-18.320839
215.332031	-19.266216
258.398438	-19.952576
301.464844	-20.828449
344.531250	-21.679375
387.597656	-22.094179
430.664062	-22.415447
473.730469	-22.760359
516.796875	-23.179462
559.863281	-22.977068
602.929688	-22.601322
645.996094	-22.730513
689.062500	-22.668562
732.128906	-22.441387
775.195312	-22.388691
818.261719	-22.427374
861.328125	-22.374077
904.394531	-22.711098
947.460938	-22.637899
990.527344	-22.587513
1033.593750	-22.594290
1076.660156	-22.354681
1119.726562	-22.508215
1162.792969	-22.298325
1205.859375	-22.058668
1248.925781	-22.311016
1291.992188	-23.003408
1335.058594	-22.382500
1378.125000	-21.843304
1421.191406	-22.008202
1464.257812	-22.239859
1507.324219	-21.974533
1550.390625	-22.325598
1593.457031	-22.391098
1636.523438	-22.362425
1679.589844	-22.351982
1722.656250	-23.103672
1765.722656	-22.843208
1808.789062	-22.086790
1851.855469	-22.361752
1894.921875	-22.637590
1937.988281	-22.580654
1981.054688	-22.495558
2024.121094	-23.336010
2067.187500	-23.393633
2110.253906	-23.013206
2153.320312	-22.763865
2196.386719	-23.253624
2239.453125	-23.413925
2282.519531	-23.279722
2325.585938	-23.600983
2368.652344	-23.724266
2411.718750	-24.052902
2454.785156	-24.202677
2497.851562	-24.262201
2540.917969	-24.070341
2583.984375	-24.040859
2627.050781	-24.394999
2670.117188	-24.328192
2713.183594	-24.467194
2756.250000	-24.834145
2799.316406	-24.645407
2842.382812	-24.992535
2885.449219	-25.142849
2928.515625	-25.166609
2971.582031	-25.117718
3014.648438	-25.339382
3057.714844	-25.183779
3100.781250	-25.334681
3143.847656	-25.683134
3186.914062	-25.654278
3229.980469	-25.131475
3273.046875	-25.409363
3316.113281	-25.829622
3359.179688	-25.530973
3402.246094	-25.747337
3445.312500	-26.070856
3488.378906	-26.539827
3531.445312	-26.800837
3574.511719	-26.038195
3617.578125	-25.987537
3660.644531	-26.505941
3703.710938	-27.115103
3746.777344	-27.058329
3789.843750	-26.982517
3832.910156	-27.286366
3875.976562	-27.463871
3919.042969	-27.592068
3962.109375	-27.707701
4005.175781	-27.511974
