Frequency (Hz)	Level (dB)
43.066406	-19.857468
86.132812	-23.357643
129.199219	-25.398329
172.265625	-26.500196
215.332031	-27.482651
258.398438	-28.237530
301.464844	-28.827669
344.531250	-29.656387
387.597656	-30.136663
430.664062	-30.670300
473.730469	-31.090904
516.796875	-31.587175
559.863281	-31.950121
602.929688	-31.812698
645.996094	-32.136852
689.062500	-32.725243
732.128906	-32.768349
775.195312	-33.102093
818.261719	-33.231533
861.328125	-33.579617
904.394531	-34.016941
947.460938	-34.284237
990.527344	-34.216331
1033.593750	-34.477203
1076.660156	-34.529228
1119.726562	-34.739307
1162.792969	-35.029427
1205.859375	-34.957584
1248.925781	-35.151569
1291.992188	-35.541897
1335.058594	-35.657608
1378.125000	-35.335670
1421.191406	-35.864990
1464.257812	-36.206699
1507.324219	-36.037144
1550.390625	-36.036568
1593.457031	-36.333111
1636.523438	-36.498352
1679.589844	-36.481194
1722.656250	-36.458923
1765.722656	-36.682827
1808.789062	-36.959774
1851.855469	-36.908020
1894.921875	-37.350567
1937.988281	-37.386406
1981.054688	-37.465454
2024.121094	-37.524364
2067.187500	-37.586819
2110.253906	-37.730183
2153.320312	-37.610294
2196.386719	-37.721512
2239.453125	-37.676235
2282.519531	-37.691944
2325.585938	-37.730515
2368.652344	-37.905903
2411.718750	-38.230095
2454.785156	-38.542816
2497.851562	-38.498539
2540.917969	-38.384834
2583.984375	-38.447205
2627.050781	-38.536404
2670.117188	-38.664265
2713.183594	-38.540504
2756.250000	-38.714890
2799.316406	-38.662998
2842.382812	-38.824276
2885.449219	-38.894272
2928.515625	-38.855484
2971.582031	-39.175987
3014.648438	-39.321476
3057.714844	-39.116264
3100.781250	-39.237839
3143.847656	-39.088753
3186.914062	-39.063183
3229.980469	-39.190807
3273.046875	-39.452217
3316.113281	-39.401375
3359.179688	-39.518604
3402.246094	-39.489967
3445.312500	-39.596226
3488.378906	-39.848293
3531.445312	-39.615143
3574.511719	-39.802498
3617.578125	-40.134899
3660.644531	-39.778099
3703.710938	-39.811283
3746.777344	-40.114029
3789.843750	-40.208920
3832.910156	-40.155155
3875.976562	-39.973995
3919.042969	-40.404053
3962.109375	-40.397324
4005.175781	-40.293343
4048.242188	-40.359726
4091.308594	-40.492981
4134.375000	-40.404266
4177.441406	-40.419930
4220.507812	-40.398808
4263.574219	-40.576527
4306.640625	-40.699333
4349.707031	-40.711174
4392.773438	-40.737480
4435.839844	-40.861782
4478.906250	-40.751137
4521.972656	-41.056282
4565.039062	-40.997978
4608.105469	-40.906036
4651.171875	-41.149445
4694.238281	-41.151134
4737.304688	-40.984047
4780.371094	-40.869804
4823.437500	-41.076622
4866.503906	-41.281418
4909.570312	-41.341797
4952.636719	-41.241222
4995.703125	-41.344521
5038.769531	-41.655338
5081.835938	-41.308838
5124.902344	-41.393665
5167.968750	-41.390923
5211.035156	-41.467407
5254.101562	-41.723991
5297.167969	-41.657883
5340.234375	-41.477520
5383.300781	-41.599403
5426.367188	-41.851131
5469.433594	-41.894176
5512.500000	-41.867039
5555.566406	-41.635098
5598.632812	-41.662067
5641.699219	-41.755611
5684.765625	-41.885468
5727.832031	-42.006805
5770.898438	-42.136288
5813.964844	-42.087437
5857.031250	-41.998341
5900.097656	-42.166386
5943.164062	-41.858543
5986.230469	-41.941677
6029.296875	-42.100143
6072.363281	-42.142918
6115.429688	-41.998943
6158.496094	-42.077522
6201.562500	-42.401894
6244.628906	-42.455898
6287.695312	-42.390823
6330.761719	-42.410248
6373.828125	-42.246506
6416.894531	-42.180386
6459.960938	-42.045177
6503.027344	-42.364841
6546.093750	-42.667522
6589.160156	-42.779678
6632.226562	-42.870548
6675.292969	-42.760471
6718.359375	-42.736050
6761.425781	-42.871647
6804.492188	-42.877384
6847.558594	-42.485615
6890.625000	-42.629211
6933.691406	-42.476715
6976.757812	-42.511654
7019.824219	-42.867783
7062.890625	-43.031311
7105.957031	-43.207478
7149.023438	-43.392143
7192.089844	-43.057259
7235.156250	-43.001232
7278.222656	-42.853371
7321.289062	-42.976284
7364.355469	-42.808128
7407.421875	-43.057945
7450.488281	-43.063210
7493.554688	-43.168835
7536.621094	-43.399178
7579.687500	-43.312584
7622.753906	-43.301086
7665.820312	-43.448975
7708.886719	-43.393742
7751.953125	-43.291542
7795.019531	-43.245121
7838.085938	-43.236362
7881.152344	-43.281986
7924.218750	-43.283543
7967.285156	-43.591961
8010.351562	-43.561314
8053.417969	-43.392456
8096.484375	-43.435532
8139.550781	-43.458466
8182.617188	-43.330921
8225.683594	-43.386898
8268.750000	-43.488743
8311.816406	-43.577053
8354.882812	-43.690918
8397.949219	-43.718948
8441.015625	-44.023396
8484.082031	-43.902199
8527.148438	-43.941208
8570.214844	-43.903145
8613.281250	-43.686832
8656.347656	-43.616909
8699.414062	-43.655849
8742.480469	-44.137329
8785.546875	-43.681110
8828.613281	-43.561581
8871.679688	-43.912983
8914.746094	-44.103157
8957.812500	-43.990654
9000.878906	-43.951080
9043.945312	-43.952713
9087.011719	-43.911221
9130.078125	-43.889729
9173.144531	-44.042130
9216.210938	-44.113419
9259.277344	-44.155968
9302.343750	-44.288628
9345.410156	-44.296490
9388.476562	-44.359390
9431.542969	-44.218346
9474.609375	-44.034904
9517.675781	-44.163422
9560.742188	-44.245186
9603.808594	-44.263672
9646.875000	-44.543156
9689.941406	-44.634068
9733.007812	-44.504547
9776.074219	-44.411690
9819.140625	-44.549244
9862.207031	-44.466766
9905.273438	-44.504772
9948.339844	-44.545254
9991.406250	-44.674416
10034.472656	-44.610867
10077.539062	-44.266376
10120.605469	-44.338882
10163.671875	-44.389763
10206.738281	-44.829803
10249.804688	-44.939579
10292.871094	-44.502838
10335.937500	-44.512039
10379.003906	-44.652946
10422.070312	-44.538795
10465.136719	-44.572853
10508.203125	-44.592598
10551.269531	-44.731728
10594.335938	-44.712112
10637.402344	-44.794926
10680.468750	-44.866871
10723.535156	-44.689663
10766.601562	-44.910534
10809.667969	-44.881371
10852.734375	-44.626553
10895.800781	-44.877075
10938.867188	-44.905071
10981.933594	-44.708305
11025.000000	-44.759212
11068.066406	-44.808086
11111.132812	-44.764553
11154.199219	-44.917461
11197.265625	-45.168594
11240.332031	-45.023922
11283.398438	-44.847786
11326.464844	-44.757496
11369.531250	-44.963371
11412.597656	-45.069798
11455.664062	-45.093616
11498.730469	-45.023300
11541.796875	-44.939270
11584.863281	-45.058029
11627.929688	-45.042408
11670.996094	-45.298618
11714.062500	-45.019611
11757.128906	-44.887390
11800.195312	-45.141693
11843.261719	-45.230968
11886.328125	-45.085453
11929.394531	-45.235455
11972.460938	-45.248947
12015.527344	-45.160175
12058.593750	-45.068073
12101.660156	-45.005089
12144.726562	-45.105427
12187.792969	-45.400661
12230.859375	-45.454525
12273.925781	-45.301762
12316.992188	-45.453869
12360.058594	-45.339733
12403.125000	-45.312527
12446.191406	-45.418911
12489.257812	-45.565899
12532.324219	-45.579639
12575.390625	-45.476093
12618.457031	-45.571037
12661.523438	-45.586445
12704.589844	-45.339363
12747.656250	-45.504852
12790.722656	-45.577965
12833.789062	-45.677029
12876.855469	-45.631046
12919.921875	-45.396622
12962.988281	-45.586468
