Frequency (Hz)	Level (dB)
43.066406	-29.178749
86.132812	-27.906725
129.199219	-27.561178
172.265625	-27.274256
215.332031	-27.331896
258.398438	-27.424553
301.464844	-27.550854
344.531250	-27.991920
387.597656	-28.192764
430.664062	-28.458914
473.730469	-28.670225
516.796875	-28.996670
559.863281	-29.205557
602.929688	-28.958561
645.996094	-29.183992
689.062500	-29.691902
732.128906	-29.640902
775.195312	-29.946964
818.261719	-30.041605
861.328125	-30.363781
904.394531	-30.760473
947.460938	-31.024172
990.527344	-30.961243
1033.593750	-31.220505
1076.660156	-31.287970
1119.726562	-31.564331
1162.792969	-31.859137
1205.859375	-31.806229
1248.925781	-32.040199
1291.992188	-32.489445
1335.058594	-32.641224
1378.125000	-32.354591
1421.191406	-32.966316
1464.257812	-33.357670
1507.324219	-33.251675
1550.390625	-33.331459
1593.457031	-33.670551
1636.523438	-33.917877
1679.589844	-33.969448
1722.656250	-34.009068
1765.722656	-34.316551
1808.789062	-34.672874
1851.855469	-34.745136
1894.921875	-35.286526
1937.988281	-35.385456
1981.054688	-35.521076
2024.121094	-35.701447
2067.187500	-35.837391
2110.253906	-36.085808
2153.320312	-36.083920
2196.386719	-36.285336
2239.453125	-36.337303
2282.519531	-36.444561
2325.585938	-36.566761
2368.652344	-36.850975
2411.718750	-37.274490
2454.785156	-37.694965
2497.851562	-37.762512
2540.917969	-37.728195
2583.984375	-37.892498
2627.050781	-38.099770
2670.117188	-38.334099
2713.183594	-38.323299
2756.250000	-38.594986
2799.316406	-38.648232
2842.382812	-38.910538
2885.449219	-39.115963
2928.515625	-39.164055
2971.582031	-39.596798
3014.648438	-39.851566
3057.714844	-39.758133
3100.781250	-39.983067
3143.847656	-39.994564
3186.914062	-40.061382
3229.980469	-40.256371
3273.046875	-40.650295
3316.113281	-40.736816
3359.179688	-40.964649
3402.246094	-41.036106
3445.312500	-41.247768
3488.378906	-41.638252
3531.445312	-41.496605
3574.511719	-41.777176
3617.578125	-42.222626
3660.644531	-41.980656
3703.710938	-42.101677
3746.777344	-42.531498
3789.843750	-42.748482
3832.910156	-42.794167
3875.976562	-42.716984
3919.042969	-43.229916
3962.109375	-43.348396
4005.175781	-43.387447
4048.242188	-43.491802
4091.308594	-43.731453
4134.375000	-43.769756
4177.441406	-43.905087
4220.507812	-43.994144
4263.574219	-44.286476
4306.640625	-44.531555
4349.707031	-44.679974
4392.773438	-44.773621
4435.839844	-45.007477
4478.906250	-44.976643
4521.972656	-45.378479
4565.039062	-45.461643
4608.105469	-45.492928
4651.171875	-45.817684
4694.238281	-45.934040
4737.304688	-45.839310
4780.371094	-45.820530
4823.437500	-46.134197
4866.503906	-46.448002
4909.570312	-46.599552
4952.636719	-46.574558
4995.703125	-46.770351
5038.769531	-47.218170
5081.835938	-46.995029
5124.902344	-47.165211
5167.968750	-47.280666
5211.035156	-47.447273
5254.101562	-47.785892
5297.167969	-47.867886
5340.234375	-47.801342
5383.300781	-47.972942
5426.367188	-48.318783
5469.433594	-48.488747
5512.500000	-48.567997
5555.566406	-48.390690
5598.632812	-48.510303
5641.699219	-48.692310
5684.765625	-48.900810
5727.832031	-49.115086
5770.898438	-49.370022
5813.964844	-49.415070
5857.031250	-49.430500
5900.097656	-49.711380
5943.164062	-49.492191
5986.230469	-49.653507
6029.296875	-49.887344
6072.363281	-50.015900
6115.429688	-49.953533
6158.496094	-50.107925
6201.562500	-50.562023
6244.628906	-50.690571
6287.695312	-50.693325
