Frequency (Hz)	Level (dB)
43.066406	-17.775761
86.132812	-21.284948
129.199219	-23.320784
172.265625	-24.422092
215.332031	-25.403561
258.398438	-26.151438
301.464844	-26.745708
344.531250	-27.573040
387.597656	-28.045174
430.664062	-28.581142
473.730469	-29.031118
516.796875	-29.509888
559.863281	-29.859070
602.929688	-29.732946
645.996094	-30.056433
689.062500	-30.638741
732.128906	-30.676853
775.195312	-31.009104
818.261719	-31.148245
861.328125	-31.510233
904.394531	-31.922672
947.460938	-32.202396
990.527344	-32.132870
1033.593750	-32.375614
1076.660156	-32.448307
1119.726562	-32.676666
1162.792969	-32.957790
1205.859375	-32.878319
1248.925781	-33.059113
1291.992188	-33.457901
1335.058594	-33.574783
1378.125000	-33.251698
1421.191406	-33.779285
1464.257812	-34.119701
1507.324219	-33.957287
1550.390625	-33.957592
1593.457031	-34.245667
1636.523438	-34.408417
1679.589844	-34.396843
1722.656250	-34.367828
1765.722656	-34.597992
1808.789062	-34.874531
1851.855469	-34.833111
1894.921875	-35.274792
1937.988281	-35.303711
1981.054688	-35.379189
2024.121094	-35.452438
2067.187500	-35.505814
2110.253906	-35.628994
2153.320312	-35.528164
2196.386719	-35.649174
2239.453125	-35.597237
2282.519531	-35.599983
2325.585938	-35.638012
2368.652344	-35.817532
2411.718750	-36.141289
2454.785156	-36.448929
2497.851562	-36.408493
2540.917969	-36.302204
2583.984375	-36.361378
2627.050781	-36.441669
2670.117188	-36.570881
2713.183594	-36.453602
2756.250000	-36.629868
2799.316406	-36.584354
2842.382812	-36.757198
2885.449219	-36.809952
2928.515625	-36.768711
2971.582031	-37.091801
3014.648438	-37.235573
3057.714844	-37.032009
3100.781250	-37.152222
3143.847656	-37.001469
3186.914062	-36.969803
3229.980469	-37.100658
3273.046875	-37.355820
3316.113281	-37.313297
3359.179688	-37.430248
3402.246094	-37.416859
3445.312500	-37.520863
3488.378906	-37.788940
3531.445312	-37.541573
3574.511719	-37.718410
3617.578125	-38.065399
3660.644531	-37.703354
3703.710938	-37.730583
3746.777344	-38.044247
3789.843750	-38.138615
3832.910156	-38.072254
3875.976562	-37.883072
3919.042969	-38.331238
3962.109375	-38.322392
4005.175781	-38.236980
4048.242188	-38.320473
4091.308594	-38.445847
4134.375000	-38.330032
4177.441406	-38.343761
4220.507812	-38.307823
4263.574219	-38.498882
4306.640625	-38.632877
4349.707031	-38.635628
4392.773438	-38.648846
4435.839844	-38.787781
4478.906250	-38.672955
4521.972656	-38.970039
4565.039062	-38.911144
4608.105469	-38.827213
4651.171875	-39.086056
4694.238281	-39.071903
4737.304688	-38.894836
4780.371094	-38.787113
4823.437500	-38.983631
4866.503906	-39.202778
4909.570312	-39.264591
4952.636719	-39.142681
4995.703125	-39.252132
5038.769531	-39.575195
5081.835938	-39.241966
5124.902344	-39.313885
5167.968750	-39.295666
5211.035156	-39.383900
5254.101562	-39.644920
5297.167969	-39.581326
5340.234375	-39.398563
5383.300781	-39.523617
5426.367188	-39.759373
5469.433594	-39.815392
5512.500000	-39.787743
5555.566406	-39.539543
5598.632812	-39.573246
5641.699219	-39.673737
5684.765625	-39.798676
5727.832031	-39.917046
5770.898438	-40.040714
5813.964844	-40.000648
5857.031250	-39.921509
5900.097656	-40.079163
5943.164062	-39.760658
5986.230469	-39.853222
6029.296875	-40.022568
6072.363281	-40.049744
6115.429688	-39.904572
6158.496094	-39.982487
6201.562500	-40.308006
6244.628906	-40.374947
6287.695312	-40.315105
6330.761719	-40.340488
6373.828125	-40.167561
6416.894531	-40.085838
6459.960938	-39.950661
6503.027344	-40.271706
6546.093750	-40.579193
6589.160156	-40.699169
6632.226562	-40.792885
6675.292969	-40.662777
6718.359375	-40.649517
6761.425781	-40.786995
6804.492188	-40.782425
6847.558594	-40.388367
6890.625000	-40.539299
6933.691406	-40.386780
6976.757812	-40.422260
7019.824219	-40.773979
7062.890625	-40.938942
7105.957031	-41.118053
7149.023438	-41.303471
7192.089844	-40.962109
7235.156250	-40.908695
7278.222656	-40.776451
7321.289062	-40.901814
7364.355469	-40.712128
7407.421875	-40.959492
7450.488281	-40.978386
7493.554688	-41.098026
7536.621094	-41.330250
7579.687500	-41.226158
7622.753906	-41.224400
7665.820312	-41.369762
7708.886719	-41.301067
7751.953125	-41.194103
7795.019531	-41.164928
7838.085938	-41.157299
7881.152344	-41.202309
7924.218750	-41.204086
7967.285156	-41.495098
8010.351562	-41.467655
8053.417969	-41.299999
8096.484375	-41.339622
8139.550781	-41.368698
8182.617188	-41.243008
8225.683594	-41.288353
8268.750000	-41.391396
8311.816406	-41.482285
8354.882812	-41.599056
8397.949219	-41.631447
8441.015625	-41.940739
8484.082031	-41.826733
8527.148438	-41.860962
8570.214844	-41.805611
8613.281250	-41.605167
8656.347656	-41.524685
8699.414062	-41.564156
8742.480469	-42.045563
8785.546875	-41.591267
8828.613281	-41.465225
8871.679688	-41.832840
8914.746094	-42.018936
8957.812500	-41.899929
9000.878906	-41.862717
9043.945312	-41.862549
9087.011719	-41.823437
9130.078125	-41.799049
9173.144531	-41.941746
9216.210938	-42.013939
9259.277344	-42.061073
9302.343750	-42.191185
9345.410156	-42.200169
9388.476562	-42.266193
9431.542969	-42.124237
9474.609375	-41.942093
9517.675781	-42.070797
9560.742188	-42.165630
9603.808594	-42.204697
9646.875000	-42.470684
9689.941406	-42.556850
9733.007812	-42.436878
9776.074219	-42.363258
9819.140625	-42.467133
9862.207031	-42.387012
9905.273438	-42.422729
9948.339844	-42.452950
9991.406250	-42.590347
10034.472656	-42.519459
10077.539062	-42.171707
10120.605469	-42.247902
10163.671875	-42.305786
10206.738281	-42.735359
10249.804688	-42.848038
10292.871094	-42.413929
10335.937500	-42.428162
10379.003906	-42.571930
10422.070312	-42.449974
10465.136719	-42.480202
10508.203125	-42.500404
10551.269531	-42.633007
10594.335938	-42.617340
10637.402344	-42.714939
10680.468750	-42.807175
10723.535156	-42.616039
10766.601562	-42.822731
10809.667969	-42.791473
10852.734375	-42.537090
10895.800781	-42.785980
10938.867188	-42.816250
10981.933594	-42.618092
11025.000000	-42.668709
11068.066406	-42.724823
11111.132812	-42.664837
11154.199219	-42.824123
11197.265625	-43.073254
11240.332031	-42.927795
11283.398438	-42.760387
11326.464844	-42.674984
11369.531250	-42.865879
11412.597656	-42.984230
