Frequency (Hz)	Level (dB)
43.066406	-29.014019
86.132812	-28.442842
129.199219	-28.894985
172.265625	-29.186901
215.332031	-29.570549
258.398438	-29.831825
301.464844	-30.047569
344.531250	-30.499525
387.597656	-30.639400
430.664062	-30.834040
473.730469	-30.981329
516.796875	-31.258600
559.863281	-31.384596
602.929688	-31.078865
645.996094	-31.266815
689.062500	-31.729185
732.128906	-31.617100
775.195312	-31.855644
818.261719	-31.907072
861.328125	-32.197613
904.394531	-32.559334
947.460938	-32.792244
990.527344	-32.693996
1033.593750	-32.925541
1076.660156	-32.977760
1119.726562	-33.231880
1162.792969	-33.507545
1205.859375	-33.419518
1248.925781	-33.650978
1291.992188	-34.105217
1335.058594	-34.266708
1378.125000	-33.958385
1421.191406	-34.549667
1464.257812	-34.917889
1507.324219	-34.794571
1550.390625	-34.844910
1593.457031	-35.191021
1636.523438	-35.421234
1679.589844	-35.460896
1722.656250	-35.515865
1765.722656	-35.819805
1808.789062	-36.183578
1851.855469	-36.241428
1894.921875	-36.776070
1937.988281	-36.879578
1981.054688	-37.007404
2024.121094	-37.161667
2067.187500	-37.278725
2110.253906	-37.530006
2153.320312	-37.521664
2196.386719	-37.723549
2239.453125	-37.812447
2282.519531	-37.911106
2325.585938	-38.045467
2368.652344	-38.309681
2411.718750	-38.731880
2454.785156	-39.145355
2497.851562	-39.210609
2540.917969	-39.166088
2583.984375	-39.336948
2627.050781	-39.539375
2670.117188	-39.753670
2713.183594	-39.758293
2756.250000	-40.031708
2799.316406	-40.073051
2842.382812	-40.345150
2885.449219	-40.538311
2928.515625	-40.596344
2971.582031	-41.003593
3014.648438	-41.267487
3057.714844	-41.200813
3100.781250	-41.419319
3143.847656	-41.423637
3186.914062	-41.489414
3229.980469	-41.688744
3273.046875	-42.098164
3316.113281	-42.170963
3359.179688	-42.367367
3402.246094	-42.421310
3445.312500	-42.668251
3488.378906	-43.020676
3531.445312	-42.915665
3574.511719	-43.198158
3617.578125	-43.637657
3660.644531	-43.415028
3703.710938	-43.533779
3746.777344	-43.925499
3789.843750	-44.114872
3832.910156	-44.204700
3875.976562	-44.151600
3919.042969	-44.644024
3962.109375	-44.761932
4005.175781	-44.794945
4048.242188	-44.903976
4091.308594	-45.145981
4134.375000	-45.179951
4177.441406	-45.327938
4220.507812	-45.420635
4263.574219	-45.707878
4306.640625	-45.926670
4349.707031	-46.081177
4392.773438	-46.192726
4435.839844	-46.427414
4478.906250	-46.389076
4521.972656	-46.787998
4565.039062	-46.877052
4608.105469	-46.911728
4651.171875	-47.209072
4694.238281	-47.355545
4737.304688	-47.277027
4780.371094	-47.264698
4823.437500	-47.570831
4866.503906	-47.862705
4909.570312	-48.007202
4952.636719	-47.995625
4995.703125	-48.187130
5038.769531	-48.624901
5081.835938	-48.404350
5124.902344	-48.579971
5167.968750	-48.693954
5211.035156	-48.847088
5254.101562	-49.181274
5297.167969	-49.276199
5340.234375	-49.222393
5383.300781	-49.388309
5426.367188	-49.758450
5469.433594	-49.906498
5512.500000	-49.961174
5555.566406	-49.810646
5598.632812	-49.938057
5641.699219	-50.113647
5684.765625	-50.322262
5727.832031	-50.543655
5770.898438	-50.806759
5813.964844	-50.825199
5857.031250	-50.822578
5900.097656	-51.132851
5943.164062	-50.934875
5986.230469	-51.089294
6029.296875	-51.285954
6072.363281	-51.411221
6115.429688	-51.353405
6158.496094	-51.529648
6201.562500	-51.952885
6244.628906	-52.070236
6287.695312	-52.090488
6330.761719	-52.223686
6373.828125	-52.184608
6416.894531	-52.235203
6459.960938	-52.171234
6503.027344	-52.533379
6546.093750	-52.949028
6589.160156	-53.129292
6632.226562	-53.307617
6675.292969	-53.266811
6718.359375	-53.336773
6761.425781	-53.520775
6804.492188	-53.638271
6847.558594	-53.355991
6890.625000	-53.562447
6933.691406	-53.516270
6976.757812	-53.639645
7019.824219	-54.116241
7062.890625	-54.381214
7105.957031	-54.569199
7149.023438	-54.816719
7192.089844	-54.657570
7235.156250	-54.644947
7278.222656	-54.512527
7321.289062	-54.736649
7364.355469	-54.682117
7407.421875	-54.970066
7450.488281	-55.057781
7493.554688	-55.280087
7536.621094	-55.518826
7579.687500	-55.529682
7622.753906	-55.599148
7665.820312	-55.800949
7708.886719	-55.878033
7751.953125	-55.874134
7795.019531	-55.916893
7838.085938	-55.955284
7881.152344	-56.059223
7924.218750	-56.137302
7967.285156	-56.501766
8010.351562	-56.544586
8053.417969	-56.477425
8096.484375	-56.579647
8139.550781	-56.670345
8182.617188	-56.648949
8225.683594	-56.818439
8268.750000	-56.981030
8311.816406	-57.085732
8354.882812	-57.289520
8397.949219	-57.385075
8441.015625	-57.732624
8484.082031	-57.659473
8527.148438	-57.788216
8570.214844	-57.835529
8613.281250	-57.698891
8656.347656	-57.750378
8699.414062	-57.832039
8742.480469	-58.387562
8785.546875	-57.940033
8828.613281	-57.919598
8871.679688	-58.341553
8914.746094	-58.612801
8957.812500	-58.583008
9000.878906	-58.621243
9043.945312	-58.663261
9087.011719	-58.670544
9130.078125	-58.759075
9173.144531	-58.952999
9216.210938	-59.019192
9259.277344	-59.210472
9302.343750	-59.414982
9345.410156	-59.490948
9388.476562	-59.571190
9431.542969	-59.489231
9474.609375	-59.386078
9517.675781	-59.543095
9560.742188	-59.740055
9603.808594	-59.794163
9646.875000	-60.183407
9689.941406	-60.318264
9733.007812	-60.244293
9776.074219	-60.233875
9819.140625	-60.438717
9862.207031	-60.367107
9905.273438	-60.456608
9948.339844	-60.595345
9991.406250	-60.741184
10034.472656	-60.659348
10077.539062	-60.398636
10120.605469	-60.640511
10163.671875	-60.821651
10206.738281	-61.275013
10249.804688	-61.458412
10292.871094	-61.015812
10335.937500	-61.082733
10379.003906	-61.300323
10422.070312	-61.302650
10465.136719	-61.419907
10508.203125	-61.432365
10551.269531	-61.694344
10594.335938	-61.724812
10637.402344	-61.755634
10680.468750	-61.883827
10723.535156	-61.820076
10766.601562	-62.134148
10809.667969	-62.177155
10852.734375	-61.914700
10895.800781	-62.189640
10938.867188	-62.289726
10981.933594	-62.220066
11025.000000	-62.345261
11068.066406	-62.399574
11111.132812	-62.385708
11154.199219	-62.672031
11197.265625	-62.935738
11240.332031	-62.844822
11283.398438	-62.745773
11326.464844	-62.666622
11369.531250	-62.857864
11412.597656	-63.031063
11455.664062	-63.179062
11498.730469	-63.198776
11541.796875	-63.116116
11584.863281	-63.271717
11627.929688	-63.360336
11670.996094	-63.751381
11714.062500	-63.539959
11757.128906	-63.372913
11800.195312	-63.552631
11843.261719	-63.675812
11886.328125	-63.621059
11929.394531	-63.829914
11972.460938	-63.932602
12015.527344	-63.931995
12058.593750	-63.918011
12101.660156	-63.847111
12144.726562	-63.981346
12187.792969	-64.366714
12230.859375	-64.440590
12273.925781	-64.366127
12316.992188	-64.568871
12360.058594	-64.495453
12403.125000	-64.536705
12446.191406	-64.695053
12489.257812	-64.873062
12532.324219	-64.881920
12575.390625	-64.891396
12618.457031	-65.011986
12661.523438	-65.137657
12704.589844	-64.990707
12747.656250	-65.190086
12790.722656	-65.319382
12833.789062	-65.433960
12876.855469	-65.406540
12919.921875	-65.200500
12962.988281	-65.493294
13006.054688	-65.610260
13049.121094	-65.760155
13092.187500	-65.904861
13135.253906	-65.741013
13178.320312	-65.932304
13221.386719	-65.721085
13264.453125	-65.884850
13307.519531	-66.084511
13350.585938	-66.011154
13393.652344	-66.134331
13436.718750	-66.168648
13479.785156	-66.415520
13522.851562	-66.535172
13565.917969	-66.476761
13608.984375	-66.588203
13652.050781	-66.358566
13695.117188	-66.697487
13738.183594	-66.736031
13781.250000	-66.520508
13824.316406	-66.444862
13867.382812	-66.546715
13910.449219	-66.922760
13953.515625	-66.964294
13996.582031	-67.039833
14039.648438	-66.901283
14082.714844	-67.050476
14125.781250	-67.021271
14168.847656	-67.096611
14211.914062	-67.442017
14254.980469	-67.437202
14298.046875	-67.178566
14341.113281	-67.244720
14384.179688	-67.445419
14427.246094	-67.665985
14470.312500	-67.568069
14513.378906	-67.614594
14556.445312	-67.679764
14599.511719	-67.750458
14642.578125	-67.637253
14685.644531	-67.949867
14728.710938	-67.956451
14771.777344	-68.103928
14814.843750	-68.154182
14857.910156	-67.867409
14900.976562	-68.066887
14944.042969	-68.323273
14987.109375	-68.386887
15030.175781	-68.327209
15073.242188	-68.636932
15116.308594	-68.545815
15159.375000	-68.522346
15202.441406	-68.523170
15245.507812	-68.727737
15288.574219	-68.564423
15331.640625	-68.595039
15374.707031	-68.942635
15417.773438	-68.803482
15460.839844	-68.757996
15503.906250	-68.868454
15546.972656	-68.951248
15590.039062	-68.911758
15633.105469	-69.112549
15676.171875	-69.387619
15719.238281	-69.362976
15762.304688	-69.506157
15805.371094	-69.626198
15848.437500	-69.356560
15891.503906	-69.236588
15934.570312	-69.294044
15977.636719	-69.168335
16020.703125	-69.360229
16063.769531	-69.624695
16106.835938	-69.797615
16149.902344	-69.749268
16192.968750	-69.758942
16236.035156	-69.827774
16279.101562	-69.882744
16322.167969	-69.878761
16365.234375	-69.836235
16408.300781	-69.870628
16451.367188	-70.183220
16494.433594	-69.938858
16537.500000	-70.227806
16580.566406	-70.442093
16623.632812	-70.148796
16666.699219	-70.251221
16709.765625	-70.500610
16752.832031	-70.481087
16795.898438	-70.441879
16838.964844	-70.761948
16882.031250	-70.633896
16925.097656	-70.637032
16968.164062	-70.686089
17011.230469	-70.696495
17054.296875	-70.808655
17097.363281	-71.156624
17140.429688	-71.049568
17183.496094	-71.165047
17226.562500	-71.072456
17269.628906	-71.142525
17312.695312	-71.417862
17355.761719	-71.365562
17398.828125	-71.073547
17441.894531	-70.939110
17484.960938	-70.952286
17528.027344	-71.331871
17571.093750	-71.445190
17614.160156	-71.166229
17657.226562	-71.403687
17700.292969	-71.727615
17743.359375	-71.910454
17786.425781	-71.986717
17829.492188	-71.702232
17872.558594	-71.723480
17915.625000	-71.988655
17958.691406	-71.971573
18001.757812	-71.921188
18044.824219	-71.993591
18087.890625	-72.011803
18130.957031	-71.958763
18174.023438	-71.950989
18217.089844	-72.158211
18260.156250	-72.222351
18303.222656	-72.488419
18346.289062	-72.443100
18389.355469	-72.695061
18432.421875	-72.551399
18475.488281	-72.374947
18518.554688	-72.861282
18561.621094	-72.807381
18604.687500	-72.653801
18647.753906	-72.722893
18690.820312	-72.961105
18733.886719	-73.086784
18776.953125	-73.137115
18820.019531	-73.303528
18863.085938	-72.790939
18906.152344	-72.930893
18949.218750	-73.160225
18992.285156	-73.030685
19035.351562	-72.880196
19078.417969	-72.954315
19121.484375	-72.961288
19164.550781	-73.125603
19207.617188	-73.213020
19250.683594	-73.386284
19293.750000	-73.477783
19336.816406	-73.605110
19379.882812	-73.766273
19422.949219	-73.519218
19466.015625	-73.358932
19509.082031	-73.481804
19552.148438	-73.344612
19595.214844	-73.699898
19638.281250	-73.798355
19681.347656	-73.416656
19724.414062	-73.330070
19767.480469	-73.689240
19810.546875	-73.992462
19853.613281	-74.157455
19896.679688	-74.130875
19939.746094	-73.967636
19982.812500	-73.936836
20025.878906	-73.957397
20068.945312	-74.245720
20112.011719	-74.204742
20155.078125	-74.421440
20198.144531	-74.746460
20241.210938	-74.601685
20284.277344	-74.557442
20327.343750	-74.632347
20370.410156	-74.620216
20413.476562	-74.577072
20456.542969	-74.575317
20499.609375	-74.759445
20542.675781	-74.972763
20585.742188	-75.022400
20628.808594	-75.112022
20671.875000	-74.896790
20714.941406	-75.064697
20758.007812	-75.168022
20801.074219	-75.233047
20844.140625	-75.127182
20887.207031	-75.301834
20930.273438	-75.278046
20973.339844	-75.211449
21016.406250	-75.453293
21059.472656	-75.322212
21102.539062	-75.566994
21145.605469	-76.023209
21188.671875	-75.925697
21231.738281	-75.705597
21274.804688	-75.554512
21317.871094	-75.716614
21360.937500	-75.966454
21404.003906	-76.163170
21447.070312	-76.203598
21490.136719	-76.265633
21533.203125	-76.416214
21576.269531	-76.417526
21619.335938	-76.424553
