Frequency (Hz)	Level (dB)
43.066406	-32.994221
86.132812	-35.567284
129.199219	-37.522102
172.265625	-39.168621
215.332031	-40.110615
258.398438	-40.528103
301.464844	-40.827042
344.531250	-41.647377
387.597656	-41.900791
430.664062	-42.244923
473.730469	-41.976570
516.796875	-41.627796
559.863281	-41.539181
602.929688	-41.357960
645.996094	-41.115627
689.062500	-41.039398
732.128906	-41.178032
775.195312	-41.361004
818.261719	-41.459549
861.328125	-41.681805
904.394531	-42.034481
947.460938	-42.103069
990.527344	-41.763851
1033.593750	-41.634037
1076.660156	-41.536907
1119.726562	-41.694260
1162.792969	-41.889946
1205.859375	-41.947041
1248.925781	-42.185165
1291.992188	-42.640476
1335.058594	-43.167072
1378.125000	-43.823921
1421.191406	-44.332878
1464.257812	-44.603352
1507.324219	-45.056480
1550.390625	-45.620766
1593.457031	-45.991562
1636.523438	-46.302349
1679.589844	-46.614559
1722.656250	-46.813545
1765.722656	-47.048771
1808.789062	-47.450115
1851.855469	-47.836746
1894.921875	-48.372231
1937.988281	-48.954121
1981.054688	-49.438480
2024.121094	-49.831112
2067.187500	-50.373013
2110.253906	-50.944084
2153.320312	-51.560474
2196.386719	-51.877926
2239.453125	-52.025391
2282.519531	-52.261864
2325.585938	-52.594074
2368.652344	-53.155922
2411.718750	-53.765343
2454.785156	-53.978966
2497.851562	-54.216713
2540.917969	-54.539738
2583.984375	-55.249657
2627.050781	-55.857975
2670.117188	-56.239185
2713.183594	-56.378841
2756.250000	-56.439823
2799.316406	-56.762730
2842.382812	-57.042984
2885.449219	-57.041031
2928.515625	-57.297485
2971.582031	-57.749538
3014.648438	-57.974941
3057.714844	-58.065742
3100.781250	-58.061981
3143.847656	-58.243736
3186.914062	-58.766937
3229.980469	-59.108204
3273.046875	-59.251671
3316.113281	-59.106186
3359.179688	-59.277966
3402.246094	-59.641979
3445.312500	-59.877899
3488.378906	-60.030869
3531.445312	-60.037155
3574.511719	-59.786160
3617.578125	-60.004604
3660.644531	-60.146202
3703.710938	-60.338303
3746.777344	-60.544491
3789.843750	-60.449497
3832.910156	-60.773739
3875.976562	-61.086163
3919.042969	-61.081230
3962.109375	-61.173443
4005.175781	-61.202415
4048.242188	-61.448109
4091.308594	-61.466835
4134.375000	-61.384701
4177.441406	-61.769737
4220.507812	-62.076324
4263.574219	-61.956318
4306.640625	-62.062820
4349.707031	-62.347122
4392.773438	-62.317059
4435.839844	-62.402653
4478.906250	-62.499550
4521.972656	-62.716202
4565.039062	-62.708969
4608.105469	-62.897980
4651.171875	-63.095921
4694.238281	-62.925793
4737.304688	-63.091251
4780.371094	-63.340748
4823.437500	-63.292583
4866.503906	-63.435204
4909.570312	-63.478394
4952.636719	-63.472458
4995.703125	-63.487526
5038.769531	-63.736897
5081.835938	-63.806812
5124.902344	-63.610603
5167.968750	-63.588722
5211.035156	-64.169937
5254.101562	-64.327637
5297.167969	-64.209175
5340.234375	-64.155991
5383.300781	-64.636314
5426.367188	-65.072929
5469.433594	-64.881813
5512.500000	-64.919838
5555.566406	-64.789551
5598.632812	-64.660393
5641.699219	-64.392288
5684.765625	-64.131851
5727.832031	-64.520836
5770.898438	-65.054314
5813.964844	-64.983925
5857.031250	-64.816826
5900.097656	-64.935165
5943.164062	-64.966660
5986.230469	-65.007622
6029.296875	-65.008659
6072.363281	-65.121452
6115.429688	-65.395409
6158.496094	-65.713028
6201.562500	-65.726501
6244.628906	-65.446434
6287.695312	-65.276978
6330.761719	-65.281013
6373.828125	-65.439720
6416.894531	-65.499146
6459.960938	-65.466164
6503.027344	-65.602295
6546.093750	-66.118141
6589.160156	-66.005806
6632.226562	-66.212799
6675.292969	-66.541656
6718.359375	-66.005898
6761.425781	-66.379906
6804.492188	-66.449394
6847.558594	-66.341278
6890.625000	-66.434372
6933.691406	-66.470940
6976.757812	-66.290962
7019.824219	-66.453072
7062.890625	-66.496483
7105.957031	-66.857483
7149.023438	-67.101555
7192.089844	-67.144386
7235.156250	-66.857147
7278.222656	-66.743912
7321.289062	-66.989594
7364.355469	-66.800964
7407.421875	-67.123497
7450.488281	-66.968483
7493.554688	-67.188606
7536.621094	-67.161926
7579.687500	-67.187347
7622.753906	-67.533974
7665.820312	-67.446892
7708.886719	-67.570480
7751.953125	-67.278442
7795.019531	-67.107796
7838.085938	-67.291206
7881.152344	-67.528557
7924.218750	-67.534836
7967.285156	-67.414871
8010.351562	-67.666534
8053.417969	-68.038544
8096.484375	-67.917816
8139.550781	-67.725304
8182.617188	-67.748291
8225.683594	-67.705643
8268.750000	-68.179077
8311.816406	-67.905350
8354.882812	-67.983971
8397.949219	-67.794975
8441.015625	-68.163765
8484.082031	-68.761147
8527.148438	-68.247108
8570.214844	-68.394920
8613.281250	-68.195190
8656.347656	-67.916016
8699.414062	-68.495026
8742.480469	-68.665031
8785.546875	-67.823181
8828.613281	-67.949265
8871.679688	-68.511909
8914.746094	-68.810837
8957.812500	-68.289932
9000.878906	-68.499687
9043.945312	-68.473404
9087.011719	-68.462166
9130.078125	-68.986359
9173.144531	-69.079315
9216.210938	-68.687744
