Frequency,dB,pedal,Tone,Gain
43.066406,-9.273992000000003,blues driver - C,0%,0%,
86.132812,-6.946480000000001,blues driver - C,0%,0%,
129.199219,-3.251579000000003,blues driver - C,0%,0%,
172.265625,-2.4766610000000036,blues driver - C,0%,0%,
215.332031,-2.5084870000000024,blues driver - C,0%,0%,
258.398438,-1.5133910000000022,blues driver - C,0%,0%,
301.464844,-1.0702000000000034,blues driver - C,0%,0%,
344.53125,-1.5791030000000035,blues driver - C,0%,0%,
387.597656,-1.2679660000000013,blues driver - C,0%,0%,
430.664062,-0.4347920000000016,blues driver - C,0%,0%,
473.730469,-0.3999080000000035,blues driver - C,0%,0%,
516.796875,0,blues driver - C,0%,0%,
559.863281,-0.077650000000002,blues driver - C,0%,0%,
602.929688,-0.35071900000000156,blues driver - C,0%,0%,
645.996094,-0.4928069999999991,blues driver - C,0%,0%,
689.0625,-0.31613199999999964,blues driver - C,0%,0%,
732.128906,-0.8304690000000008,blues driver - C,0%,0%,
775.195312,-0.8041650000000011,blues driver - C,0%,0%,
818.261719,-1.1489030000000007,blues driver - C,0%,0%,
861.328125,-1.4126949999999994,blues driver - C,0%,0%,
904.394531,-0.5681830000000048,blues driver - C,0%,0%,
947.460938,-0.14998499999999737,blues driver - C,0%,0%,
990.527344,-0.9179630000000039,blues driver - C,0%,0%,
1033.59375,-1.3149540000000037,blues driver - C,0%,0%,
1076.660156,-1.2265929999999976,blues driver - C,0%,0%,
1119.726562,-0.5389710000000001,blues driver - C,0%,0%,
1162.792969,-0.45760100000000037,blues driver - C,0%,0%,
1205.859375,-1.8505100000000034,blues driver - C,0%,0%,
1248.925781,-2.184745000000003,blues driver - C,0%,0%,
1291.992188,-1.8436749999999975,blues driver - C,0%,0%,
1335.058594,-1.9916380000000018,blues driver - C,0%,0%,
1378.125,-2.1350600000000064,blues driver - C,0%,0%,
1421.191406,-2.160853999999997,blues driver - C,0%,0%,
1464.257812,-2.217131999999996,blues driver - C,0%,0%,
1507.324219,-1.7707370000000076,blues driver - C,0%,0%,
1550.390625,-2.081539000000003,blues driver - C,0%,0%,
1593.457031,-3.0006219999999963,blues driver - C,0%,0%,
1636.523438,-2.890659000000003,blues driver - C,0%,0%,
1679.589844,-2.8857759999999963,blues driver - C,0%,0%,
1722.65625,-2.559836999999998,blues driver - C,0%,0%,
1765.722656,-2.199679999999997,blues driver - C,0%,0%,
1808.789062,-3.2129179999999984,blues driver - C,0%,0%,
1851.855469,-3.388766999999998,blues driver - C,0%,0%,
1894.921875,-3.2196120000000015,blues driver - C,0%,0%,
1937.988281,-3.398959999999999,blues driver - C,0%,0%,
1981.054688,-4.0506860000000025,blues driver - C,0%,0%,
2024.121094,-3.4238350000000075,blues driver - C,0%,0%,
2067.1875,-3.5233799999999995,blues driver - C,0%,0%,
2110.253906,-3.1463509999999992,blues driver - C,0%,0%,
2153.320312,-3.9478759999999973,blues driver - C,0%,0%,
2196.386719,-3.9590190000000014,blues driver - C,0%,0%,
2239.453125,-4.096317000000003,blues driver - C,0%,0%,
