Frequency (Hz)	Level (dB)
43.066406	-23.966034
86.132812	-26.251049
129.199219	-23.711960
172.265625	-23.612625
215.332031	-23.905832
258.398438	-23.909624
301.464844	-24.181225
344.531250	-24.543951
387.597656	-24.820559
430.664062	-24.859692
473.730469	-25.197033
516.796875	-25.006914
559.863281	-25.368982
602.929688	-25.224718
645.996094	-25.744310
689.062500	-26.316975
732.128906	-26.493311
775.195312	-27.200514
818.261719	-27.805031
861.328125	-28.689127
904.394531	-28.725334
947.460938	-28.623053
990.527344	-28.905718
1033.593750	-29.068483
1076.660156	-29.415501
1119.726562	-29.298195
1162.792969	-29.627676
1205.859375	-30.387360
1248.925781	-31.135574
1291.992188	-30.916845
1335.058594	-31.378437
1378.125000	-31.679749
1421.191406	-32.192966
1464.257812	-32.493824
1507.324219	-32.509106
1550.390625	-32.777821
1593.457031	-33.629158
1636.523438	-33.899555
1679.589844	-33.838089
1722.656250	-33.587109
1765.722656	-34.055775
1808.789062	-34.650948
1851.855469	-34.808361
1894.921875	-35.020069
1937.988281	-35.437912
1981.054688	-36.007992
2024.121094	-35.809879
2067.187500	-35.998363
2110.253906	-36.054558
2153.320312	-36.536457
2196.386719	-36.746487
2239.453125	-37.073715
2282.519531	-36.851009
2325.585938	-36.788654
2368.652344	-37.368610
2411.718750	-37.635548
2454.785156	-38.122913
2497.851562	-37.921513
2540.917969	-37.787704
2583.984375	-38.301754
2627.050781	-38.794914
2670.117188	-38.991043
2713.183594	-38.871883
2756.250000	-38.997482
2799.316406	-39.046143
2842.382812	-39.364571
2885.449219	-39.458981
2928.515625	-39.540627
2971.582031	-40.242725
3014.648438	-40.259933
3057.714844	-40.259762
3100.781250	-40.487820
3143.847656	-40.115566
3186.914062	-40.734581
3229.980469	-41.040039
3273.046875	-40.881268
3316.113281	-40.377655
3359.179688	-40.613235
3402.246094	-41.280624
3445.312500	-41.362778
3488.378906	-41.817982
3531.445312	-41.698288
3574.511719	-41.791042
3617.578125	-42.225773
3660.644531	-42.009407
3703.710938	-41.670364
3746.777344	-42.158607
3789.843750	-42.477524
3832.910156	-42.625435
3875.976562	-42.404240
3919.042969	-43.112270
3962.109375	-43.791737
4005.175781	-43.415550
4048.242188	-43.523567
4091.308594	-43.608688
4134.375000	-43.442013
4177.441406	-43.539452
4220.507812	-43.888729
4263.574219	-43.716942
4306.640625	-43.891262
4349.707031	-43.895985
4392.773438	-43.865791
4435.839844	-44.375889
4478.906250	-44.301685
4521.972656	-44.515472
4565.039062	-44.124172
4608.105469	-44.461475
4651.171875	-45.344662
4694.238281	-45.069450
4737.304688	-44.269619
4780.371094	-44.339916
4823.437500	-44.488987
4866.503906	-45.127930
4909.570312	-44.780918
4952.636719	-44.923950
4995.703125	-44.998875
5038.769531	-45.537010
5081.835938	-45.343296
5124.902344	-44.973305
5167.968750	-45.004253
5211.035156	-44.824749
5254.101562	-45.819622
5297.167969	-45.755817
5340.234375	-45.623329
5383.300781	-45.495647
5426.367188	-45.712616
5469.433594	-46.183414
5512.500000	-45.719639
5555.566406	-45.974476
5598.632812	-46.142620
5641.699219	-46.595592
5684.765625	-46.687424
5727.832031	-47.031467
5770.898438	-47.077782
5813.964844	-47.301270
5857.031250	-46.765533
5900.097656	-47.068501
5943.164062	-46.957184
5986.230469	-46.934105
6029.296875	-46.591705
6072.363281	-47.343708
6115.429688	-47.872772
6158.496094	-47.735725
6201.562500	-48.460342
6244.628906	-47.229500
6287.695312	-47.457546
6330.761719	-47.395443
6373.828125	-46.552185
6416.894531	-46.565281
6459.960938	-46.563519
6503.027344	-47.022224
6546.093750	-48.431408
6589.160156	-49.133133
6632.226562	-48.236252
6675.292969	-48.162418
6718.359375	-47.477268
6761.425781	-48.170757
6804.492188	-47.078552
6847.558594	-47.086540
6890.625000	-48.172886
6933.691406	-48.031288
6976.757812	-47.850922
7019.824219	-47.883038
7062.890625	-48.364960
7105.957031	-47.856941
7149.023438	-48.548893
7192.089844	-47.911739
7235.156250	-47.867840
7278.222656	-47.288433
7321.289062	-47.864716
7364.355469	-47.800537
7407.421875	-47.701023
7450.488281	-48.052116
7493.554688	-48.760418
7536.621094	-48.927143
7579.687500	-49.948753
7622.753906	-49.763344
7665.820312	-48.875874
7708.886719	-49.052990
7751.953125	-48.614487
7795.019531	-48.137299
7838.085938	-48.495712
7881.152344	-49.627361
7924.218750	-49.150345
7967.285156	-48.405399
8010.351562	-49.313690
8053.417969	-49.089092
8096.484375	-48.999172
8139.550781	-49.506397
8182.617188	-49.988392
8225.683594	-49.931152
8268.750000	-50.022877
8311.816406	-50.284691
8354.882812	-49.929188
8397.949219	-49.971310
8441.015625	-50.333378
8484.082031	-50.027214
8527.148438	-49.723740
8570.214844	-49.143719
8613.281250	-49.228310
8656.347656	-51.004387
