Frequency (Hz)	Level (dB)
43.066406	-12.047394
86.132812	-16.390303
129.199219	-18.269657
172.265625	-19.815741
215.332031	-20.685219
258.398438	-21.607000
301.464844	-22.002842
344.531250	-22.814287
387.597656	-23.674534
430.664062	-24.047878
473.730469	-24.238703
516.796875	-24.911049
559.863281	-25.033314
602.929688	-24.885202
645.996094	-25.222748
689.062500	-25.936754
732.128906	-26.205544
775.195312	-26.503769
818.261719	-26.677946
861.328125	-27.236025
904.394531	-27.592850
947.460938	-27.449999
990.527344	-27.326300
1033.593750	-27.581938
1076.660156	-27.642666
1119.726562	-27.771414
1162.792969	-28.039167
1205.859375	-28.358740
1248.925781	-28.520065
1291.992188	-28.663612
1335.058594	-28.614260
1378.125000	-28.385946
1421.191406	-28.906736
1464.257812	-29.328718
1507.324219	-29.276976
1550.390625	-29.398193
1593.457031	-29.575109
1636.523438	-29.890362
1679.589844	-29.718092
1722.656250	-29.467794
1765.722656	-29.682066
1808.789062	-30.193798
1851.855469	-30.292725
1894.921875	-30.747417
1937.988281	-30.674498
1981.054688	-30.509104
2024.121094	-30.718287
2067.187500	-30.669895
2110.253906	-30.922697
2153.320312	-30.839140
2196.386719	-30.989323
2239.453125	-30.862539
2282.519531	-30.613626
2325.585938	-30.744682
2368.652344	-30.978584
2411.718750	-31.633703
2454.785156	-31.952202
2497.851562	-31.675289
2540.917969	-31.477268
2583.984375	-31.683857
2627.050781	-31.968075
2670.117188	-31.831018
2713.183594	-31.663620
2756.250000	-31.682465
2799.316406	-31.931776
2842.382812	-32.036461
2885.449219	-31.825193
2928.515625	-31.895742
2971.582031	-32.314583
3014.648438	-32.680756
3057.714844	-32.556656
3100.781250	-32.217964
3143.847656	-32.213734
3186.914062	-32.336277
3229.980469	-32.473705
3273.046875	-32.656540
3316.113281	-32.397881
3359.179688	-32.906273
3402.246094	-32.885475
3445.312500	-32.674427
3488.378906	-32.974651
3531.445312	-33.000347
3574.511719	-33.069916
3617.578125	-33.383499
3660.644531	-33.100449
3703.710938	-32.832287
3746.777344	-33.272961
3789.843750	-33.363224
3832.910156	-33.291191
3875.976562	-33.083603
3919.042969	-33.412949
3962.109375	-33.825245
4005.175781	-33.387459
4048.242188	-33.681824
4091.308594	-33.375034
4134.375000	-33.207539
4177.441406	-33.646839
4220.507812	-33.924377
4263.574219	-33.927055
4306.640625	-33.981720
4349.707031	-33.988476
4392.773438	-34.079834
4435.839844	-34.139004
4478.906250	-34.187687
4521.972656	-34.286652
4565.039062	-34.184635
4608.105469	-34.502312
4651.171875	-34.513844
4694.238281	-34.597897
4737.304688	-34.445236
4780.371094	-34.192219
4823.437500	-34.098545
4866.503906	-34.329365
4909.570312	-34.317642
4952.636719	-34.688850
4995.703125	-34.825027
5038.769531	-34.802837
5081.835938	-34.445606
5124.902344	-34.692886
5167.968750	-34.618717
5211.035156	-34.423897
5254.101562	-34.618313
5297.167969	-34.804459
5340.234375	-34.543465
5383.300781	-34.893597
5426.367188	-35.065109
5469.433594	-34.939510
5512.500000	-35.491375
5555.566406	-35.376396
5598.632812	-35.181034
5641.699219	-35.124004
5684.765625	-35.046188
5727.832031	-35.192104
5770.898438	-35.471054
5813.964844	-35.240139
5857.031250	-35.236099
5900.097656	-35.422371
5943.164062	-35.362606
5986.230469	-35.561935
6029.296875	-35.325741
6072.363281	-35.288563
6115.429688	-35.263447
6158.496094	-35.519718
6201.562500	-35.525711
6244.628906	-35.674812
6287.695312	-35.511356
6330.761719	-35.437416
6373.828125	-35.413227
6416.894531	-35.354523
6459.960938	-35.459534
6503.027344	-35.486958
6546.093750	-35.947018
6589.160156	-35.958755
6632.226562	-36.243248
6675.292969	-36.294315
6718.359375	-36.226940
6761.425781	-36.400181
6804.492188	-36.136192
6847.558594	-35.680573
6890.625000	-35.745937
6933.691406	-35.904182
6976.757812	-35.515621
7019.824219	-35.863754
7062.890625	-36.331303
7105.957031	-36.480171
7149.023438	-36.473148
7192.089844	-36.344601
7235.156250	-36.302425
7278.222656	-36.233955
7321.289062	-36.279766
7364.355469	-36.127453
7407.421875	-36.306999
7450.488281	-36.178043
7493.554688	-36.609848
7536.621094	-37.059509
7579.687500	-36.874439
7622.753906	-36.882874
7665.820312	-36.828094
7708.886719	-36.533817
7751.953125	-36.373829
7795.019531	-36.432076
7838.085938	-36.442001
7881.152344	-36.703819
7924.218750	-36.606319
7967.285156	-36.827347
8010.351562	-37.073952
8053.417969	-37.079704
8096.484375	-36.869316
8139.550781	-36.802898
8182.617188	-36.906086
8225.683594	-36.839893
8268.750000	-36.872116
