Frequency (Hz)	Level (dB)
43.066406	-19.636555
86.132812	-13.757380
129.199219	-11.499231
172.265625	-12.794020
215.332031	-13.770400
258.398438	-13.837519
301.464844	-14.046967
344.531250	-14.650718
387.597656	-15.059931
430.664062	-14.919549
473.730469	-15.120488
516.796875	-15.327095
559.863281	-15.510929
602.929688	-15.286267
645.996094	-15.038635
689.062500	-15.731742
732.128906	-16.205891
775.195312	-16.753736
818.261719	-16.900385
861.328125	-17.363079
904.394531	-17.453604
947.460938	-17.544313
990.527344	-17.527861
1033.593750	-17.844219
1076.660156	-18.400257
1119.726562	-18.347939
1162.792969	-18.365826
1205.859375	-18.831070
1248.925781	-19.652740
1291.992188	-19.931999
1335.058594	-19.696606
1378.125000	-20.375469
1421.191406	-20.542522
1464.257812	-20.576303
1507.324219	-20.414024
1550.390625	-20.417536
1593.457031	-21.476316
1636.523438	-21.814037
1679.589844	-21.579998
1722.656250	-21.083462
1765.722656	-21.610622
1808.789062	-22.271492
1851.855469	-22.448483
1894.921875	-23.016878
1937.988281	-23.444361
1981.054688	-23.425774
2024.121094	-22.766363
2067.187500	-22.847216
2110.253906	-23.053202
2153.320312	-23.567654
2196.386719	-23.822254
2239.453125	-24.109901
2282.519531	-23.952362
2325.585938	-23.689224
2368.652344	-24.304205
2411.718750	-24.591463
2454.785156	-24.995199
2497.851562	-24.805447
2540.917969	-24.635252
2583.984375	-25.038689
2627.050781	-25.379410
2670.117188	-25.726572
2713.183594	-25.498400
2756.250000	-25.282663
2799.316406	-25.356825
2842.382812	-25.712248
2885.449219	-25.675421
2928.515625	-25.588882
2971.582031	-26.371208
3014.648438	-26.475527
3057.714844	-26.696379
3100.781250	-26.624838
3143.847656	-26.103399
3186.914062	-26.505711
3229.980469	-27.179636
3273.046875	-27.134041
3316.113281	-26.344873
3359.179688	-27.036758
3402.246094	-27.440779
3445.312500	-27.127842
3488.378906	-27.689808
3531.445312	-27.370380
3574.511719	-27.309896
3617.578125	-27.919489
3660.644531	-27.725842
3703.710938	-27.151249
3746.777344	-27.405560
3789.843750	-27.709429
3832.910156	-28.196590
3875.976562	-27.945391
3919.042969	-28.278433
3962.109375	-28.806416
4005.175781	-28.574862
4048.242188	-28.681976
4091.308594	-28.869305
4134.375000	-28.740009
4177.441406	-28.766804
4220.507812	-29.053860
4263.574219	-29.309149
4306.640625	-29.222055
4349.707031	-29.105646
4392.773438	-29.012438
4435.839844	-29.304035
4478.906250	-29.305426
4521.972656	-29.361177
4565.039062	-29.161245
4608.105469	-29.432983
4651.171875	-29.885021
4694.238281	-29.831184
4737.304688	-29.598572
4780.371094	-29.601387
4823.437500	-29.702518
4866.503906	-30.312122
4909.570312	-30.265162
4952.636719	-29.929417
4995.703125	-29.678452
5038.769531	-30.139074
5081.835938	-30.223488
5124.902344	-30.333664
5167.968750	-29.911522
5211.035156	-29.836971
5254.101562	-30.618277
5297.167969	-31.087795
5340.234375	-30.716484
5383.300781	-30.885530
5426.367188	-30.815800
5469.433594	-30.992306
5512.500000	-31.440037
5555.566406	-31.094212
5598.632812	-30.717058
5641.699219	-31.035275
5684.765625	-31.051746
