Frequency (Hz)	Level (dB)
21.533203	-16.904171
43.066406	-15.805056
64.599609	-14.453926
86.132812	-16.322056
107.666016	-17.502388
129.199219	-16.585585
150.732422	-15.845970
172.265625	-15.223704
193.798828	-15.728695
215.332031	-16.748400
236.865234	-16.216827
258.398438	-14.982704
279.931641	-15.988120
301.464844	-16.147810
322.998047	-15.353804
344.531250	-16.439575
366.064453	-16.379482
387.597656	-15.373901
409.130859	-15.948427
430.664062	-16.216309
452.197266	-16.491060
473.730469	-16.696205
495.263672	-17.713295
516.796875	-16.923647
538.330078	-17.244581
559.863281	-17.416065
581.396484	-17.438803
602.929688	-17.317650
624.462891	-17.246462
645.996094	-17.890989
667.529297	-19.048645
689.062500	-18.449696
710.595703	-18.042498
732.128906	-18.218418
753.662109	-18.593527
775.195312	-19.441259
796.728516	-19.223064
818.261719	-18.080271
839.794922	-17.918486
861.328125	-19.749199
882.861328	-20.617615
904.394531	-20.836517
925.927734	-19.897840
947.460938	-20.607201
968.994141	-21.601973
990.527344	-21.250156
1012.060547	-21.758776
1033.593750	-22.076302
1055.126953	-22.092260
1076.660156	-22.277168
1098.193359	-22.206629
1119.726562	-22.270353
1141.259766	-22.655870
1162.792969	-22.704390
1184.326172	-22.505093
1205.859375	-22.423586
1227.392578	-22.907320
1248.925781	-22.875814
1270.458984	-23.279404
1291.992188	-23.857109
1313.525391	-24.063011
1335.058594	-24.798836
1356.591797	-24.535406
1378.125000	-24.555239
1399.658203	-24.222679
1421.191406	-25.197557
1442.724609	-25.796974
1464.257812	-27.103525
1485.791016	-26.811205
1507.324219	-25.285601
1528.857422	-25.276316
1550.390625	-25.426968
1571.923828	-25.866028
1593.457031	-26.772066
1614.990234	-26.531103
1636.523438	-26.740381
1658.056641	-26.332733
1679.589844	-26.944426
1701.123047	-27.509428
1722.656250	-27.740566
1744.189453	-26.867920
1765.722656	-26.791584
1787.255859	-27.954927
1808.789062	-28.424477
1830.322266	-27.148937
1851.855469	-27.626343
1873.388672	-27.750050
1894.921875	-29.053465
1916.455078	-27.984474
1937.988281	-27.874645
1959.521484	-29.416426
1981.054688	-29.375999
2002.587891	-29.576385
2024.121094	-29.499287
2045.654297	-29.096508
2067.187500	-29.457947
2088.720703	-30.535639
2110.253906	-31.643705
2131.787109	-29.823812
2153.320312	-29.070213
2174.853516	-30.308857
2196.386719	-30.303579
2217.919922	-30.439865
2239.453125	-31.016180
2260.986328	-31.243021
2282.519531	-30.962454
2304.052734	-30.381292
2325.585938	-30.928411
2347.119141	-31.441463
2368.652344	-31.730715
2390.185547	-31.023451
2411.718750	-30.881197
2433.251953	-32.353390
2454.785156	-33.811405
2476.318359	-32.981396
2497.851562	-32.386543
2519.384766	-32.532703
2540.917969	-32.645535
2562.451172	-32.162888
2583.984375	-32.642895
2605.517578	-32.641064
2627.050781	-31.819141
2648.583984	-32.779503
2670.117188	-33.040230
2691.650391	-32.598835
2713.183594	-32.531631
2734.716797	-33.672085
2756.250000	-34.079418
2777.783203	-32.922935
2799.316406	-31.776505
2820.849609	-32.679821
2842.382812	-33.909992
2863.916016	-35.065662
2885.449219	-35.487659
2906.982422	-34.687313
2928.515625	-34.327599
2950.048828	-34.536308
2971.582031	-35.090221
2993.115234	-34.860001
3014.648438	-35.134953
3036.181641	-34.454453
3057.714844	-33.571671
3079.248047	-34.197765
3100.781250	-35.315945
3122.314453	-36.485962
3143.847656	-36.297619
3165.380859	-36.585629
3186.914062	-36.253799
3208.447266	-36.025188
3229.980469	-36.514847
3251.513672	-36.261707
3273.046875	-36.799377
3294.580078	-37.034569
3316.113281	-37.644974
3337.646484	-37.335869
3359.179688	-36.115372
3380.712891	-36.928818
3402.246094	-36.484428
3423.779297	-36.524368
3445.312500	-37.080364
3466.845703	-37.329979
3488.378906	-36.660789
3509.912109	-36.615555
3531.445312	-36.412327
3552.978516	-36.750767
3574.511719	-37.944939
3596.044922	-37.424164
3617.578125	-37.429565
3639.111328	-37.460484
3660.644531	-37.521030
3682.177734	-39.136303
3703.710938	-39.245655
3725.244141	-38.929703
3746.777344	-39.900768
3768.310547	-40.156677
3789.843750	-40.080021
3811.376953	-38.309616
3832.910156	-37.956490
3854.443359	-38.291626
3875.976562	-37.474972
3897.509766	-39.029095
