Frequency (Hz)	Level (dB)
21.533203	-17.133238
43.066406	-20.883181
64.599609	-22.758659
86.132812	-24.708637
107.666016	-25.422506
129.199219	-26.599859
150.732422	-26.963961
172.265625	-27.082067
193.798828	-27.531963
215.332031	-27.881090
236.865234	-28.531206
258.398438	-28.732700
279.931641	-29.155750
301.464844	-29.563854
322.998047	-29.677301
344.531250	-30.344263
366.064453	-30.292315
387.597656	-31.048798
409.130859	-31.458839
430.664062	-31.371857
452.197266	-31.840096
473.730469	-31.991255
495.263672	-32.404835
516.796875	-32.483555
538.330078	-32.951920
559.863281	-32.828865
581.396484	-32.919739
602.929688	-32.719810
624.462891	-32.724495
645.996094	-32.850277
667.529297	-33.421253
689.062500	-33.997551
710.595703	-33.610062
732.128906	-33.543789
753.662109	-33.626850
775.195312	-33.979885
796.728516	-34.078903
818.261719	-33.576092
839.794922	-33.525970
861.328125	-33.973438
882.861328	-34.595535
904.394531	-34.885025
925.927734	-35.417126
947.460938	-35.490963
968.994141	-35.135490
990.527344	-34.984325
1012.060547	-34.783497
1033.593750	-35.303997
1055.126953	-35.537720
1076.660156	-35.361004
1098.193359	-35.207722
1119.726562	-35.553471
1141.259766	-36.207466
1162.792969	-36.495609
1184.326172	-36.014412
1205.859375	-35.712955
1227.392578	-35.527664
1248.925781	-35.530216
1270.458984	-35.637104
1291.992188	-36.221142
1313.525391	-36.251778
1335.058594	-37.038452
1356.591797	-36.283394
1378.125000	-35.989716
1399.658203	-36.096729
1421.191406	-36.790497
1442.724609	-37.352409
1464.257812	-37.135681
1485.791016	-36.631844
1507.324219	-36.839569
1528.857422	-36.920677
1550.390625	-36.807610
1571.923828	-37.193920
1593.457031	-37.074478
1614.990234	-36.905819
1636.523438	-37.297890
1658.056641	-37.022278
1679.589844	-36.878456
1701.123047	-36.833145
1722.656250	-37.270859
1744.189453	-37.436741
1765.722656	-37.203484
1787.255859	-37.578144
1808.789062	-37.684338
1830.322266	-37.068150
1851.855469	-37.273781
1873.388672	-37.571850
1894.921875	-38.151524
1916.455078	-38.045223
1937.988281	-37.772385
1959.521484	-38.373383
1981.054688	-38.295536
2002.587891	-38.287102
2024.121094	-38.709118
2045.654297	-38.371914
2067.187500	-38.018677
2088.720703	-38.578979
2110.253906	-38.858902
2131.787109	-38.538738
2153.320312	-37.827568
2174.853516	-38.311165
2196.386719	-38.347870
2217.919922	-38.606884
2239.453125	-38.184563
2260.986328	-38.611134
2282.519531	-38.578312
2304.052734	-38.273037
2325.585938	-38.575352
2347.119141	-38.599220
2368.652344	-38.522736
2390.185547	-38.855286
2411.718750	-38.842831
2433.251953	-38.791168
2454.785156	-38.797283
2476.318359	-39.045937
2497.851562	-39.107224
