Frequency (Hz)	Level (dB)
21.533203	-32.776157
43.066406	-30.172150
64.599609	-29.165012
86.132812	-28.924383
107.666016	-27.911678
129.199219	-27.529413
150.732422	-27.142229
172.265625	-26.274467
193.798828	-26.138285
215.332031	-26.166067
236.865234	-25.895384
258.398438	-25.734108
279.931641	-25.729534
301.464844	-25.845112
322.998047	-25.702271
344.531250	-26.100615
366.064453	-25.753582
387.597656	-26.208776
409.130859	-26.606491
430.664062	-26.377586
452.197266	-26.750443
473.730469	-26.988796
495.263672	-26.848179
516.796875	-27.078022
538.330078	-27.367476
559.863281	-27.371601
581.396484	-27.344431
602.929688	-26.904018
624.462891	-27.000999
645.996094	-27.359711
667.529297	-27.798025
689.062500	-28.400295
710.595703	-27.941492
732.128906	-28.022617
753.662109	-28.421247
775.195312	-28.724009
796.728516	-29.026812
818.261719	-28.649429
839.794922	-28.546211
861.328125	-29.138729
882.861328	-29.705072
904.394531	-30.037540
925.927734	-30.176414
947.460938	-30.042255
968.994141	-30.110626
990.527344	-30.196688
1012.060547	-30.040405
1033.593750	-30.469275
1055.126953	-30.828711
1076.660156	-30.611269
1098.193359	-30.672537
1119.726562	-30.976074
1141.259766	-31.321152
1162.792969	-31.582888
1184.326172	-31.643009
1205.859375	-31.591803
1227.392578	-31.732674
1248.925781	-32.025356
1270.458984	-31.989523
1291.992188	-32.364403
1313.525391	-32.381771
1335.058594	-32.787914
1356.591797	-32.814548
1378.125000	-31.960047
1399.658203	-32.211201
1421.191406	-33.277306
1442.724609	-33.381084
1464.257812	-33.652710
1485.791016	-33.253437
1507.324219	-33.359978
1528.857422	-33.698845
1550.390625	-33.585102
1571.923828	-33.721409
1593.457031	-33.838390
1614.990234	-34.097782
1636.523438	-34.253212
1658.056641	-34.361603
1679.589844	-34.068459
1701.123047	-34.130798
1722.656250	-34.091003
1744.189453	-34.168694
1765.722656	-34.267818
1787.255859	-34.741085
1808.789062	-35.193607
1830.322266	-34.817360
1851.855469	-34.861267
1873.388672	-35.406918
1894.921875	-35.618084
1916.455078	-35.336010
1937.988281	-35.805882
1959.521484	-36.472637
1981.054688	-36.066460
2002.587891	-36.063755
2024.121094	-36.266087
2045.654297	-36.125614
2067.187500	-36.020954
2088.720703	-36.183403
2110.253906	-36.248920
2131.787109	-36.605072
2153.320312	-36.308132
2174.853516	-36.356613
2196.386719	-36.619987
2217.919922	-36.735146
2239.453125	-36.584660
2260.986328	-37.178490
2282.519531	-36.967163
2304.052734	-36.459969
2325.585938	-36.819855
2347.119141	-37.141811
2368.652344	-37.100689
2390.185547	-37.138313
2411.718750	-37.706821
2433.251953	-37.576180
2454.785156	-37.900017
2476.318359	-38.017704
2497.851562	-38.055141
2519.384766	-37.790359
2540.917969	-38.520760
2562.451172	-38.411076
2583.984375	-38.187042
2605.517578	-38.145470
2627.050781	-38.221111
2648.583984	-38.399017
2670.117188	-38.625725
2691.650391	-38.479664
2713.183594	-38.609951
2734.716797	-38.792568
2756.250000	-38.904053
2777.783203	-38.735794
2799.316406	-38.459019
2820.849609	-38.902241
2842.382812	-39.196934
2863.916016	-39.156658
2885.449219	-39.496098
2906.982422	-39.219208
2928.515625	-38.937954
2950.048828	-39.278954
2971.582031	-39.765842
2993.115234	-39.749447
3014.648438	-39.995392
3036.181641	-40.213261
3057.714844	-39.822010
3079.248047	-39.687790
3100.781250	-39.861481
3122.314453	-39.978840
3143.847656	-40.019867
3165.380859	-40.056389
3186.914062	-40.126335
3208.447266	-39.803844
3229.980469	-40.079185
3251.513672	-40.413685
3273.046875	-40.947189
3294.580078	-40.694492
3316.113281	-40.551239
3337.646484	-40.419586
3359.179688	-40.214870
3380.712891	-40.603096
3402.246094	-40.968479
3423.779297	-40.909199
3445.312500	-40.680065
3466.845703	-41.024796
3488.378906	-41.660622
3509.912109	-41.723415
3531.445312	-41.326965
3552.978516	-41.084869
3574.511719	-41.070679
3596.044922	-41.753223
3617.578125	-42.076420
3639.111328	-41.557079
3660.644531	-41.439964
3682.177734	-41.309132
3703.710938	-41.851120
3725.244141	-41.803772
3746.777344	-41.989952
3768.310547	-41.884796
3789.843750	-42.344517
3811.376953	-42.677067
3832.910156	-42.257790
3854.443359	-42.195694
3875.976562	-41.972561
3897.509766	-42.351425
3919.042969	-42.372948
3940.576172	-42.555878
3962.109375	-42.838890
3983.642578	-42.453495
4005.175781	-42.688572
4026.708984	-42.532425
4048.242188	-42.557476
4069.775391	-42.709896
4091.308594	-42.865585
4112.841797	-43.015533
4134.375000	-42.820213
4155.908203	-42.781685
4177.441406	-42.469612
4198.974609	-42.771542
4220.507812	-43.076519
4242.041016	-43.104828
4263.574219	-43.080658
4285.107422	-43.325733
4306.640625	-43.312443
4328.173828	-43.601482
4349.707031	-43.499321
4371.240234	-43.438038
4392.773438	-43.241913
4414.306641	-43.720058
4435.839844	-44.163357
4457.373047	-43.803692
4478.906250	-43.690830
4500.439453	-44.042553
4521.972656	-43.983223
4543.505859	-43.700466
4565.039062	-44.085617
4586.572266	-43.973698
4608.105469	-43.885307
4629.638672	-44.344364
4651.171875	-44.179604
4672.705078	-44.288891
4694.238281	-44.226582
4715.771484	-44.367943
4737.304688	-44.152493
4758.837891	-44.077000
4780.371094	-44.160168
4801.904297	-43.941486
4823.437500	-44.644402
4844.970703	-45.421524
4866.503906	-44.996120
4888.037109	-45.049759
4909.570312	-44.995564
4931.103516	-44.835655
4952.636719	-44.610043
4974.169922	-44.539661
4995.703125	-44.950790
5017.236328	-45.647198
5038.769531	-45.488804
5060.302734	-45.467728
5081.835938	-45.531307
5103.369141	-45.313480
5124.902344	-45.662434
5146.435547	-45.796387
5167.968750	-45.453232
5189.501953	-45.307575
5211.035156	-45.521446
5232.568359	-45.494644
5254.101562	-45.871681
5275.634766	-45.782143
5297.167969	-45.662739
5318.701172	-46.273766
5340.234375	-45.561699
5361.767578	-45.143551
5383.300781	-45.900265
5404.833984	-46.519608
5426.367188	-46.258900
5447.900391	-46.196625
5469.433594	-46.194759
5490.966797	-46.069279
5512.500000	-46.217915
5534.033203	-46.617840
5555.566406	-46.572144
5577.099609	-46.326984
5598.632812	-46.432274
5620.166016	-46.130951
5641.699219	-46.164036
5663.232422	-46.503231
5684.765625	-46.362747
5706.298828	-46.373734
5727.832031	-46.514603
5749.365234	-46.832954
5770.898438	-46.994930
5792.431641	-46.707851
5813.964844	-47.076111
5835.498047	-47.434376
5857.031250	-46.991425
5878.564453	-46.989040
5900.097656	-47.068146
5921.630859	-47.134361
5943.164062	-47.092060
5964.697266	-46.794250
5986.230469	-47.072392
6007.763672	-47.453556
6029.296875	-47.217472
6050.830078	-47.337414
6072.363281	-47.641151
6093.896484	-47.643044
6115.429688	-47.575935
6136.962891	-47.601635
6158.496094	-47.484135
6180.029297	-47.766899
6201.562500	-47.861588
6223.095703	-47.586937
6244.628906	-47.483616
6266.162109	-47.979359
6287.695312	-47.771580
6309.228516	-47.771801
6330.761719	-48.117252
6352.294922	-48.007259
6373.828125	-47.805264
6395.361328	-48.056175
6416.894531	-47.939949
6438.427734	-47.700195
6459.960938	-47.620899
6481.494141	-48.023243
6503.027344	-48.197681
6524.560547	-47.911697
6546.093750	-48.146938
6567.626953	-48.432034
6589.160156	-48.334656
6610.693359	-48.804680
6632.226562	-49.010067
6653.759766	-48.934628
6675.292969	-48.584499
6696.826172	-48.520283
6718.359375	-48.593632
6739.892578	-48.770138
6761.425781	-48.924286
6782.958984	-49.000031
6804.492188	-49.037395
6826.025391	-48.826904
6847.558594	-48.680847
6869.091797	-48.966442
6890.625000	-49.014618
6912.158203	-49.243717
6933.691406	-49.302616
6955.224609	-49.214458
6976.757812	-49.001331
6998.291016	-49.228565
7019.824219	-49.537582
7041.357422	-49.400696
7062.890625	-49.521030
7084.423828	-49.855549
7105.957031	-49.633953
7127.490234	-49.648781
7149.023438	-49.579399
7170.556641	-49.640137
7192.089844	-49.951069
7213.623047	-50.060066
7235.156250	-49.948277
7256.689453	-49.843201
7278.222656	-49.575363
7299.755859	-49.750633
7321.289062	-50.265026
7342.822266	-50.274624
7364.355469	-50.100388
7385.888672	-50.106182
7407.421875	-50.296021
7428.955078	-50.142574
7450.488281	-49.976963
7472.021484	-50.282776
7493.554688	-50.701809
7515.087891	-50.909561
7536.621094	-50.444588
7558.154297	-50.153915
7579.687500	-50.271900
7601.220703	-50.285320
7622.753906	-51.179043
7644.287109	-51.119480
7665.820312	-50.475605
7687.353516	-50.625458
7708.886719	-51.070690
7730.419922	-51.133232
7751.953125	-50.851337
7773.486328	-50.885201
7795.019531	-50.962982
7816.552734	-51.110733
7838.085938	-50.925213
7859.619141	-51.069862
7881.152344	-50.551495
7902.685547	-50.575794
7924.218750	-50.864437
7945.751953	-51.102390
7967.285156	-51.214706
7988.818359	-51.525387
8010.351562	-51.604763
8031.884766	-51.402969
8053.417969	-51.675167
8074.951172	-51.448067
8096.484375	-51.667446
8118.017578	-51.447559
8139.550781	-51.202717
8161.083984	-51.166576
8182.617188	-51.288738
8204.150391	-51.281441
8225.683594	-51.332783
8247.216797	-51.676651
8268.750000	-51.559326
8290.283203	-51.484871
8311.816406	-51.516438
8333.349609	-51.663670
8354.882812	-51.600269
8376.416016	-51.873981
8397.949219	-51.907078
8419.482422	-52.016132
8441.015625	-52.212967
8462.548828	-52.328724
8484.082031	-52.193623
8505.615234	-52.153622
8527.148438	-52.345837
8548.681641	-52.492607
8570.214844	-52.410324
8591.748047	-52.240513
8613.281250	-52.385445
8634.814453	-52.465534
8656.347656	-52.222008
8677.880859	-52.006649
8699.414062	-52.324692
8720.947266	-52.753193
8742.480469	-53.038673
8764.013672	-52.645252
8785.546875	-52.389290
8807.080078	-52.294506
8828.613281	-52.642628
8850.146484	-52.536270
8871.679688	-52.728519
8893.212891	-52.829536
8914.746094	-52.635475
8936.279297	-52.615810
8957.812500	-52.803608
8979.345703	-53.352730
9000.878906	-53.302647
9022.412109	-52.994297
9043.945312	-53.164883
9065.478516	-52.734238
9087.011719	-52.959103
9108.544922	-53.478260
9130.078125	-53.524395
9151.611328	-53.245937
9173.144531	-52.810417
9194.677734	-53.146507
9216.210938	-53.076946
9237.744141	-53.379246
9259.277344	-53.444729
9280.810547	-53.151283
