Frequency,dB,pedal,Tone,Gain
43.066406,-8.222408000000001,morning glory,0%,0%,
86.132812,-2.227382000000002,morning glory,0%,0%,
129.199219,0,morning glory,0%,0%,
172.265625,-0.5331570000000028,morning glory,0%,0%,
215.332031,-0.7535120000000006,morning glory,0%,0%,
258.398438,-0.5705300000000015,morning glory,0%,0%,
301.464844,-1.2129580000000004,morning glory,0%,0%,
344.53125,-2.0559650000000005,morning glory,0%,0%,
387.597656,-2.1908250000000002,morning glory,0%,0%,
430.664062,-1.746148999999999,morning glory,0%,0%,
473.730469,-1.9449600000000018,morning glory,0%,0%,
516.796875,-2.1380710000000036,morning glory,0%,0%,
559.863281,-2.151055000000003,morning glory,0%,0%,
602.929688,-2.8659120000000016,morning glory,0%,0%,
645.996094,-3.4866959999999985,morning glory,0%,0%,
689.0625,-3.5406680000000037,morning glory,0%,0%,
732.128906,-4.604521000000002,morning glory,0%,0%,
775.195312,-5.5606480000000005,morning glory,0%,0%,
818.261719,-6.553402000000002,morning glory,0%,0%,
861.328125,-7.4287950000000045,morning glory,0%,0%,
904.394531,-6.350908,morning glory,0%,0%,
947.460938,-5.440699000000002,morning glory,0%,0%,
990.527344,-6.2050440000000044,morning glory,0%,0%,
1033.59375,-6.8045100000000005,morning glory,0%,0%,
1076.660156,-7.008983000000001,morning glory,0%,0%,
1119.726562,-7.202900000000003,morning glory,0%,0%,
1162.792969,-7.801508000000002,morning glory,0%,0%,
1205.859375,-8.248675000000002,morning glory,0%,0%,
1248.925781,-8.881027,morning glory,0%,0%,
1291.992188,-8.747768000000004,morning glory,0%,0%,
1335.058594,-9.302864000000003,morning glory,0%,0%,
1378.125,-9.978384000000002,morning glory,0%,0%,
1421.191406,-10.304882,morning glory,0%,0%,
1464.257812,-9.874940000000002,morning glory,0%,0%,
1507.324219,-10.078968000000003,morning glory,0%,0%,
1550.390625,-10.284286999999999,morning glory,0%,0%,
1593.457031,-10.938884000000002,morning glory,0%,0%,
1636.523438,-11.481939,morning glory,0%,0%,
1679.589844,-11.844771999999999,morning glory,0%,0%,
1722.65625,-11.437103000000004,morning glory,0%,0%,
1765.722656,-11.353976,morning glory,0%,0%,
1808.789062,-12.522499000000003,morning glory,0%,0%,
1851.855469,-13.064735000000002,morning glory,0%,0%,
1894.921875,-12.751554999999996,morning glory,0%,0%,
1937.988281,-12.687217,morning glory,0%,0%,
1981.054688,-12.642838999999999,morning glory,0%,0%,
2024.121094,-13.047363,morning glory,0%,0%,
2067.1875,-13.371437,morning glory,0%,0%,
2110.253906,-12.875604,morning glory,0%,0%,
2153.320312,-13.929691000000002,morning glory,0%,0%,
2196.386719,-13.765251000000003,morning glory,0%,0%,
2239.453125,-14.017422999999997,morning glory,0%,0%,
2282.519531,-14.332639000000004,morning glory,0%,0%,
2325.585938,-14.092676000000004,morning glory,0%,0%,
2368.652344,-14.50008,morning glory,0%,0%,
2411.71875,-15.004528,morning glory,0%,0%,
2454.785156,-15.213214999999998,morning glory,0%,0%,
2497.851562,-15.396415000000001,morning glory,0%,0%,
