frequency_hz,dB,pedal,gain,tone
43.066406,-17.981061999999998,Morning Glory v4,100%,0%
86.132812,-10.968052,Morning Glory v4,100%,0%
129.199219,-8.381167999999999,Morning Glory v4,100%,0%
172.265625,-7.190774999999999,Morning Glory v4,100%,0%
215.332031,-6.841562999999997,Morning Glory v4,100%,0%
258.398438,-5.859424999999998,Morning Glory v4,100%,0%
301.464844,-5.219535999999998,Morning Glory v4,100%,0%
344.53125,-5.963073999999999,Morning Glory v4,100%,0%
387.597656,-5.302930999999997,Morning Glory v4,100%,0%
430.664062,-4.682887999999998,Morning Glory v4,100%,0%
473.730469,-4.744088999999999,Morning Glory v4,100%,0%
516.796875,-4.524505999999999,Morning Glory v4,100%,0%
559.863281,-4.103293000000001,Morning Glory v4,100%,0%
602.929688,-4.201093999999998,Morning Glory v4,100%,0%
645.996094,-4.537513999999998,Morning Glory v4,100%,0%
689.0625,-4.321804,Morning Glory v4,100%,0%
732.128906,-4.542382,Morning Glory v4,100%,0%
775.195312,-4.738947,Morning Glory v4,100%,0%
818.261719,-4.609793,Morning Glory v4,100%,0%
861.328125,-4.6988319999999995,Morning Glory v4,100%,0%
904.394531,-4.537966000000001,Morning Glory v4,100%,0%
947.460938,-4.957068,Morning Glory v4,100%,0%
990.527344,-4.958846000000001,Morning Glory v4,100%,0%
1033.59375,-5.164849,Morning Glory v4,100%,0%
1076.660156,-5.047929999999997,Morning Glory v4,100%,0%
1119.726562,-5.161736000000001,Morning Glory v4,100%,0%
1162.792969,-5.608630999999999,Morning Glory v4,100%,0%
1205.859375,-5.375877999999997,Morning Glory v4,100%,0%
1248.925781,-5.155748000000003,Morning Glory v4,100%,0%
1291.992188,-5.398313000000002,Morning Glory v4,100%,0%
1335.058594,-5.680557,Morning Glory v4,100%,0%
1378.125,-5.366685999999998,Morning Glory v4,100%,0%
1421.191406,-5.527197000000001,Morning Glory v4,100%,0%
1464.257812,-5.479279999999999,Morning Glory v4,100%,0%
1507.324219,-5.632926999999999,Morning Glory v4,100%,0%
1550.390625,-6.0175480000000015,Morning Glory v4,100%,0%
1593.457031,-6.487802000000002,Morning Glory v4,100%,0%
1636.523438,-5.997239999999998,Morning Glory v4,100%,0%
1679.589844,-5.9733139999999985,Morning Glory v4,100%,0%
1722.65625,-6.561152,Morning Glory v4,100%,0%
1765.722656,-6.2889289999999995,Morning Glory v4,100%,0%
1808.789062,-6.9549319999999994,Morning Glory v4,100%,0%
1851.855469,-6.346540000000001,Morning Glory v4,100%,0%
1894.921875,-6.773277999999998,Morning Glory v4,100%,0%
1937.988281,-6.7472439999999985,Morning Glory v4,100%,0%
1981.054688,-6.497367999999998,Morning Glory v4,100%,0%
2024.121094,-6.987494000000002,Morning Glory v4,100%,0%
2067.1875,-7.400587000000002,Morning Glory v4,100%,0%
2110.253906,-7.401512,Morning Glory v4,100%,0%
2153.320312,-7.077462999999998,Morning Glory v4,100%,0%
2196.386719,-6.810812000000002,Morning Glory v4,100%,0%
2239.453125,-7.100342000000001,Morning Glory v4,100%,0%
2282.519531,-7.5876040000000025,Morning Glory v4,100%,0%
2325.585938,-7.453201,Morning Glory v4,100%,0%
2368.652344,-7.562352999999998,Morning Glory v4,100%,0%
2411.71875,-7.830098999999997,Morning Glory v4,100%,0%
2454.785156,-7.524850999999998,Morning Glory v4,100%,0%
2497.851562,-7.890207,Morning Glory v4,100%,0%
2540.917969,-7.996440999999997,Morning Glory v4,100%,0%
2583.984375,-7.830158999999998,Morning Glory v4,100%,0%
2627.050781,-8.110266999999997,Morning Glory v4,100%,0%
2670.117188,-8.312783000000003,Morning Glory v4,100%,0%
2713.183594,-8.175854999999999,Morning Glory v4,100%,0%
2756.25,-8.213776000000003,Morning Glory v4,100%,0%
2799.316406,-7.988964000000003,Morning Glory v4,100%,0%
2842.382812,-8.429383999999999,Morning Glory v4,100%,0%
2885.449219,-8.332663,Morning Glory v4,100%,0%
2928.515625,-8.365317999999995,Morning Glory v4,100%,0%
2971.582031,-8.680669999999996,Morning Glory v4,100%,0%
3014.648438,-8.512715,Morning Glory v4,100%,0%
3057.714844,-8.501050999999997,Morning Glory v4,100%,0%
3100.78125,-8.889524999999999,Morning Glory v4,100%,0%
3143.847656,-9.035312999999999,Morning Glory v4,100%,0%
3186.914062,-9.368136,Morning Glory v4,100%,0%
3229.980469,-8.867234,Morning Glory v4,100%,0%
3273.046875,-9.028568,Morning Glory v4,100%,0%
3316.113281,-9.263447,Morning Glory v4,100%,0%
3359.179688,-8.884871999999994,Morning Glory v4,100%,0%
3402.246094,-9.129055000000001,Morning Glory v4,100%,0%
3445.3125,-8.999373999999996,Morning Glory v4,100%,0%
3488.378906,-9.505778999999997,Morning Glory v4,100%,0%
3531.445312,-9.429856000000001,Morning Glory v4,100%,0%
3574.511719,-9.431201999999999,Morning Glory v4,100%,0%
3617.578125,-9.571509999999996,Morning Glory v4,100%,0%
3660.644531,-9.549374,Morning Glory v4,100%,0%
3703.710938,-10.039359999999995,Morning Glory v4,100%,0%
3746.777344,-9.543262999999996,Morning Glory v4,100%,0%
