Frequency (Hz)	Level (dB)
43.066406	-28.127871
86.132812	-23.841322
129.199219	-22.108299
172.265625	-20.839108
215.332031	-19.641346
258.398438	-18.546082
301.464844	-18.588774
344.531250	-18.310198
387.597656	-18.077681
430.664062	-18.079523
473.730469	-17.662870
516.796875	-17.678082
559.863281	-18.084419
602.929688	-17.370804
645.996094	-17.614313
689.062500	-17.981941
732.128906	-17.834253
775.195312	-18.367504
818.261719	-18.463085
861.328125	-18.965557
904.394531	-18.981953
947.460938	-18.603048
990.527344	-18.569311
1033.593750	-18.680763
1076.660156	-18.590334
1119.726562	-18.590780
1162.792969	-19.181597
1205.859375	-19.094515
1248.925781	-19.054979
1291.992188	-18.823915
1335.058594	-19.367685
1378.125000	-19.526003
1421.191406	-19.674282
1464.257812	-20.020981
1507.324219	-19.829700
1550.390625	-19.962883
1593.457031	-20.471006
1636.523438	-20.802870
1679.589844	-20.237606
1722.656250	-20.203062
1765.722656	-20.154284
1808.789062	-20.730871
1851.855469	-20.721891
1894.921875	-20.457153
1937.988281	-20.824732
1981.054688	-21.703085
2024.121094	-21.601013
2067.187500	-21.129032
2110.253906	-20.953365
2153.320312	-21.212469
2196.386719	-21.356636
2239.453125	-21.370062
2282.519531	-21.211575
2325.585938	-20.935984
2368.652344	-21.436853
2411.718750	-21.970648
2454.785156	-21.892170
2497.851562	-22.027880
2540.917969	-21.725658
2583.984375	-21.849539
2627.050781	-22.011887
2670.117188	-22.444715
2713.183594	-22.141085
2756.250000	-22.202534
2799.316406	-22.373745
2842.382812	-22.437317
2885.449219	-22.031019
2928.515625	-22.497246
2971.582031	-23.080839
3014.648438	-23.722139
3057.714844	-23.701124
3100.781250	-22.993092
3143.847656	-22.738638
3186.914062	-23.248587
3229.980469	-23.230314
3273.046875	-23.885843
3316.113281	-23.650784
3359.179688	-23.656403
3402.246094	-23.681696
3445.312500	-23.633221
3488.378906	-24.264257
3531.445312	-24.360991
3574.511719	-24.057049
