frequency_hz,dB,pedal,gain,tone
21.533203,-21.358411,nobels,100%,0%
43.066406,-17.871057999999998,nobels,100%,0%
64.599609,-14.711872000000003,nobels,100%,0%
86.132812,-11.491792999999998,nobels,100%,0%
107.666016,-11.596552999999997,nobels,100%,0%
129.199219,-11.758934,nobels,100%,0%
150.732422,-11.635334999999998,nobels,100%,0%
172.265625,-11.152598999999999,nobels,100%,0%
193.798828,-10.471097999999998,nobels,100%,0%
215.332031,-11.447607000000001,nobels,100%,0%
236.865234,-11.938146999999997,nobels,100%,0%
258.398438,-10.264312999999998,nobels,100%,0%
279.931641,-10.667199,nobels,100%,0%
301.464844,-10.010469999999998,nobels,100%,0%
322.998047,-9.885645,nobels,100%,0%
344.53125,-9.069772999999998,nobels,100%,0%
366.064453,-8.637926999999998,nobels,100%,0%
387.597656,-8.083806000000003,nobels,100%,0%
409.130859,-7.257229000000002,nobels,100%,0%
430.664062,-7.370365999999997,nobels,100%,0%
452.197266,-7.915437000000004,nobels,100%,0%
473.730469,-7.071652,nobels,100%,0%
495.263672,-5.5881240000000005,nobels,100%,0%
516.796875,-5.7990039999999965,nobels,100%,0%
538.330078,-5.743031000000002,nobels,100%,0%
559.863281,-4.547906000000005,nobels,100%,0%
581.396484,-3.5896339999999967,nobels,100%,0%
602.929688,-4.4215969999999984,nobels,100%,0%
624.462891,-4.593303999999996,nobels,100%,0%
645.996094,-3.247948000000001,nobels,100%,0%
667.529297,-2.4825109999999952,nobels,100%,0%
689.0625,-2.0551609999999982,nobels,100%,0%
710.595703,-2.352280999999998,nobels,100%,0%
732.128906,-2.315324000000004,nobels,100%,0%
753.662109,-2.318725999999998,nobels,100%,0%
775.195312,-2.441410999999995,nobels,100%,0%
796.728516,-1.4870760000000018,nobels,100%,0%
818.261719,-2.8757480000000015,nobels,100%,0%
839.794922,-3.3624889999999965,nobels,100%,0%
861.328125,-3.139122999999998,nobels,100%,0%
882.861328,-2.736026999999993,nobels,100%,0%
904.394531,-1.6079289999999986,nobels,100%,0%
925.927734,-1.8600350000000034,nobels,100%,0%
947.460938,-2.5958949999999987,nobels,100%,0%
968.994141,-3.0276639999999944,nobels,100%,0%
990.527344,-2.8216970000000003,nobels,100%,0%
1012.060547,-3.8893020000000007,nobels,100%,0%
1033.59375,-3.759968999999998,nobels,100%,0%
1055.126953,-2.273280999999997,nobels,100%,0%
1076.660156,-3.7577519999999964,nobels,100%,0%
1098.193359,-4.207635000000003,nobels,100%,0%
1119.726562,-4.375371000000001,nobels,100%,0%
1141.259766,-3.7833949999999987,nobels,100%,0%
1162.792969,-2.7223520000000008,nobels,100%,0%
1184.326172,-3.9194189999999978,nobels,100%,0%
