Frequency (Hz)	Level (dB)
21.533203	-35.346085
43.066406	-33.775326
64.599609	-32.222107
86.132812	-30.920910
107.666016	-31.712505
129.199219	-32.953873
150.732422	-32.941032
172.265625	-31.661936
193.798828	-31.212378
215.332031	-31.876131
236.865234	-32.327454
258.398438	-31.933369
279.931641	-31.939888
301.464844	-32.084591
322.998047	-32.158421
344.531250	-32.044586
366.064453	-31.460655
387.597656	-31.565506
409.130859	-31.584364
430.664062	-32.513165
452.197266	-32.712193
473.730469	-32.063808
495.263672	-31.203075
516.796875	-31.494078
538.330078	-32.156986
559.863281	-31.917755
581.396484	-31.263105
602.929688	-32.402592
624.462891	-32.428406
645.996094	-31.508900
667.529297	-30.854900
689.062500	-31.791943
710.595703	-32.037491
732.128906	-30.937786
753.662109	-31.218895
775.195312	-32.200253
796.728516	-31.415564
818.261719	-32.034225
839.794922	-32.094376
861.328125	-32.205566
882.861328	-32.700111
904.394531	-32.771275
925.927734	-33.114792
947.460938	-33.281654
968.994141	-33.747040
990.527344	-33.756500
1012.060547	-33.967892
1033.593750	-33.869354
1055.126953	-33.341042
1076.660156	-33.032333
1098.193359	-33.775040
1119.726562	-35.056454
1141.259766	-35.288040
1162.792969	-34.647854
1184.326172	-35.002048
1205.859375	-35.242664
1227.392578	-34.794609
1248.925781	-35.145313
1270.458984	-35.954826
1291.992188	-36.707184
1313.525391	-36.872643
1335.058594	-36.821835
1356.591797	-35.865997
1378.125000	-34.939312
1399.658203	-35.641579
1421.191406	-36.965572
1442.724609	-36.685112
1464.257812	-36.393814
1485.791016	-36.887424
1507.324219	-36.515305
1528.857422	-36.412411
1550.390625	-37.173092
1571.923828	-37.200062
1593.457031	-37.456146
1614.990234	-37.982864
1636.523438	-37.073189
1658.056641	-37.818333
1679.589844	-38.276237
1701.123047	-37.930435
1722.656250	-38.362316
1744.189453	-38.149708
1765.722656	-38.071301
1787.255859	-38.561390
1808.789062	-38.106411
1830.322266	-38.212337
1851.855469	-39.255543
1873.388672	-40.694317
1894.921875	-40.098259
1916.455078	-39.867237
1937.988281	-39.382301
1959.521484	-37.772202
1981.054688	-38.337917
2002.587891	-40.279499
2024.121094	-39.075104
2045.654297	-39.039280
2067.187500	-39.343880
2088.720703	-39.853287
2110.253906	-39.697201
2131.787109	-39.209614
2153.320312	-39.938534
2174.853516	-41.155167
2196.386719	-40.812660
2217.919922	-39.878765
2239.453125	-39.087032
2260.986328	-39.916702
2282.519531	-40.618176
2304.052734	-40.000263
2325.585938	-40.197708
2347.119141	-40.681004
2368.652344	-40.593597
2390.185547	-40.638672
2411.718750	-41.079838
2433.251953	-41.861172
2454.785156	-41.602821
2476.318359	-41.245647
2497.851562	-40.918346
2519.384766	-40.818172
2540.917969	-40.732414
2562.451172	-40.622540
2583.984375	-41.097500
2605.517578	-41.842026
2627.050781	-42.245857
2648.583984	-43.248669
2670.117188	-42.693741
2691.650391	-42.630047
2713.183594	-42.183296
2734.716797	-41.935883
2756.250000	-42.678310
2777.783203	-42.644531
2799.316406	-42.707470
2820.849609	-42.417622
2842.382812	-42.387966
2863.916016	-43.944355
2885.449219	-44.437634
2906.982422	-43.761646
2928.515625	-43.118767
2950.048828	-43.423111
2971.582031	-43.831482
2993.115234	-43.884796
3014.648438	-44.516647
3036.181641	-44.589733
3057.714844	-43.809456
3079.248047	-43.527550
3100.781250	-43.430969
3122.314453	-44.115864
3143.847656	-44.328259
3165.380859	-44.211365
3186.914062	-44.250446
3208.447266	-44.008770
3229.980469	-45.172314
3251.513672	-45.670261
3273.046875	-44.180355
3294.580078	-44.099625
3316.113281	-44.885937
3337.646484	-45.477409
3359.179688	-45.710747
3380.712891	-45.668228
3402.246094	-45.825001
3423.779297	-46.299812
3445.312500	-46.012081
3466.845703	-45.633064
3488.378906	-45.538601
3509.912109	-46.300545
3531.445312	-46.727421
3552.978516	-46.214645
3574.511719	-46.155689
3596.044922	-46.493240
3617.578125	-46.411304
3639.111328	-46.555351
3660.644531	-46.553165
3682.177734	-46.114120
3703.710938	-45.663582
3725.244141	-46.345943
3746.777344	-46.895672
3768.310547	-46.935955
3789.843750	-47.051949
3811.376953	-46.767086
3832.910156	-47.716923
3854.443359	-47.636562
3875.976562	-47.258080
3897.509766	-47.331776
3919.042969	-47.941689
3940.576172	-47.327911
3962.109375	-46.879742
3983.642578	-47.098110
4005.175781	-48.188866
4026.708984	-48.962540
4048.242188	-49.163513
4069.775391	-49.503822
4091.308594	-49.767677
4112.841797	-48.158577
4134.375000	-48.400211
4155.908203	-49.032822
4177.441406	-47.776249
4198.974609	-48.882004
