Frequency,dB,pedal,Tone,Gain
43.066406,-10.500256999999998,nobels odr-1,0%,0%,
86.132812,-7.982243999999998,nobels odr-1,0%,0%,
129.199219,-6.568727999999993,nobels odr-1,0%,0%,
172.265625,-7.255999999999997,nobels odr-1,0%,0%,
215.332031,-7.043414999999996,nobels odr-1,0%,0%,
258.398438,-5.685239999999997,nobels odr-1,0%,0%,
301.464844,-5.804971999999992,nobels odr-1,0%,0%,
344.53125,-5.916564999999995,nobels odr-1,0%,0%,
387.597656,-6.013593999999994,nobels odr-1,0%,0%,
430.664062,-5.393090999999991,nobels odr-1,0%,0%,
473.730469,-4.647929999999992,nobels odr-1,0%,0%,
516.796875,-4.628160999999995,nobels odr-1,0%,0%,
559.863281,-2.264555999999992,nobels odr-1,0%,0%,
602.929688,-1.570702999999991,nobels odr-1,0%,0%,
645.996094,-2.6629829999999934,nobels odr-1,0%,0%,
689.0625,-0.9390699999999974,nobels odr-1,0%,0%,
732.128906,-1.0532439999999959,nobels odr-1,0%,0%,
775.195312,0,nobels odr-1,0%,0%,
818.261719,-0.2858869999999989,nobels odr-1,0%,0%,
861.328125,-2.5837809999999948,nobels odr-1,0%,0%,
904.394531,-1.1802119999999938,nobels odr-1,0%,0%,
947.460938,-0.5121459999999978,nobels odr-1,0%,0%,
990.527344,-0.8259249999999945,nobels odr-1,0%,0%,
1033.59375,-1.8825129999999923,nobels odr-1,0%,0%,
1076.660156,-2.0673199999999987,nobels odr-1,0%,0%,
1119.726562,-0.9133579999999952,nobels odr-1,0%,0%,
1162.792969,-0.3008009999999963,nobels odr-1,0%,0%,
1205.859375,-0.3240039999999915,nobels odr-1,0%,0%,
1248.925781,-1.9211220000000004,nobels odr-1,0%,0%,
1291.992188,-1.6770629999999933,nobels odr-1,0%,0%,
1335.058594,-2.363095999999995,nobels odr-1,0%,0%,
1378.125,-3.781415999999993,nobels odr-1,0%,0%,
1421.191406,-3.0238399999999963,nobels odr-1,0%,0%,
1464.257812,-4.279556999999997,nobels odr-1,0%,0%,
1507.324219,-3.299156,nobels odr-1,0%,0%,
1550.390625,-2.4143939999999944,nobels odr-1,0%,0%,
1593.457031,-3.2982759999999907,nobels odr-1,0%,0%,
1636.523438,-2.9962349999999986,nobels odr-1,0%,0%,
1679.589844,-4.6729769999999995,nobels odr-1,0%,0%,
1722.65625,-3.746651999999994,nobels odr-1,0%,0%,
1765.722656,-4.302089999999996,nobels odr-1,0%,0%,
1808.789062,-5.663694,nobels odr-1,0%,0%,
1851.855469,-5.201314999999994,nobels odr-1,0%,0%,
1894.921875,-6.102737999999992,nobels odr-1,0%,0%,
1937.988281,-5.108090999999998,nobels odr-1,0%,0%,
1981.054688,-6.428204999999995,nobels odr-1,0%,0%,
2024.121094,-7.217889999999997,nobels odr-1,0%,0%,
2067.1875,-6.671842999999999,nobels odr-1,0%,0%,
2110.253906,-6.791490999999997,nobels odr-1,0%,0%,
2153.320312,-6.466754999999999,nobels odr-1,0%,0%,
2196.386719,-7.814635999999997,nobels odr-1,0%,0%,
2239.453125,-8.322845999999995,nobels odr-1,0%,0%,
2282.519531,-8.634053999999992,nobels odr-1,0%,0%,
2325.585938,-9.51163099999999,nobels odr-1,0%,0%,
2368.652344,-8.890334999999997,nobels odr-1,0%,0%,
2411.71875,-10.136914999999991,nobels odr-1,0%,0%,
2454.785156,-9.723582999999994,nobels odr-1,0%,0%,
2497.851562,-10.006793999999992,nobels odr-1,0%,0%,
2540.917969,-10.676672,nobels odr-1,0%,0%,
2583.984375,-11.272781999999996,nobels odr-1,0%,0%,
2627.050781,-13.734830999999993,nobels odr-1,0%,0%,
2670.117188,-13.318965999999993,nobels odr-1,0%,0%,
2713.183594,-12.901233999999992,nobels odr-1,0%,0%,
2756.25,-12.536342999999995,nobels odr-1,0%,0%,
2799.316406,-12.823173999999995,nobels odr-1,0%,0%,
2842.382812,-14.823842999999997,nobels odr-1,0%,0%,
2885.449219,-13.38217199999999,nobels odr-1,0%,0%,
2928.515625,-13.279893999999995,nobels odr-1,0%,0%,
2971.582031,-13.79820999999999,nobels odr-1,0%,0%,
3014.648438,-13.432189999999991,nobels odr-1,0%,0%,
3057.714844,-15.604068999999992,nobels odr-1,0%,0%,
3100.78125,-14.358802999999995,nobels odr-1,0%,0%,
3143.847656,-15.006607999999993,nobels odr-1,0%,0%,
3186.914062,-17.35764499999999,nobels odr-1,0%,0%,
3229.980469,-16.936154,nobels odr-1,0%,0%,
3273.046875,-15.104262999999996,nobels odr-1,0%,0%,
3316.113281,-13.894454999999994,nobels odr-1,0%,0%,
3359.179688,-15.244300999999993,nobels odr-1,0%,0%,
3402.246094,-16.620547999999992,nobels odr-1,0%,0%,
3445.3125,-16.613471999999994,nobels odr-1,0%,0%,
3488.378906,-17.690053,nobels odr-1,0%,0%,
3531.445312,-16.150914,nobels odr-1,0%,0%,
