Frequency (Hz)	Level (dB)
21.533203	-20.817516
43.066406	-22.324522
64.599609	-24.612923
86.132812	-26.397871
107.666016	-27.017698
129.199219	-28.061745
150.732422	-28.591831
172.265625	-28.494637
193.798828	-29.265997
215.332031	-29.057219
236.865234	-28.900763
258.398438	-30.074848
279.931641	-30.379879
301.464844	-30.626101
322.998047	-31.170374
344.531250	-31.967596
366.064453	-31.506994
387.597656	-32.386852
409.130859	-33.012173
430.664062	-32.614803
452.197266	-32.819824
473.730469	-33.378975
495.263672	-33.441849
516.796875	-33.385914
538.330078	-34.034611
559.863281	-34.765373
581.396484	-34.566090
602.929688	-34.262890
624.462891	-34.441597
645.996094	-34.386612
667.529297	-34.737228
689.062500	-35.662235
710.595703	-35.347282
732.128906	-34.669132
753.662109	-35.035122
775.195312	-35.002296
796.728516	-35.880539
818.261719	-35.594448
839.794922	-35.074371
861.328125	-35.105026
882.861328	-36.283531
904.394531	-36.831631
925.927734	-37.070736
947.460938	-37.381729
968.994141	-36.743813
990.527344	-36.914677
1012.060547	-36.292839
1033.593750	-36.720989
1055.126953	-37.403477
1076.660156	-36.386513
1098.193359	-36.180206
1119.726562	-36.877876
1141.259766	-37.921665
1162.792969	-38.151157
1184.326172	-37.135033
1205.859375	-36.928490
1227.392578	-36.941013
1248.925781	-36.692665
1270.458984	-36.729214
1291.992188	-37.124947
1313.525391	-37.589718
1335.058594	-38.593567
1356.591797	-38.393246
1378.125000	-37.777046
1399.658203	-38.396301
1421.191406	-39.025440
1442.724609	-38.252586
1464.257812	-37.948288
1485.791016	-38.098888
1507.324219	-38.952881
1528.857422	-38.372910
1550.390625	-38.051746
1571.923828	-38.689899
1593.457031	-38.647423
1614.990234	-38.615341
1636.523438	-38.785095
1658.056641	-38.164692
1679.589844	-38.008652
1701.123047	-38.172153
1722.656250	-38.271717
1744.189453	-39.057690
1765.722656	-39.803722
1787.255859	-39.612041
1808.789062	-38.555546
1830.322266	-38.587414
1851.855469	-39.009926
1873.388672	-39.014221
1894.921875	-39.001251
1916.455078	-39.352257
1937.988281	-38.965252
1959.521484	-39.861443
1981.054688	-39.084431
2002.587891	-39.293655
2024.121094	-40.519630
2045.654297	-40.076828
2067.187500	-39.864803
2088.720703	-40.553123
2110.253906	-39.697327
2131.787109	-39.679363
2153.320312	-39.253685
2174.853516	-39.367355
2196.386719	-39.259792
2217.919922	-39.135380
2239.453125	-39.258293
2260.986328	-40.117447
2282.519531	-39.679691
2304.052734	-39.276230
2325.585938	-39.764908
2347.119141	-39.595032
2368.652344	-39.908741
2390.185547	-40.149307
2411.718750	-39.749584
2433.251953	-39.829063
2454.785156	-39.508598
2476.318359	-40.032196
2497.851562	-40.405254
2519.384766	-40.383984
2540.917969	-41.210033
2562.451172	-40.964504
2583.984375	-40.612331
2605.517578	-40.071255
2627.050781	-40.032421
2648.583984	-40.321976
2670.117188	-41.293335
2691.650391	-40.931576
2713.183594	-40.478077
2734.716797	-41.023872
2756.250000	-41.027096
2777.783203	-40.437012
2799.316406	-40.841492
2820.849609	-40.758244
2842.382812	-40.750317
2863.916016	-40.601997
2885.449219	-41.154758
