Frequency (Hz)	Level (dB)
43.066406	-40.887554
86.132812	-39.465389
129.199219	-39.713890
172.265625	-41.266212
215.332031	-41.905704
258.398438	-42.376167
301.464844	-42.568287
344.531250	-43.487324
387.597656	-43.808422
430.664062	-43.254608
473.730469	-43.510017
516.796875	-42.646248
559.863281	-41.779816
602.929688	-41.040012
645.996094	-40.971565
689.062500	-40.830750
732.128906	-40.808819
775.195312	-41.641361
818.261719	-41.797535
861.328125	-42.699013
904.394531	-42.928177
947.460938	-42.705795
990.527344	-43.090424
1033.593750	-43.184101
1076.660156	-42.970688
1119.726562	-42.972198
1162.792969	-43.372532
1205.859375	-43.957581
1248.925781	-44.380692
1291.992188	-44.371902
1335.058594	-45.342773
1378.125000	-46.088089
1421.191406	-46.756248
1464.257812	-47.545712
1507.324219	-48.157352
1550.390625	-47.736450
1593.457031	-48.155621
1636.523438	-48.215549
1679.589844	-48.278896
1722.656250	-48.305595
1765.722656	-48.740906
1808.789062	-49.282749
1851.855469	-49.937622
1894.921875	-50.649567
1937.988281	-50.725273
1981.054688	-51.866962
2024.121094	-52.905231
2067.187500	-52.964291
2110.253906	-52.747036
2153.320312	-53.461666
2196.386719	-53.992218
2239.453125	-53.996651
2282.519531	-54.742622
2325.585938	-54.605152
2368.652344	-55.047634
2411.718750	-55.442108
2454.785156	-56.399620
2497.851562	-56.807922
2540.917969	-56.823635
2583.984375	-57.440407
2627.050781	-57.957119
2670.117188	-59.078129
2713.183594	-58.931301
2756.250000	-59.249699
2799.316406	-59.965462
2842.382812	-60.321728
2885.449219	-60.438168
2928.515625	-60.056694
2971.582031	-60.886337
3014.648438	-61.079491
3057.714844	-61.684006
3100.781250	-61.550381
3143.847656	-61.543282
3186.914062	-62.690166
3229.980469	-63.376862
3273.046875	-63.221195
3316.113281	-63.339794
3359.179688	-63.790661
3402.246094	-63.914497
3445.312500	-63.967762
3488.378906	-64.620705
3531.445312	-64.500977
3574.511719	-64.702461
3617.578125	-64.860260
3660.644531	-64.731041
3703.710938	-65.641792
3746.777344	-65.243027
3789.843750	-65.844055
3832.910156	-66.372116
3875.976562	-66.248619
3919.042969	-66.104111
3962.109375	-66.582909
4005.175781	-66.460274
4048.242188	-66.930000
4091.308594	-66.775665
4134.375000	-66.290413
4177.441406	-66.791283
4220.507812	-67.370667
4263.574219	-68.051704
4306.640625	-67.541962
4349.707031	-67.464920
4392.773438	-66.970398
4435.839844	-66.704048
4478.906250	-67.165833
4521.972656	-67.182777
