frequency_hz,dB,pedal,gain,tone
43.066406,-17.470948,nobels,100%,0%
86.132812,-7.395436999999996,nobels,100%,0%
129.199219,-2.1245749999999983,nobels,100%,0%
172.265625,-0.9409309999999973,nobels,100%,0%
215.332031,-0.9888389999999969,nobels,100%,0%
258.398438,-0.7726239999999969,nobels,100%,0%
301.464844,-0.538020999999997,nobels,100%,0%
344.53125,-0.33235399999999693,nobels,100%,0%
387.597656,-0.2342419999999965,nobels,100%,0%
430.664062,-0.21395899999999912,nobels,100%,0%
473.730469,-0.2858909999999977,nobels,100%,0%
516.796875,-0.33519599999999805,nobels,100%,0%
559.863281,-0.6191879999999976,nobels,100%,0%
602.929688,-0.9399179999999987,nobels,100%,0%
645.996094,-0.989062999999998,nobels,100%,0%
689.0625,-1.1749599999999951,nobels,100%,0%
732.128906,-1.3330799999999954,nobels,100%,0%
775.195312,-1.8325359999999975,nobels,100%,0%
818.261719,-2.096184999999995,nobels,100%,0%
861.328125,-2.2139299999999977,nobels,100%,0%
904.394531,-2.545632999999995,nobels,100%,0%
947.460938,-2.540216999999995,nobels,100%,0%
990.527344,-2.915616,nobels,100%,0%
1033.59375,-3.1205969999999965,nobels,100%,0%
1076.660156,-3.3634919999999937,nobels,100%,0%
1119.726562,-3.6105759999999982,nobels,100%,0%
1162.792969,-3.711680999999995,nobels,100%,0%
1205.859375,-4.114870999999994,nobels,100%,0%
1248.925781,-4.4326180000000015,nobels,100%,0%
1291.992188,-4.627126999999998,nobels,100%,0%
1335.058594,-4.864013,nobels,100%,0%
1378.125,-5.149876000000003,nobels,100%,0%
1421.191406,-5.143957999999998,nobels,100%,0%
1464.257812,-5.319573999999996,nobels,100%,0%
1507.324219,-5.587826999999997,nobels,100%,0%
1550.390625,-5.920564999999996,nobels,100%,0%
1593.457031,-5.895927999999998,nobels,100%,0%
1636.523438,-6.099071999999996,nobels,100%,0%
1679.589844,-6.349354999999999,nobels,100%,0%
1722.65625,-6.630492999999998,nobels,100%,0%
1765.722656,-6.811585999999995,nobels,100%,0%
1808.789062,-6.869600999999999,nobels,100%,0%
1851.855469,-7.243883999999994,nobels,100%,0%
1894.921875,-7.293788999999997,nobels,100%,0%
1937.988281,-7.475733999999999,nobels,100%,0%
1981.054688,-7.629666,nobels,100%,0%
2024.121094,-7.7887699999999995,nobels,100%,0%
2067.1875,-7.852594,nobels,100%,0%
2110.253906,-8.146883999999996,nobels,100%,0%
2153.320312,-8.52975,nobels,100%,0%
2196.386719,-8.611405000000001,nobels,100%,0%
2239.453125,-8.740891999999999,nobels,100%,0%
2282.519531,-8.934774999999998,nobels,100%,0%
2325.585938,-8.974628,nobels,100%,0%
2368.652344,-9.059960999999998,nobels,100%,0%
2411.71875,-9.296976999999995,nobels,100%,0%
2454.785156,-9.3736659999999965,nobels,100%,0%
2497.851562,-9.570527000000002,nobels,100%,0%
2540.917969,-9.741651999999995,nobels,100%,0%
2583.984375,-9.903162000000002,nobels,100%,0%
2627.050781,-10.015011999999999,nobels,100%,0%
2670.117188,-10.095933000000002,nobels,100%,0%
2713.183594,-10.297107999999994,nobels,100%,0%
2756.25,-10.685181999999998,nobels,100%,0%
2799.316406,-10.648193999999997,nobels,100%,0%
2842.382812,-10.862930999999996,nobels,100%,0%
2885.449219,-11.090615999999997,nobels,100%,0%
2928.515625,-11.085321,nobels,100%,0%
2971.582031,-11.186311000000003,nobels,100%,0%
3014.648438,-11.390850999999998,nobels,100%,0%
3057.714844,-11.548962000000003,nobels,100%,0%
3100.78125,-11.599609999999998,nobels,100%,0%
3143.847656,-11.820535,nobels,100%,0%
3186.914062,-11.996086999999996,nobels,100%,0%
3229.980469,-11.907899,nobels,100%,0%
3273.046875,-12.125679999999996,nobels,100%,0%
3316.113281,-12.375637999999995,nobels,100%,0%
3359.179688,-12.412636999999997,nobels,100%,0%
3402.246094,-12.680557999999998,nobels,100%,0%
3445.3125,-12.744877999999993,nobels,100%,0%
3488.378906,-12.831016999999996,nobels,100%,0%
3531.445312,-12.986214999999994,nobels,100%,0%
3574.511719,-13.069340999999994,nobels,100%,0%
3617.578125,-12.939518999999997,nobels,100%,0%
3660.644531,-13.090871999999997,nobels,100%,0%
3703.710938,-13.278130999999995,nobels,100%,0%
3746.777344,-13.325485999999998,nobels,100%,0%
3789.84375,-13.476242999999997,nobels,100%,0%
3832.910156,-13.853058999999995,nobels,100%,0%
3875.976562,-14.097318000000001,nobels,100%,0%
3919.042969,-14.081315000000004,nobels,100%,0%
3962.109375,-14.054291999999997,nobels,100%,0%
4005.175781,-14.327943000000005,nobels,100%,0%
4048.242188,-14.471126999999996,nobels,100%,0%
4091.308594,-14.669022999999996,nobels,100%,0%
4134.375,-14.658723000000002,nobels,100%,0%
4177.441406,-14.750637999999995,nobels,100%,0%
4220.507812,-14.841923999999999,nobels,100%,0%
4263.574219,-14.753468999999996,nobels,100%,0%
4306.640625,-14.980187999999998,nobels,100%,0%
4349.707031,-15.181069,nobels,100%,0%
4392.773438,-15.250553999999994,nobels,100%,0%
4435.839844,-15.502991999999999,nobels,100%,0%
4478.90625,-15.553047999999997,nobels,100%,0%
4521.972656,-15.538537999999996,nobels,100%,0%
4565.039062,-15.692052000000004,nobels,100%,0%
4608.105469,-15.695755999999996,nobels,100%,0%
4651.171875,-15.765270999999998,nobels,100%,0%
4694.238281,-16.003395999999995,nobels,100%,0%
4737.304688,-15.969804000000003,nobels,100%,0%
4780.371094,-16.024271,nobels,100%,0%
4823.4375,-16.240918999999998,nobels,100%,0%
4866.503906,-16.49344,nobels,100%,0%
4909.570312,-16.745147999999993,nobels,100%,0%
4952.636719,-16.693795,nobels,100%,0%
4995.703125,-16.712524999999992,nobels,100%,0%
5038.769531,-16.78412,nobels,100%,0%
5081.835938,-16.959940000000003,nobels,100%,0%
5124.902344,-17.020882999999998,nobels,100%,0%
5167.96875,-17.265416000000002,nobels,100%,0%
5211.035156,-17.395352000000003,nobels,100%,0%
5254.101562,-17.442391,nobels,100%,0%
5297.167969,-17.514916999999997,nobels,100%,0%
5340.234375,-17.626722,nobels,100%,0%
5383.300781,-17.675427,nobels,100%,0%
5426.367188,-17.791818,nobels,100%,0%
5469.433594,-17.906891999999992,nobels,100%,0%
5512.5,-17.941815999999996,nobels,100%,0%
5555.566406,-18.361687000000003,nobels,100%,0%
5598.632812,-18.416669,nobels,100%,0%
5641.699219,-18.323383999999997,nobels,100%,0%
5684.765625,-18.250904999999996,nobels,100%,0%
5727.832031,-18.262059,nobels,100%,0%
5770.898438,-18.444452,nobels,100%,0%
5813.964844,-18.825196999999996,nobels,100%,0%
5857.03125,-18.850403999999997,nobels,100%,0%
5900.097656,-18.867314999999998,nobels,100%,0%
5943.164062,-19.046678,nobels,100%,0%
5986.230469,-19.09731,nobels,100%,0%
6029.296875,-19.322613999999994,nobels,100%,0%
6072.363281,-19.622830999999998,nobels,100%,0%
6115.429688,-19.692884,nobels,100%,0%
6158.496094,-19.489534,nobels,100%,0%
6201.5625,-19.676099,nobels,100%,0%
6244.628906,-19.684525999999998,nobels,100%,0%
6287.695312,-19.674585,nobels,100%,0%
6330.761719,-19.917921,nobels,100%,0%
6373.828125,-20.159546999999996,nobels,100%,0%
6416.894531,-20.228673999999998,nobels,100%,0%
6459.960938,-20.424219,nobels,100%,0%
6503.027344,-20.481744,nobels,100%,0%
6546.09375,-20.485593,nobels,100%,0%
6589.160156,-20.532994000000002,nobels,100%,0%
6632.226562,-20.546571,nobels,100%,0%
6675.292969,-20.648533999999998,nobels,100%,0%
6718.359375,-20.791261,nobels,100%,0%
6761.425781,-20.743988999999992,nobels,100%,0%
6804.492188,-21.080005999999997,nobels,100%,0%
6847.558594,-21.373943999999995,nobels,100%,0%
6890.625,-21.55920499999999,nobels,100%,0%
6933.691406,-21.722263999999996,nobels,100%,0%
6976.757812,-21.685516999999997,nobels,100%,0%
7019.824219,-21.562886999999996,nobels,100%,0%
7062.890625,-21.658879,nobels,100%,0%
7105.957031,-21.721047999999996,nobels,100%,0%
7149.023438,-21.680618999999993,nobels,100%,0%
7192.089844,-22.234085999999998,nobels,100%,0%
7235.15625,-22.191583,nobels,100%,0%
7278.222656,-22.173615999999996,nobels,100%,0%
7321.289062,-22.247684999999997,nobels,100%,0%
7364.355469,-22.731377000000002,nobels,100%,0%
7407.421875,-22.725548999999994,nobels,100%,0%
7450.488281,-22.769852999999998,nobels,100%,0%
7493.554688,-22.798618999999995,nobels,100%,0%
7536.621094,-22.700467000000003,nobels,100%,0%
7579.6875,-22.958162,nobels,100%,0%
7622.753906,-23.299588,nobels,100%,0%
7665.820312,-23.20519,nobels,100%,0%
7708.886719,-23.595684999999996,nobels,100%,0%
7751.953125,-23.677774,nobels,100%,0%
7795.019531,-23.633378999999998,nobels,100%,0%
7838.085938,-23.74899,nobels,100%,0%
7881.152344,-23.838445,nobels,100%,0%
7924.21875,-23.993618999999995,nobels,100%,0%
7967.285156,-23.952988999999995,nobels,100%,0%
8010.351562,-24.092308999999993,nobels,100%,0%
8053.417969,-24.144699999999993,nobels,100%,0%
8096.484375,-24.397840000000002,nobels,100%,0%
8139.550781,-24.430478,nobels,100%,0%
8182.617188,-24.421898999999996,nobels,100%,0%
8225.683594,-24.692323000000002,nobels,100%,0%
8268.75,-24.928653999999995,nobels,100%,0%
8311.816406,-25.033437,nobels,100%,0%
8354.882812,-24.946835,nobels,100%,0%
8397.949219,-25.103558,nobels,100%,0%
8441.015625,-25.103054999999998,nobels,100%,0%
8484.082031,-25.328485,nobels,100%,0%
8527.148438,-25.505139,nobels,100%,0%
8570.214844,-25.599576,nobels,100%,0%
8613.28125,-25.781003,nobels,100%,0%
8656.347656,-26.085622,nobels,100%,0%
8699.414062,-26.170633000000002,nobels,100%,0%
8742.480469,-25.950722999999996,nobels,100%,0%
8785.546875,-26.151998,nobels,100%,0%
8828.613281,-26.465459000000003,nobels,100%,0%
8871.679688,-26.406171,nobels,100%,0%
8914.746094,-26.420330999999997,nobels,100%,0%
8957.8125,-26.599572000000002,nobels,100%,0%
9000.878906,-26.978241999999995,nobels,100%,0%
9043.945312,-27.121429999999997,nobels,100%,0%
9087.011719,-27.225046,nobels,100%,0%
9130.078125,-27.24957,nobels,100%,0%
9173.144531,-27.114731999999997,nobels,100%,0%
9216.210938,-27.277832999999994,nobels,100%,0%
9259.277344,-27.500844999999998,nobels,100%,0%
9302.34375,-27.655625,nobels,100%,0%
9345.410156,-27.728085999999998,nobels,100%,0%
9388.476562,-27.872238999999993,nobels,100%,0%
9431.542969,-28.081537000000004,nobels,100%,0%
9474.609375,-28.369447,nobels,100%,0%
9517.675781,-28.197587,nobels,100%,0%
9560.742188,-28.515744999999995,nobels,100%,0%
9603.808594,-28.82213,nobels,100%,0%
9646.875,-28.945957999999997,nobels,100%,0%
9689.941406,-28.808010999999993,nobels,100%,0%
9733.007812,-28.911388999999993,nobels,100%,0%
9776.074219,-29.091428,nobels,100%,0%
9819.140625,-29.458768,nobels,100%,0%
9862.207031,-29.59229,nobels,100%,0%
9905.273438,-29.517785000000003,nobels,100%,0%
9948.339844,-29.703088,nobels,100%,0%
9991.40625,-29.757172999999995,nobels,100%,0%
10034.472656,-29.898224999999996,nobels,100%,0%
10077.539062,-30.032314999999997,nobels,100%,0%
10120.605469,-30.232297999999993,nobels,100%,0%
10163.671875,-30.517711999999996,nobels,100%,0%
10206.738281,-30.383328999999996,nobels,100%,0%
10249.804688,-30.551916,nobels,100%,0%
10292.871094,-30.737740000000002,nobels,100%,0%
10335.9375,-31.081948999999994,nobels,100%,0%
10379.003906,-31.157728,nobels,100%,0%
10422.070312,-31.285587999999997,nobels,100%,0%
10465.136719,-31.582241999999994,nobels,100%,0%
10508.203125,-31.585804999999993,nobels,100%,0%
10551.269531,-31.699167000000003,nobels,100%,0%
10594.335938,-31.850262999999998,nobels,100%,0%
10637.402344,-31.935814999999998,nobels,100%,0%
10680.46875,-32.061323,nobels,100%,0%
10723.535156,-32.400663,nobels,100%,0%
10766.601562,-32.466688,nobels,100%,0%
10809.667969,-32.738832,nobels,100%,0%
10852.734375,-32.894963,nobels,100%,0%
10895.800781,-32.974229,nobels,100%,0%
10938.867188,-33.311689,nobels,100%,0%
10981.933594,-33.661779,nobels,100%,0%
11025,-33.865727,nobels,100%,0%
11068.066406,-33.917984999999994,nobels,100%,0%
11111.132812,-34.029638,nobels,100%,0%
11154.199219,-34.205628999999995,nobels,100%,0%
11197.265625,-34.308544999999995,nobels,100%,0%
11240.332031,-34.507706999999996,nobels,100%,0%
11283.398438,-34.576077,nobels,100%,0%
11326.464844,-34.711599,nobels,100%,0%
11369.53125,-34.957916999999995,nobels,100%,0%
11412.597656,-35.019373,nobels,100%,0%
11455.664062,-35.230596,nobels,100%,0%
11498.730469,-35.652615,nobels,100%,0%
11541.796875,-35.849675,nobels,100%,0%
11584.863281,-35.777077999999996,nobels,100%,0%
11627.929688,-36.18141299999999,nobels,100%,0%
11670.996094,-36.452206,nobels,100%,0%
11714.0625,-36.57883599999999,nobels,100%,0%
11757.128906,-36.64222899999999,nobels,100%,0%
11800.195312,-36.798402,nobels,100%,0%
11843.261719,-36.898602,nobels,100%,0%
