Frequency (Hz)	Level (dB)
43.066406	-31.150345
86.132812	-24.415115
129.199219	-20.515385
172.265625	-20.052383
215.332031	-20.465063
258.398438	-20.574312
301.464844	-20.625786
344.531250	-20.720465
387.597656	-20.888083
430.664062	-21.132801
473.730469	-21.378313
516.796875	-21.685394
559.863281	-21.939819
602.929688	-21.867735
645.996094	-22.228678
689.062500	-22.919180
732.128906	-22.993137
775.195312	-23.461143
818.261719	-23.730474
861.328125	-24.120684
904.394531	-24.854589
947.460938	-25.159773
990.527344	-25.281885
1033.593750	-25.558605
1076.660156	-25.784967
1119.726562	-26.152956
1162.792969	-26.642616
1205.859375	-26.900549
1248.925781	-27.224331
1291.992188	-27.683125
1335.058594	-27.930634
1378.125000	-27.863962
1421.191406	-28.426502
1464.257812	-28.906914
1507.324219	-28.970263
1550.390625	-29.219120
1593.457031	-29.551004
1636.523438	-29.901896
1679.589844	-30.025728
1722.656250	-30.173136
1765.722656	-30.458370
1808.789062	-30.825544
1851.855469	-31.025978
1894.921875	-31.492809
1937.988281	-31.615202
1981.054688	-31.888941
2024.121094	-32.121830
2067.187500	-32.124081
2110.253906	-32.454918
2153.320312	-32.523701
2196.386719	-32.797157
2239.453125	-32.878796
2282.519531	-32.869431
2325.585938	-33.029301
2368.652344	-33.342312
2411.718750	-33.772888
2454.785156	-34.174274
2497.851562	-34.177189
2540.917969	-34.259399
2583.984375	-34.472916
2627.050781	-34.612549
2670.117188	-34.824451
2713.183594	-34.848034
2756.250000	-35.129681
2799.316406	-35.228218
2842.382812	-35.410809
2885.449219	-35.533035
2928.515625	-35.591995
2971.582031	-35.981678
3014.648438	-36.336414
3057.714844	-36.200821
3100.781250	-36.159298
3143.847656	-36.304623
3186.914062	-36.286125
3229.980469	-36.481995
3273.046875	-36.908047
3316.113281	-36.907642
3359.179688	-37.082664
3402.246094	-37.328091
3445.312500	-37.377068
3488.378906	-37.525707
3531.445312	-37.583424
3574.511719	-37.746922
3617.578125	-38.095154
3660.644531	-37.915627
3703.710938	-37.923882
3746.777344	-38.283794
3789.843750	-38.463902
3832.910156	-38.395329
3875.976562	-38.363441
3919.042969	-38.684093
3962.109375	-38.801746
4005.175781	-38.827137
4048.242188	-38.989315
4091.308594	-38.992859
4134.375000	-38.979538
4177.441406	-39.014282
4220.507812	-39.127014
4263.574219	-39.285400
4306.640625	-39.533943
4349.707031	-39.611439
4392.773438	-39.697433
4435.839844	-39.845402
4478.906250	-39.887936
4521.972656	-40.069424
4565.039062	-40.164112
4608.105469	-40.169796
4651.171875	-40.371132
4694.238281	-40.451447
4737.304688	-40.265026
4780.371094	-40.204571
4823.437500	-40.422020
4866.503906	-40.675602
4909.570312	-40.859753
4952.636719	-40.783215
4995.703125	-40.967560
5038.769531	-41.225163
5081.835938	-41.001549
5124.902344	-41.138130
5167.968750	-41.085445
5211.035156	-41.077057
5254.101562	-41.262585
5297.167969	-41.387589
5340.234375	-41.263172
5383.300781	-41.539253
5426.367188	-41.853535
5469.433594	-41.765743
5512.500000	-41.801144
5555.566406	-41.674397
5598.632812	-41.686390
5641.699219	-41.767956
5684.765625	-41.865894
5727.832031	-42.053131
5770.898438	-42.364857
5813.964844	-42.238304
5857.031250	-42.247547
5900.097656	-42.425312
5943.164062	-42.142952
5986.230469	-42.248638
6029.296875	-42.383087
6072.363281	-42.525612
6115.429688	-42.409615
6158.496094	-42.423988
6201.562500	-42.610634
6244.628906	-42.754910
6287.695312	-42.795582
6330.761719	-42.860561
6373.828125	-42.755581
6416.894531	-42.575619
6459.960938	-42.526031
6503.027344	-42.931015
6546.093750	-43.270004
6589.160156	-43.335548
6632.226562	-43.568958
6675.292969	-43.509457
6718.359375	-43.395538
6761.425781	-43.463623
6804.492188	-43.572170
6847.558594	-43.228397
6890.625000	-43.346207
6933.691406	-43.299198
6976.757812	-43.251827
7019.824219	-43.501545
7062.890625	-43.750118
7105.957031	-43.966846
7149.023438	-44.013950
7192.089844	-43.889717
7235.156250	-43.824940
7278.222656	-43.785454
7321.289062	-43.912235
7364.355469	-43.834740
7407.421875	-44.089790
7450.488281	-44.099861
7493.554688	-44.301212
7536.621094	-44.365623
7579.687500	-44.312946
7622.753906	-44.454407
7665.820312	-44.405457
7708.886719	-44.439495
7751.953125	-44.310268
7795.019531	-44.398941
7838.085938	-44.330929
7881.152344	-44.397141
7924.218750	-44.354595
7967.285156	-44.665619
8010.351562	-44.792061
8053.417969	-44.713528
8096.484375	-44.658722
8139.550781	-44.613747
8182.617188	-44.568111
8225.683594	-44.553474
8268.750000	-44.827682
8311.816406	-44.765656
8354.882812	-44.907875
8397.949219	-45.055779
8441.015625	-45.356960
8484.082031	-45.240261
8527.148438	-45.180828
8570.214844	-45.238190
8613.281250	-45.138298
8656.347656	-44.994217
8699.414062	-45.082218
8742.480469	-45.477024
8785.546875	-45.061234
8828.613281	-45.007244
8871.679688	-45.500370
8914.746094	-45.566124
8957.812500	-45.467072
9000.878906	-45.549450
9043.945312	-45.475674
9087.011719	-45.384399
9130.078125	-45.535221
9173.144531	-45.615536
9216.210938	-45.628014
9259.277344	-45.698586
9302.343750	-45.827534
9345.410156	-45.827427
9388.476562	-45.838665
9431.542969	-45.744961
9474.609375	-45.676842
9517.675781	-45.805752
9560.742188	-45.855782
9603.808594	-45.931736
9646.875000	-46.292767
9689.941406	-46.224636
9733.007812	-45.990974
9776.074219	-46.050980
9819.140625	-46.324234
9862.207031	-46.129787
9905.273438	-46.060200
9948.339844	-46.088318
9991.406250	-46.214455
10034.472656	-46.164017
10077.539062	-46.027596
10120.605469	-46.054401
10163.671875	-46.203209
10206.738281	-46.540245
10249.804688	-46.665337
10292.871094	-46.209621
10335.937500	-46.150631
10379.003906	-46.304501
10422.070312	-46.262238
10465.136719	-46.274582
10508.203125	-46.338909
10551.269531	-46.441032
10594.335938	-46.455982
10637.402344	-46.582485
10680.468750	-46.671566
10723.535156	-46.514534
10766.601562	-46.681278
10809.667969	-46.708241
10852.734375	-46.427135
10895.800781	-46.759346
10938.867188	-46.684376
10981.933594	-46.632725
11025.000000	-46.726830
11068.066406	-46.692158
11111.132812	-46.649220
11154.199219	-46.871128
11197.265625	-47.037613
11240.332031	-46.940327
11283.398438	-46.717880
11326.464844	-46.692509
11369.531250	-46.814766
11412.597656	-47.140385
11455.664062	-47.106544
11498.730469	-46.982529
11541.796875	-46.855808
11584.863281	-47.067997
11627.929688	-47.074329
11670.996094	-47.266460
11714.062500	-47.004433
11757.128906	-47.015659
11800.195312	-47.237221
11843.261719	-47.266064
11886.328125	-47.043491
11929.394531	-47.189285
11972.460938	-47.213978
12015.527344	-47.179565
12058.593750	-47.128437
12101.660156	-46.983723
12144.726562	-47.157604
12187.792969	-47.389507
12230.859375	-47.493591
12273.925781	-47.332428
12316.992188	-47.521988
12360.058594	-47.553356
12403.125000	-47.408241
12446.191406	-47.390110
12489.257812	-47.607479
12532.324219	-47.687393
12575.390625	-47.681026
12618.457031	-47.698463
12661.523438	-47.649555
12704.589844	-47.368729
12747.656250	-47.466755
12790.722656	-47.838562
12833.789062	-47.874512
12876.855469	-47.664387
12919.921875	-47.597012
12962.988281	-47.721649
13006.054688	-47.754696
13049.121094	-47.846920
13092.187500	-47.871414
13135.253906	-47.905365
13178.320312	-47.927128
13221.386719	-47.779160
13264.453125	-47.893429
13307.519531	-47.923061
13350.585938	-47.780529
13393.652344	-47.891136
13436.718750	-48.053226
13479.785156	-48.190773
13522.851562	-48.174072
13565.917969	-48.180527
13608.984375	-48.150192
13652.050781	-48.093033
13695.117188	-48.338486
13738.183594	-48.308918
13781.250000	-48.064266
13824.316406	-47.910435
13867.382812	-48.023216
13910.449219	-48.347786
13953.515625	-48.325619
13996.582031	-48.311546
14039.648438	-48.274422
14082.714844	-48.343094
14125.781250	-48.284996
14168.847656	-48.272846
14211.914062	-48.544502
14254.980469	-48.449726
14298.046875	-48.182255
14341.113281	-48.227623
14384.179688	-48.451485
14427.246094	-48.600613
14470.312500	-48.551849
14513.378906	-48.510532
14556.445312	-48.382957
14599.511719	-48.460850
14642.578125	-48.254539
14685.644531	-48.701260
14728.710938	-48.796299
14771.777344	-48.673088
14814.843750	-48.799747
14857.910156	-48.473091
14900.976562	-48.446320
14944.042969	-48.617813
14987.109375	-48.644444
15030.175781	-48.729534
15073.242188	-48.936577
15116.308594	-48.851856
15159.375000	-48.728218
15202.441406	-48.690865
15245.507812	-48.818775
15288.574219	-48.680450
15331.640625	-48.646236
15374.707031	-48.969410
15417.773438	-48.918694
15460.839844	-48.720375
15503.906250	-48.761749
15546.972656	-48.893650
15590.039062	-48.898579
15633.105469	-49.082592
15676.171875	-48.919998
15719.238281	-49.008308
15762.304688	-49.170574
15805.371094	-49.281158
15848.437500	-49.206181
15891.503906	-48.992214
15934.570312	-48.897861
15977.636719	-48.889668
16020.703125	-49.060009
16063.769531	-49.232304
16106.835938	-49.274216
16149.902344	-49.087105
16192.968750	-49.144779
16236.035156	-49.170467
16279.101562	-49.165833
16322.167969	-49.143250
16365.234375	-49.213203
16408.300781	-49.049660
16451.367188	-49.209431
16494.433594	-49.074287
16537.500000	-49.412159
16580.566406	-49.524975
16623.632812	-49.255081
16666.699219	-49.270325
16709.765625	-49.351238
16752.832031	-49.285030
16795.898438	-49.344025
16838.964844	-49.263195
16882.031250	-49.385567
16925.097656	-49.522228
16968.164062	-49.402370
17011.230469	-49.244816
17054.296875	-49.471714
17097.363281	-49.868595
17140.429688	-49.657341
17183.496094	-49.607357
17226.562500	-49.681030
17269.628906	-49.639942
17312.695312	-49.681194
17355.761719	-49.646126
17398.828125	-49.606869
17441.894531	-49.420284
17484.960938	-49.339031
17528.027344	-49.486725
17571.093750	-49.609211
17614.160156	-49.598499
17657.226562	-49.787888
17700.292969	-49.855545
17743.359375	-50.077991
17786.425781	-49.986023
17829.492188	-49.636375
17872.558594	-49.751858
17915.625000	-50.034321
17958.691406	-50.055573
18001.757812	-50.032490
18044.824219	-49.885372
18087.890625	-49.841568
18130.957031	-49.897747
18174.023438	-49.835449
18217.089844	-49.923019
18260.156250	-50.084320
18303.222656	-50.140457
18346.289062	-50.054729
18389.355469	-50.299198
18432.421875	-50.073135
18475.488281	-49.914642
18518.554688	-50.206478
18561.621094	-50.162525
18604.687500	-50.045155
18647.753906	-50.269894
18690.820312	-50.430286
18733.886719	-50.451332
18776.953125	-50.366882
18820.019531	-50.457607
18863.085938	-50.116508
18906.152344	-50.068024
18949.218750	-50.332775
18992.285156	-50.132553
19035.351562	-50.044525
19078.417969	-50.081436
19121.484375	-49.966671
19164.550781	-50.078808
19207.617188	-50.133762
19250.683594	-50.224430
19293.750000	-50.368835
19336.816406	-50.537312
19379.882812	-50.545979
19422.949219	-50.351017
19466.015625	-50.247696
19509.082031	-50.183807
19552.148438	-50.164375
19595.214844	-50.491737
19638.281250	-50.547222
19681.347656	-50.214973
19724.414062	-50.101055
19767.480469	-50.316284
19810.546875	-50.613186
19853.613281	-50.594822
19896.679688	-50.504768
19939.746094	-50.407532
19982.812500	-50.344101
20025.878906	-50.215675
20068.945312	-50.503349
20112.011719	-50.562943
20155.078125	-50.647396
20198.144531	-50.930470
20241.210938	-50.715626
20284.277344	-50.672325
20327.343750	-50.658764
20370.410156	-50.673462
20413.476562	-50.577122
20456.542969	-50.669022
20499.609375	-50.742275
20542.675781	-50.848831
20585.742188	-50.934708
20628.808594	-51.135120
20671.875000	-50.855583
20714.941406	-50.851597
20758.007812	-50.966484
20801.074219	-50.917591
20844.140625	-50.985474
20887.207031	-51.162144
20930.273438	-51.054783
20973.339844	-50.987316
21016.406250	-51.015232
21059.472656	-51.000229
21102.539062	-51.183758
21145.605469	-51.384052
21188.671875	-51.370571
21231.738281	-51.168339
21274.804688	-51.119251
21317.871094	-51.332428
21360.937500	-51.326225
21404.003906	-51.561596
21447.070312	-51.591934
21490.136719	-51.672684
21533.203125	-51.804123
21576.269531	-52.120205
21619.335938	-51.988846
21662.402344	-52.318970
21705.468750	-52.702343
21748.535156	-53.022499
21791.601562	-53.609928
21834.667969	-54.441872
21877.734375	-55.671436
21920.800781	-57.373886
21963.867188	-59.959084
22006.933594	-63.587719
