Frequency (Hz)	Level (dB)
43.066406	-18.542395
86.132812	-23.154922
129.199219	-24.310734
172.265625	-24.986317
215.332031	-25.247698
258.398438	-26.246586
301.464844	-26.961378
344.531250	-26.815201
387.597656	-27.402946
430.664062	-28.275253
473.730469	-28.647478
516.796875	-28.857267
559.863281	-29.141685
602.929688	-28.724352
645.996094	-29.101856
689.062500	-29.851196
732.128906	-29.513195
775.195312	-30.246702
818.261719	-30.506481
861.328125	-31.126785
904.394531	-32.007504
947.460938	-32.323421
990.527344	-31.838108
1033.593750	-31.603882
1076.660156	-32.039261
1119.726562	-32.609577
1162.792969	-33.020428
1205.859375	-32.387203
1248.925781	-32.801182
1291.992188	-32.923523
1335.058594	-33.237152
1378.125000	-33.395042
1421.191406	-33.882465
1464.257812	-34.127045
1507.324219	-34.588722
1550.390625	-34.546635
1593.457031	-34.478889
1636.523438	-34.859249
1679.589844	-34.802666
1722.656250	-34.877625
1765.722656	-35.706448
1808.789062	-35.288383
1851.855469	-35.269947
1894.921875	-35.650810
1937.988281	-35.889305
1981.054688	-35.807659
2024.121094	-36.236397
2067.187500	-36.325336
2110.253906	-36.758560
2153.320312	-36.438934
2196.386719	-36.637821
2239.453125	-36.827751
2282.519531	-36.828651
2325.585938	-37.074718
2368.652344	-37.178097
2411.718750	-37.395195
2454.785156	-37.201145
2497.851562	-37.521400
2540.917969	-38.154095
2583.984375	-37.727116
2627.050781	-37.566277
2670.117188	-37.958122
2713.183594	-38.141983
2756.250000	-38.510242
2799.316406	-38.117390
2842.382812	-38.201862
2885.449219	-38.429390
2928.515625	-38.863628
2971.582031	-38.953880
3014.648438	-39.263714
3057.714844	-38.700703
3100.781250	-38.592567
3143.847656	-38.787910
3186.914062	-38.555134
3229.980469	-38.253876
3273.046875	-39.031132
3316.113281	-39.190346
3359.179688	-38.790520
3402.246094	-39.043362
3445.312500	-39.438766
3488.378906	-39.727554
3531.445312	-39.716621
3574.511719	-39.953594
3617.578125	-39.909073
3660.644531	-39.517086
3703.710938	-39.759209
3746.777344	-40.024155
3789.843750	-40.352631
3832.910156	-39.879452
3875.976562	-39.675884
3919.042969	-39.546940
3962.109375	-39.407154
4005.175781	-39.689926
4048.242188	-39.651237
4091.308594	-40.122963
4134.375000	-40.210846
4177.441406	-40.026787
4220.507812	-40.027653
4263.574219	-40.467503
4306.640625	-40.263615
4349.707031	-40.502930
4392.773438	-40.855278
4435.839844	-40.999748
4478.906250	-40.781597
4521.972656	-40.640030
4565.039062	-40.580219
4608.105469	-40.566101
4651.171875	-40.856133
4694.238281	-41.248425
4737.304688	-41.165569
4780.371094	-40.968189
4823.437500	-41.560036
4866.503906	-41.567959
4909.570312	-41.702133
4952.636719	-41.011620
4995.703125	-41.723091
5038.769531	-41.607334
5081.835938	-41.446831
5124.902344	-41.612293
5167.968750	-41.412636
5211.035156	-41.610008
5254.101562	-41.401669
5297.167969	-41.757744
5340.234375	-41.153645
5383.300781	-41.812260
5426.367188	-42.321667
5469.433594	-41.736824
