Frequency (Hz)	Level (dB)
43.066406	-34.544998
86.132812	-27.723003
129.199219	-23.916962
172.265625	-23.427765
215.332031	-23.914679
258.398438	-23.804832
301.464844	-23.724718
344.531250	-24.106270
387.597656	-24.433073
430.664062	-24.563423
473.730469	-24.600918
516.796875	-24.833736
559.863281	-24.941360
602.929688	-24.680223
645.996094	-25.090343
689.062500	-25.699926
732.128906	-26.167576
775.195312	-26.841396
818.261719	-27.148737
861.328125	-27.840757
904.394531	-28.279545
947.460938	-28.380306
990.527344	-28.365686
1033.593750	-28.661390
1076.660156	-28.778555
1119.726562	-28.768988
1162.792969	-29.331470
1205.859375	-30.117786
1248.925781	-30.533171
1291.992188	-30.633734
1335.058594	-30.911131
1378.125000	-31.154720
1421.191406	-31.819782
1464.257812	-32.349812
1507.324219	-32.551895
1550.390625	-32.689728
1593.457031	-33.318329
1636.523438	-33.714600
1679.589844	-33.641426
1722.656250	-33.300194
1765.722656	-33.748089
1808.789062	-34.431778
1851.855469	-34.692837
1894.921875	-35.280876
1937.988281	-35.505695
1981.054688	-35.891384
2024.121094	-35.947411
2067.187500	-36.140732
2110.253906	-36.330448
2153.320312	-36.695374
2196.386719	-36.957542
2239.453125	-37.170216
2282.519531	-37.016579
2325.585938	-37.168518
2368.652344	-37.496605
2411.718750	-38.002350
2454.785156	-38.594151
2497.851562	-38.542816
2540.917969	-38.522137
2583.984375	-39.029007
2627.050781	-39.227665
2670.117188	-39.453629
2713.183594	-39.521091
2756.250000	-39.504944
2799.316406	-39.875420
2842.382812	-40.230263
2885.449219	-40.117104
2928.515625	-40.398296
2971.582031	-41.166687
3014.648438	-41.503258
3057.714844	-41.531097
3100.781250	-41.427250
3143.847656	-41.352921
3186.914062	-41.522636
3229.980469	-41.895233
3273.046875	-42.313026
3316.113281	-42.045952
3359.179688	-42.508991
3402.246094	-42.500084
3445.312500	-42.784260
3488.378906	-43.342377
3531.445312	-43.227489
3574.511719	-43.384190
3617.578125	-43.664692
3660.644531	-43.532204
3703.710938	-43.454746
3746.777344	-43.979481
3789.843750	-44.197727
3832.910156	-44.330650
3875.976562	-44.307266
3919.042969	-44.818886
3962.109375	-45.568844
4005.175781	-45.217976
4048.242188	-45.251877
4091.308594	-45.213291
4134.375000	-45.079536
4177.441406	-45.519176
4220.507812	-46.150345
4263.574219	-46.261154
4306.640625	-46.271824
4349.707031	-46.319565
4392.773438	-46.460361
4435.839844	-46.700958
4478.906250	-46.906006
4521.972656	-47.443172
4565.039062	-47.434029
4608.105469	-47.638874
4651.171875	-47.934273
4694.238281	-47.766884
4737.304688	-47.777325
4780.371094	-47.714046
4823.437500	-47.836826
4866.503906	-48.346661
4909.570312	-48.413357
4952.636719	-48.508102
4995.703125	-48.607918
5038.769531	-49.090305
5081.835938	-48.832722
5124.902344	-48.871128
5167.968750	-48.686260
5211.035156	-48.637875
5254.101562	-49.252129
5297.167969	-49.793076
5340.234375	-49.440411
5383.300781	-49.917740
5426.367188	-50.341766
5469.433594	-50.430645
5512.500000	-50.842159
5555.566406	-50.599152
5598.632812	-50.324764
5641.699219	-50.751858
5684.765625	-50.756882
5727.832031	-50.939674
5770.898438	-51.425793
5813.964844	-51.380543
5857.031250	-51.308529
5900.097656	-51.473751
5943.164062	-51.689377
5986.230469	-52.064682
6029.296875	-51.974503
6072.363281	-52.020592
6115.429688	-52.021278
6158.496094	-52.412254
6201.562500	-52.688259
6244.628906	-52.619465
6287.695312	-52.701294
6330.761719	-52.926712
6373.828125	-52.884651
6416.894531	-52.894875
6459.960938	-52.730091
6503.027344	-52.981667
6546.093750	-53.847168
6589.160156	-53.954350
6632.226562	-54.119244
6675.292969	-54.040886
6718.359375	-54.111385
6761.425781	-54.631477
6804.492188	-54.363033
6847.558594	-54.243313
6890.625000	-54.387287
6933.691406	-54.554680
6976.757812	-54.361584
7019.824219	-54.661804
7062.890625	-55.384670
7105.957031	-55.515892
7149.023438	-55.629784
7192.089844	-55.545944
7235.156250	-55.477623
7278.222656	-55.658543
7321.289062	-55.773823
7364.355469	-55.310207
7407.421875	-55.913120
7450.488281	-55.934399
7493.554688	-56.500553
7536.621094	-57.229458
7579.687500	-57.263466
7622.753906	-57.283150
7665.820312	-57.051022
7708.886719	-56.845737
7751.953125	-56.714142
7795.019531	-57.234821
7838.085938	-57.083347
7881.152344	-57.206299
7924.218750	-57.422726
7967.285156	-58.024036
8010.351562	-58.355309
8053.417969	-58.166698
8096.484375	-58.086346
8139.550781	-58.252232
8182.617188	-58.369541
8225.683594	-58.697189
8268.750000	-58.818493
8311.816406	-58.726639
8354.882812	-58.715542
8397.949219	-58.786713
8441.015625	-59.279816
8484.082031	-59.496048
8527.148438	-59.562214
8570.214844	-59.670803
8613.281250	-59.471718
8656.347656	-59.564507
8699.414062	-59.896629
8742.480469	-60.595684
8785.546875	-59.675457
8828.613281	-59.627815
8871.679688	-60.503120
8914.746094	-60.704819
8957.812500	-60.671375
9000.878906	-61.037903
9043.945312	-60.891197
9087.011719	-60.842140
9130.078125	-61.111977
9173.144531	-61.373589
9216.210938	-61.398685
9259.277344	-61.575119
9302.343750	-61.513527
9345.410156	-62.271770
9388.476562	-62.295120
9431.542969	-61.948990
9474.609375	-61.979439
9517.675781	-61.935169
9560.742188	-62.465248
9603.808594	-62.922718
9646.875000	-63.681072
9689.941406	-63.175945
9733.007812	-63.015560
9776.074219	-63.491356
9819.140625	-63.512878
9862.207031	-63.339764
9905.273438	-63.220535
9948.339844	-63.574764
9991.406250	-64.450409
10034.472656	-64.258217
10077.539062	-63.792679
10120.605469	-63.806900
10163.671875	-64.770683
10206.738281	-64.873062
10249.804688	-64.945427
10292.871094	-64.984894
10335.937500	-64.947189
10379.003906	-65.380859
10422.070312	-65.350342
10465.136719	-65.175400
10508.203125	-65.353546
10551.269531	-66.144691
10594.335938	-66.239815
10637.402344	-66.213791
10680.468750	-66.215134
10723.535156	-66.067009
10766.601562	-66.809532
10809.667969	-66.852028
10852.734375	-66.497124
10895.800781	-66.667458
10938.867188	-67.057327
10981.933594	-67.186729
11025.000000	-67.622437
11068.066406	-67.990021
11111.132812	-68.008102
11154.199219	-68.042870
11197.265625	-68.388519
11240.332031	-68.440292
11283.398438	-68.366035
11326.464844	-68.282997
11369.531250	-68.519630
11412.597656	-68.788071
11455.664062	-68.694633
11498.730469	-69.052811
11541.796875	-69.202988
11584.863281	-69.105721
11627.929688	-69.242332
11670.996094	-69.516373
11714.062500	-69.783981
11757.128906	-69.505432
11800.195312	-69.790131
11843.261719	-70.096176
11886.328125	-69.965752
11929.394531	-70.398140
11972.460938	-70.558662
12015.527344	-70.505844
12058.593750	-70.476776
12101.660156	-70.649826
12144.726562	-71.054016
12187.792969	-71.399887
12230.859375	-71.062843
12273.925781	-71.504036
12316.992188	-71.767517
12360.058594	-71.234352
12403.125000	-71.474609
12446.191406	-71.332764
12489.257812	-71.144096
12532.324219	-71.753418
12575.390625	-71.630798
12618.457031	-71.514015
12661.523438	-71.853630
12704.589844	-71.472916
12747.656250	-71.147903
12790.722656	-71.604294
12833.789062	-71.958870
12876.855469	-71.810585
12919.921875	-71.712875
12962.988281	-71.801819
13006.054688	-71.937439
13049.121094	-71.593895
13092.187500	-71.710159
13135.253906	-72.125816
13178.320312	-71.959236
13221.386719	-71.786674
13264.453125	-71.637978
13307.519531	-71.483101
13350.585938	-71.584579
13393.652344	-71.436203
13436.718750	-71.506180
13479.785156	-71.418091
13522.851562	-71.052757
13565.917969	-70.996391
13608.984375	-71.141640
13652.050781	-71.507248
13695.117188	-71.574020
13738.183594	-71.268280
13781.250000	-70.877220
13824.316406	-70.638634
13867.382812	-70.749817
13910.449219	-70.849495
13953.515625	-70.860367
13996.582031	-71.063698
14039.648438	-70.490044
14082.714844	-70.285378
14125.781250	-70.801819
14168.847656	-70.804153
14211.914062	-70.677238
14254.980469	-70.293106
14298.046875	-69.697365
14341.113281	-69.591713
14384.179688	-69.806282
14427.246094	-69.918182
14470.312500	-69.900856
14513.378906	-69.685844
14556.445312	-69.379799
14599.511719	-69.384911
14642.578125	-69.798302
14685.644531	-69.819618
14728.710938	-69.441345
14771.777344	-69.410255
14814.843750	-69.374069
14857.910156	-68.873924
14900.976562	-69.147537
14944.042969	-68.992538
14987.109375	-68.985184
15030.175781	-69.119324
15073.242188	-69.327522
15116.308594	-68.844170
15159.375000	-68.760300
15202.441406	-68.699913
15245.507812	-68.590569
15288.574219	-68.244438
15331.640625	-68.437408
15374.707031	-68.704857
15417.773438	-68.450356
15460.839844	-68.218735
15503.906250	-67.784554
15546.972656	-67.631493
15590.039062	-67.847610
15633.105469	-68.315720
15676.171875	-68.008408
15719.238281	-67.901901
15762.304688	-68.113678
15805.371094	-67.933418
15848.437500	-67.469193
15891.503906	-67.697159
15934.570312	-67.282692
15977.636719	-67.083626
16020.703125	-67.334663
16063.769531	-67.199837
16106.835938	-67.385071
16149.902344	-67.225731
16192.968750	-67.009117
16236.035156	-67.024940
16279.101562	-66.923744
16322.167969	-67.007790
16365.234375	-66.787811
16408.300781	-66.370995
16451.367188	-66.635468
16494.433594	-66.652245
16537.500000	-66.767471
16580.566406	-66.636559
16623.632812	-66.314247
16666.699219	-66.386292
16709.765625	-66.867661
16752.832031	-66.655235
16795.898438	-66.144264
16838.964844	-66.072693
16882.031250	-66.025658
16925.097656	-66.297745
16968.164062	-66.137131
17011.230469	-65.974731
17054.296875	-65.731712
17097.363281	-66.297432
17140.429688	-66.347595
17183.496094	-66.207787
17226.562500	-65.865311
17269.628906	-65.590897
17312.695312	-65.527611
17355.761719	-65.383659
17398.828125	-65.372711
17441.894531	-64.977524
17484.960938	-64.985710
17528.027344	-65.240395
17571.093750	-65.593971
17614.160156	-65.026215
17657.226562	-64.919487
17700.292969	-65.498032
17743.359375	-65.922028
17786.425781	-65.431427
17829.492188	-64.937187
17872.558594	-65.150009
17915.625000	-65.295746
17958.691406	-65.458237
18001.757812	-65.324524
18044.824219	-64.949387
18087.890625	-65.020683
18130.957031	-64.869415
18174.023438	-64.653725
18217.089844	-64.773628
18260.156250	-64.712997
18303.222656	-64.863586
18346.289062	-64.962074
18389.355469	-64.786812
18432.421875	-64.443764
18475.488281	-64.499886
18518.554688	-64.780312
18561.621094	-64.889526
18604.687500	-64.865356
18647.753906	-64.877480
18690.820312	-64.897614
18733.886719	-64.960976
18776.953125	-64.488304
18820.019531	-64.131607
18863.085938	-63.716362
18906.152344	-63.816635
18949.218750	-64.277977
18992.285156	-64.187668
19035.351562	-63.962452
19078.417969	-63.943237
19121.484375	-64.059151
19164.550781	-63.767242
19207.617188	-63.622131
19250.683594	-63.827652
19293.750000	-63.748058
19336.816406	-64.010735
19379.882812	-64.322151
19422.949219	-63.771698
19466.015625	-63.266685
19509.082031	-63.569267
19552.148438	-63.522610
19595.214844	-63.913818
19638.281250	-64.257629
19681.347656	-63.675011
19724.414062	-63.220085
19767.480469	-63.387432
19810.546875	-63.802227
19853.613281	-64.197067
19896.679688	-63.750431
19939.746094	-63.007225
19982.812500	-62.990288
20025.878906	-63.167294
20068.945312	-63.489902
20112.011719	-63.230206
20155.078125	-63.389515
20198.144531	-63.823761
20241.210938	-63.525738
20284.277344	-62.885277
20327.343750	-63.312477
20370.410156	-62.879959
20413.476562	-62.956440
20456.542969	-63.162102
20499.609375	-63.154621
20542.675781	-63.372589
20585.742188	-63.181702
20628.808594	-63.392437
20671.875000	-63.407303
20714.941406	-63.094242
20758.007812	-63.233315
20801.074219	-63.136475
20844.140625	-63.615578
20887.207031	-63.543362
20930.273438	-63.324604
20973.339844	-63.147781
21016.406250	-63.242466
21059.472656	-63.377991
21102.539062	-63.294285
21145.605469	-63.387878
21188.671875	-63.083935
21231.738281	-63.073586
21274.804688	-63.215435
21317.871094	-63.356632
21360.937500	-63.104115
21404.003906	-63.123878
21447.070312	-63.102875
21490.136719	-63.569794
21533.203125	-63.916695
21576.269531	-63.993404
21619.335938	-63.495403
21662.402344	-63.466358
21705.468750	-63.905502
21748.535156	-63.992592
21791.601562	-63.402058
21834.667969	-63.211872
21877.734375	-63.402802
21920.800781	-63.563831
21963.867188	-63.502132
22006.933594	-63.238071
