Frequency (Hz)	Level (dB)
43.066406	-17.703426
86.132812	-16.247864
129.199219	-13.223720
172.265625	-13.501967
215.332031	-14.358901
258.398438	-14.505893
301.464844	-14.793575
344.531250	-15.145761
387.597656	-15.180349
430.664062	-15.188905
473.730469	-15.605092
516.796875	-16.050922
559.863281	-16.160732
602.929688	-16.121141
645.996094	-16.157274
689.062500	-16.369778
732.128906	-16.661713
775.195312	-17.078295
818.261719	-17.284527
861.328125	-17.644449
904.394531	-17.679834
947.460938	-17.760914
990.527344	-17.592270
1033.593750	-17.756594
1076.660156	-17.977777
1119.726562	-18.062399
1162.792969	-17.797544
1205.859375	-18.281284
1248.925781	-18.765726
1291.992188	-19.023664
1335.058594	-18.518049
1378.125000	-18.517214
1421.191406	-18.731085
1464.257812	-19.158129
1507.324219	-19.152792
1550.390625	-19.061321
1593.457031	-19.426956
1636.523438	-19.671278
1679.589844	-19.580711
1722.656250	-19.283869
1765.722656	-19.567684
1808.789062	-20.102962
1851.855469	-20.086075
1894.921875	-20.434151
1937.988281	-20.316830
1981.054688	-19.914534
2024.121094	-19.717466
2067.187500	-19.900812
2110.253906	-20.066957
2153.320312	-20.364738
2196.386719	-20.379843
2239.453125	-20.031633
2282.519531	-20.132336
2325.585938	-19.974760
2368.652344	-19.997423
2411.718750	-20.504877
2454.785156	-21.070932
2497.851562	-20.673979
2540.917969	-20.351509
2583.984375	-20.693958
2627.050781	-21.062820
2670.117188	-20.649725
2713.183594	-20.455612
2756.250000	-20.745819
2799.316406	-20.673315
2842.382812	-20.952900
2885.449219	-21.050312
2928.515625	-20.835184
2971.582031	-21.345007
3014.648438	-21.458683
3057.714844	-21.227037
3100.781250	-21.160418
3143.847656	-20.741741
3186.914062	-21.096588
3229.980469	-21.530409
3273.046875	-21.435640
3316.113281	-20.976103
3359.179688	-21.537823
3402.246094	-21.889561
3445.312500	-21.679787
3488.378906	-21.667109
3531.445312	-21.453943
3574.511719	-21.557362
3617.578125	-21.791445
3660.644531	-21.431475
3703.710938	-21.299515
3746.777344	-21.897575
3789.843750	-21.613987
3832.910156	-21.821600
3875.976562	-21.686567
3919.042969	-22.108870
3962.109375	-22.010138
4005.175781	-22.157053
4048.242188	-22.581741
4091.308594	-22.560486
4134.375000	-22.070822
4177.441406	-21.971018
4220.507812	-22.414982
4263.574219	-22.432829
4306.640625	-22.609657
4349.707031	-22.603846
4392.773438	-22.558361
4435.839844	-22.636753
4478.906250	-22.359407
4521.972656	-22.275427
4565.039062	-22.456486
4608.105469	-22.597712
4651.171875	-23.051384
4694.238281	-22.806211
4737.304688	-22.562502
4780.371094	-22.526064
4823.437500	-22.333479
4866.503906	-22.635139
4909.570312	-22.821280
4952.636719	-23.136507
4995.703125	-22.935850
5038.769531	-23.321577
5081.835938	-22.811594
5124.902344	-22.798107
5167.968750	-22.766335
5211.035156	-22.842693
5254.101562	-23.374596
5297.167969	-23.344902
5340.234375	-23.187067
5383.300781	-23.224575
5426.367188	-23.278122
5469.433594	-23.362829
5512.500000	-23.246422
5555.566406	-23.211012
5598.632812	-23.134550
5641.699219	-23.243187
5684.765625	-22.721542
5727.832031	-23.064369
5770.898438	-23.497623
5813.964844	-23.481750
5857.031250	-23.443823
5900.097656	-23.502573
5943.164062	-23.161161
5986.230469	-23.302895
6029.296875	-23.432407
6072.363281	-23.529114
6115.429688	-23.686045
6158.496094	-23.776886
6201.562500	-23.837004
6244.628906	-23.863487
6287.695312	-23.870737
6330.761719	-23.838037
6373.828125	-23.738714
6416.894531	-23.407310
6459.960938	-23.162317
6503.027344	-23.550705
6546.093750	-24.050575
6589.160156	-24.347641
6632.226562	-24.600698
6675.292969	-24.398106
6718.359375	-24.300089
6761.425781	-24.114956
6804.492188	-24.187536
6847.558594	-23.793463
6890.625000	-24.132895
6933.691406	-24.038271
6976.757812	-24.020475
7019.824219	-24.192039
7062.890625	-24.470974
7105.957031	-24.599413
7149.023438	-24.657005
7192.089844	-24.656538
7235.156250	-24.361542
7278.222656	-24.281626
7321.289062	-24.269701
7364.355469	-24.386106
7407.421875	-25.034117
7450.488281	-24.782400
7493.554688	-24.673534
7536.621094	-24.521873
7579.687500	-24.875742
7622.753906	-25.180418
7665.820312	-25.361382
7708.886719	-25.262770
7751.953125	-24.586340
7795.019531	-24.866692
7838.085938	-24.749620
7881.152344	-25.180569
7924.218750	-25.333067
7967.285156	-24.856260
8010.351562	-24.911102
8053.417969	-24.856087
8096.484375	-25.067926
8139.550781	-25.235418
8182.617188	-25.115519
8225.683594	-25.260048
8268.750000	-25.487471
8311.816406	-25.128918
8354.882812	-25.027552
8397.949219	-25.393131
8441.015625	-25.656075
8484.082031	-25.452757
8527.148438	-25.524372
8570.214844	-25.478479
8613.281250	-25.093697
8656.347656	-25.711643
8699.414062	-25.536301
8742.480469	-25.404299
8785.546875	-25.118979
8828.613281	-25.150145
8871.679688	-25.475325
8914.746094	-25.679224
8957.812500	-25.806767
9000.878906	-26.024488
9043.945312	-25.797529
9087.011719	-25.512409
9130.078125	-25.592739
9173.144531	-25.553684
9216.210938	-25.926403
9259.277344	-26.540943
9302.343750	-26.172483
9345.410156	-25.858028
9388.476562	-26.040510
9431.542969	-25.852531
9474.609375	-25.576220
9517.675781	-25.636358
9560.742188	-25.959404
9603.808594	-26.254745
9646.875000	-26.854996
9689.941406	-26.601683
9733.007812	-26.146086
9776.074219	-26.416252
9819.140625	-26.374189
9862.207031	-25.991835
9905.273438	-26.007980
9948.339844	-26.102262
9991.406250	-26.446230
10034.472656	-25.945641
10077.539062	-25.622532
10120.605469	-26.069798
10163.671875	-26.471951
10206.738281	-26.324764
10249.804688	-26.564329
10292.871094	-26.550350
10335.937500	-26.945095
10379.003906	-26.779318
10422.070312	-26.396631
10465.136719	-26.324276
10508.203125	-26.195536
10551.269531	-26.523457
10594.335938	-26.516682
10637.402344	-26.664587
10680.468750	-26.447933
10723.535156	-26.673948
10766.601562	-27.266867
10809.667969	-27.276592
10852.734375	-27.099791
10895.800781	-27.075031
10938.867188	-26.852684
10981.933594	-26.705084
11025.000000	-26.626711
11068.066406	-26.699818
11111.132812	-26.765646
11154.199219	-26.859806
11197.265625	-27.307686
11240.332031	-27.170296
11283.398438	-27.040768
11326.464844	-27.256231
11369.531250	-27.032082
11412.597656	-27.093220
11455.664062	-27.432690
11498.730469	-26.975479
11541.796875	-27.031551
11584.863281	-27.486715
11627.929688	-27.264046
11670.996094	-27.557306
11714.062500	-27.052332
11757.128906	-27.056906
11800.195312	-27.237698
11843.261719	-27.673143
11886.328125	-27.853638
11929.394531	-27.774824
11972.460938	-27.778126
12015.527344	-27.518946
12058.593750	-27.522738
12101.660156	-27.313404
12144.726562	-27.571257
12187.792969	-27.572412
12230.859375	-27.218292
12273.925781	-27.260672
12316.992188	-27.482763
12360.058594	-27.241419
12403.125000	-27.464663
12446.191406	-27.928707
12489.257812	-27.817152
12532.324219	-27.919436
12575.390625	-27.982859
12618.457031	-28.149622
12661.523438	-28.161602
12704.589844	-27.799669
12747.656250	-27.804760
12790.722656	-27.799450
12833.789062	-27.862240
12876.855469	-27.884052
12919.921875	-28.016226
12962.988281	-28.087219
13006.054688	-28.531342
13049.121094	-28.863501
13092.187500	-28.865313
13135.253906	-28.481781
13178.320312	-28.309122
13221.386719	-28.355005
13264.453125	-28.449982
13307.519531	-28.763847
13350.585938	-28.550465
13393.652344	-28.034149
13436.718750	-28.186935
13479.785156	-28.353708
13522.851562	-28.566370
13565.917969	-28.674578
13608.984375	-28.608789
13652.050781	-28.520063
13695.117188	-28.940792
13738.183594	-28.844099
13781.250000	-28.848476
13824.316406	-28.892811
13867.382812	-28.660870
13910.449219	-28.873999
13953.515625	-28.875765
13996.582031	-29.037243
14039.648438	-28.573345
14082.714844	-28.289948
14125.781250	-28.827579
14168.847656	-28.754471
14211.914062	-28.652847
14254.980469	-28.781107
14298.046875	-28.601505
14341.113281	-28.964710
14384.179688	-29.080301
14427.246094	-28.875196
14470.312500	-28.602087
14513.378906	-28.592430
14556.445312	-28.971605
14599.511719	-28.757647
14642.578125	-29.147850
14685.644531	-29.178854
14728.710938	-29.112556
14771.777344	-29.388317
14814.843750	-29.107658
14857.910156	-29.249039
14900.976562	-28.900167
14944.042969	-28.906683
14987.109375	-29.541588
15030.175781	-29.777672
15073.242188	-29.793741
15116.308594	-29.410215
15159.375000	-29.153114
15202.441406	-29.095688
15245.507812	-29.404474
15288.574219	-29.530485
15331.640625	-29.499840
15374.707031	-29.585161
15417.773438	-29.486265
15460.839844	-29.445862
15503.906250	-29.310188
15546.972656	-29.316137
15590.039062	-29.477558
15633.105469	-29.580715
15676.171875	-29.659605
15719.238281	-29.958286
15762.304688	-30.137993
15805.371094	-29.829500
15848.437500	-29.960981
15891.503906	-29.849710
15934.570312	-29.744598
15977.636719	-29.821705
16020.703125	-30.283033
16063.769531	-30.218454
16106.835938	-29.998518
16149.902344	-30.007235
16192.968750	-30.262470
16236.035156	-30.442158
16279.101562	-30.427141
16322.167969	-30.211590
16365.234375	-29.884850
16408.300781	-29.853201
16451.367188	-30.330719
16494.433594	-30.141739
16537.500000	-30.618134
16580.566406	-30.388163
16623.632812	-30.421164
16666.699219	-30.252964
16709.765625	-30.580046
16752.832031	-30.896986
16795.898438	-30.641857
16838.964844	-30.291922
16882.031250	-30.405474
16925.097656	-30.920351
16968.164062	-30.536060
17011.230469	-30.516085
17054.296875	-30.802095
17097.363281	-31.073946
17140.429688	-30.546246
17183.496094	-30.307344
17226.562500	-30.238480
17269.628906	-30.635712
17312.695312	-30.793837
17355.761719	-30.850281
17398.828125	-30.782320
17441.894531	-30.722277
17484.960938	-30.877075
17528.027344	-30.979040
17571.093750	-30.692562
17614.160156	-30.924232
17657.226562	-31.105869
17700.292969	-31.470457
17743.359375	-31.448133
17786.425781	-31.336777
17829.492188	-31.118490
17872.558594	-31.425446
17915.625000	-31.587219
17958.691406	-31.277231
18001.757812	-31.227213
18044.824219	-31.635641
18087.890625	-31.268805
18130.957031	-31.240253
18174.023438	-31.443497
18217.089844	-31.281380
18260.156250	-31.477848
18303.222656	-32.005932
18346.289062	-32.201973
18389.355469	-32.571606
18432.421875	-32.047001
18475.488281	-31.555546
18518.554688	-31.901997
18561.621094	-32.142426
18604.687500	-32.009460
18647.753906	-31.812826
18690.820312	-32.151131
