Frequency (Hz)	Level (dB)
43.066406	-26.401388
86.132812	-22.213299
129.199219	-20.759884
172.265625	-19.614071
215.332031	-19.263990
258.398438	-19.571638
301.464844	-20.185926
344.531250	-20.276760
387.597656	-20.484848
430.664062	-20.650192
473.730469	-20.882561
516.796875	-21.106932
559.863281	-20.938461
602.929688	-20.713348
645.996094	-20.515421
689.062500	-20.781639
732.128906	-20.881287
775.195312	-20.901615
818.261719	-20.702505
861.328125	-20.839537
904.394531	-21.077763
947.460938	-20.918623
990.527344	-20.858490
1033.593750	-20.955500
1076.660156	-20.523510
1119.726562	-20.288250
1162.792969	-20.315876
1205.859375	-21.063639
1248.925781	-21.050140
1291.992188	-21.273529
1335.058594	-20.763145
1378.125000	-20.495153
1421.191406	-20.784702
1464.257812	-21.067129
1507.324219	-21.054482
1550.390625	-20.900925
1593.457031	-21.117298
1636.523438	-21.227007
1679.589844	-21.418346
1722.656250	-21.179655
1765.722656	-21.138218
1808.789062	-21.703163
1851.855469	-21.660051
1894.921875	-22.263086
1937.988281	-21.702372
1981.054688	-21.493870
2024.121094	-21.535625
2067.187500	-21.311144
2110.253906	-21.433319
2153.320312	-21.889153
2196.386719	-22.130165
2239.453125	-21.766405
2282.519531	-21.785807
2325.585938	-21.802443
2368.652344	-22.157566
2411.718750	-22.439550
2454.785156	-22.791344
2497.851562	-22.682837
2540.917969	-22.558722
2583.984375	-22.762442
2627.050781	-22.926994
2670.117188	-22.786390
2713.183594	-22.529123
2756.250000	-22.677063
2799.316406	-23.059580
2842.382812	-23.310974
2885.449219	-23.383387
2928.515625	-23.038816
2971.582031	-23.426607
3014.648438	-23.741648
3057.714844	-23.401340
3100.781250	-23.206341
3143.847656	-23.245686
3186.914062	-23.256582
3229.980469	-23.785856
3273.046875	-24.036386
3316.113281	-23.814167
3359.179688	-24.388824
3402.246094	-24.503490
3445.312500	-24.110651
3488.378906	-24.282173
3531.445312	-24.537502
3574.511719	-24.572298
3617.578125	-24.701605
3660.644531	-24.418627
3703.710938	-24.571306
3746.777344	-24.813992
3789.843750	-24.768373
3832.910156	-25.206083
3875.976562	-25.142956
3919.042969	-25.117243
3962.109375	-25.250225
4005.175781	-25.462355
4048.242188	-25.954487
4091.308594	-25.696392
4134.375000	-25.443775
4177.441406	-25.480108
4220.507812	-25.871775
4263.574219	-25.849951
4306.640625	-26.270887
4349.707031	-26.237000
4392.773438	-26.240255
4435.839844	-26.315104
4478.906250	-26.292282
4521.972656	-26.534246
4565.039062	-26.682653
4608.105469	-26.942045
4651.171875	-26.914856
4694.238281	-27.054796
4737.304688	-26.718538
4780.371094	-26.804447
4823.437500	-26.827219
4866.503906	-26.790905
4909.570312	-27.134598
4952.636719	-27.578815
