Frequency (Hz)	Level (dB)
43.066406	-31.177345
86.132812	-28.581818
129.199219	-26.938747
172.265625	-25.444702
215.332031	-24.820692
258.398438	-24.030491
301.464844	-23.771532
344.531250	-23.584154
387.597656	-23.147903
430.664062	-22.954660
473.730469	-23.121420
516.796875	-23.434114
559.863281	-23.372204
602.929688	-22.928719
645.996094	-22.905497
689.062500	-23.205620
732.128906	-23.513012
775.195312	-23.769739
818.261719	-23.861536
861.328125	-24.164791
904.394531	-24.493826
947.460938	-24.970798
990.527344	-24.907776
1033.593750	-25.168848
1076.660156	-25.241720
1119.726562	-25.323729
1162.792969	-25.271027
1205.859375	-25.940561
1248.925781	-26.414177
1291.992188	-27.046255
1335.058594	-26.508554
1378.125000	-26.573013
1421.191406	-26.996805
1464.257812	-27.742424
1507.324219	-27.968418
1550.390625	-27.714024
1593.457031	-27.993645
1636.523438	-28.365168
1679.589844	-28.523365
1722.656250	-28.327921
1765.722656	-28.849749
1808.789062	-29.515629
1851.855469	-29.729269
1894.921875	-30.322861
1937.988281	-30.110054
1981.054688	-29.778645
2024.121094	-29.570951
2067.187500	-30.011374
2110.253906	-30.479671
2153.320312	-30.688295
2196.386719	-31.172489
2239.453125	-30.859013
2282.519531	-30.955667
2325.585938	-31.338667
2368.652344	-31.620224
2411.718750	-32.294056
2454.785156	-32.464397
2497.851562	-32.273369
2540.917969	-32.305935
2583.984375	-32.899582
2627.050781	-33.336857
2670.117188	-33.207832
2713.183594	-32.966503
2756.250000	-33.053162
2799.316406	-33.283798
2842.382812	-33.797104
2885.449219	-34.106602
2928.515625	-33.863060
2971.582031	-34.308567
3014.648438	-34.781837
3057.714844	-34.681545
3100.781250	-34.610191
3143.847656	-34.451805
3186.914062	-34.847221
3229.980469	-35.349770
3273.046875	-35.114941
3316.113281	-34.996593
3359.179688	-35.885223
3402.246094	-35.944260
3445.312500	-35.880737
3488.378906	-36.053837
3531.445312	-35.931213
3574.511719	-36.356804
3617.578125	-36.897732
3660.644531	-36.515789
3703.710938	-36.544594
3746.777344	-36.925621
3789.843750	-36.817623
3832.910156	-37.239594
3875.976562	-37.252823
3919.042969	-37.880356
3962.109375	-37.552219
4005.175781	-38.021580
4048.242188	-38.575592
4091.308594	-38.308853
4134.375000	-38.145836
4177.441406	-38.163128
4220.507812	-38.481075
4263.574219	-38.705524
4306.640625	-39.281315
4349.707031	-39.158230
4392.773438	-39.159649
4435.839844	-39.169407
4478.906250	-39.002129
4521.972656	-39.431580
4565.039062	-39.548679
4608.105469	-39.562592
4651.171875	-39.858322
4694.238281	-39.671989
4737.304688	-39.517406
4780.371094	-39.611561
4823.437500	-39.819366
4866.503906	-39.879765
4909.570312	-40.130215
4952.636719	-40.576340
4995.703125	-40.640514
5038.769531	-41.048542
5081.835938	-40.334118
5124.902344	-40.532803
5167.968750	-40.806034
5211.035156	-40.774830
5254.101562	-41.192421
5297.167969	-41.241688
5340.234375	-41.329010
5383.300781	-41.413193
5426.367188	-41.413757
5469.433594	-41.795071
5512.500000	-41.766449
5555.566406	-41.724949
5598.632812	-41.684361
5641.699219	-41.997059
5684.765625	-41.719612
5727.832031	-41.919922
5770.898438	-42.358509
5813.964844	-42.326981
5857.031250	-42.389202
5900.097656	-42.612186
5943.164062	-42.194370
5986.230469	-42.496193
6029.296875	-42.761971
6072.363281	-43.000999
6115.429688	-43.149117
6158.496094	-43.042580
6201.562500	-43.163204
6244.628906	-43.259102
6287.695312	-43.415157
6330.761719	-43.420227
6373.828125	-43.230034
6416.894531	-42.978832
6459.960938	-42.897583
6503.027344	-43.609211
6546.093750	-43.805370
6589.160156	-44.367882
6632.226562	-44.425003
6675.292969	-44.179607
6718.359375	-44.030598
6761.425781	-44.174759
6804.492188	-44.619125
6847.558594	-44.301544
6890.625000	-44.532406
6933.691406	-44.259068
6976.757812	-44.202778
7019.824219	-44.537338
7062.890625	-44.947197
7105.957031	-45.128017
7149.023438	-45.355045
7192.089844	-45.373039
7235.156250	-45.333748
7278.222656	-44.922943
7321.289062	-44.920460
7364.355469	-44.943840
7407.421875	-45.337059
7450.488281	-45.344421
7493.554688	-45.556984
7536.621094	-45.453739
7579.687500	-45.694122
7622.753906	-45.845978
7665.820312	-46.014301
7708.886719	-46.239033
7751.953125	-45.368534
7795.019531	-45.626213
7838.085938	-45.609566
7881.152344	-46.230721
7924.218750	-46.426003
7967.285156	-46.244884
8010.351562	-46.143959
8053.417969	-46.043159
8096.484375	-46.318962
8139.550781	-46.357346
8182.617188	-46.871384
8225.683594	-46.863773
8268.750000	-47.085056
8311.816406	-46.695034
8354.882812	-46.672089
8397.949219	-47.111027
8441.015625	-47.111736
8484.082031	-46.789330
8527.148438	-47.242008
8570.214844	-47.198597
8613.281250	-47.266403
8656.347656	-47.656281
8699.414062	-47.094093
8742.480469	-47.668728
8785.546875	-47.163219
8828.613281	-46.923943
8871.679688	-47.674747
8914.746094	-48.058598
8957.812500	-47.995075
9000.878906	-48.011120
9043.945312	-47.967255
9087.011719	-48.185474
9130.078125	-47.893887
9173.144531	-47.796783
9216.210938	-48.454708
9259.277344	-48.701797
9302.343750	-48.482513
9345.410156	-48.333668
9388.476562	-48.434944
9431.542969	-48.012760
9474.609375	-47.963303
9517.675781	-48.373363
9560.742188	-48.431355
9603.808594	-48.557178
9646.875000	-48.925468
9689.941406	-49.311352
9733.007812	-48.992939
9776.074219	-49.254997
9819.140625	-49.230572
9862.207031	-48.853474
