Frequency (Hz)	Level (dB)
43.066406	-15.757483
86.132812	-16.882326
129.199219	-17.663729
172.265625	-18.125397
215.332031	-17.881186
258.398438	-17.543444
301.464844	-17.194689
344.531250	-16.760069
387.597656	-17.016636
430.664062	-16.924202
473.730469	-16.621916
516.796875	-16.741503
559.863281	-16.362255
602.929688	-15.829667
645.996094	-15.853980
689.062500	-16.175091
732.128906	-15.752032
775.195312	-15.913077
818.261719	-15.669269
861.328125	-15.834858
904.394531	-16.276028
947.460938	-16.164675
990.527344	-15.868427
1033.593750	-15.619219
1076.660156	-15.659386
1119.726562	-16.036783
1162.792969	-16.269238
1205.859375	-15.696103
1248.925781	-15.836883
1291.992188	-16.229137
1335.058594	-16.637415
1378.125000	-16.311594
1421.191406	-16.678354
1464.257812	-17.115900
1507.324219	-16.973633
1550.390625	-16.799416
1593.457031	-16.728401
1636.523438	-17.131144
1679.589844	-17.046463
1722.656250	-17.156013
1765.722656	-17.460844
1808.789062	-17.486071
1851.855469	-17.890900
1894.921875	-17.990587
1937.988281	-18.123121
1981.054688	-18.321720
2024.121094	-18.382425
2067.187500	-18.259024
2110.253906	-18.684597
2153.320312	-18.504574
2196.386719	-18.571760
2239.453125	-18.724527
2282.519531	-18.420794
2325.585938	-18.562521
2368.652344	-18.718004
2411.718750	-19.127771
2454.785156	-18.912428
2497.851562	-19.080776
2540.917969	-19.414944
2583.984375	-19.623055
2627.050781	-19.630857
2670.117188	-19.790678
2713.183594	-19.842880
2756.250000	-19.872358
2799.316406	-19.956165
2842.382812	-20.352287
2885.449219	-20.267456
2928.515625	-20.284851
2971.582031	-20.626316
3014.648438	-20.917074
3057.714844	-21.025200
3100.781250	-20.744308
3143.847656	-21.010489
3186.914062	-21.033384
3229.980469	-20.972925
3273.046875	-21.302931
3316.113281	-21.333735
3359.179688	-21.322956
3402.246094	-21.638641
3445.312500	-21.534733
3488.378906	-21.892319
3531.445312	-22.365005
3574.511719	-22.230717
3617.578125	-22.246101
3660.644531	-22.089190
3703.710938	-21.952847
3746.777344	-22.139425
3789.843750	-22.623350
3832.910156	-22.301447
3875.976562	-22.455862
3919.042969	-22.631613
3962.109375	-22.768223
4005.175781	-22.439150
4048.242188	-22.546183
4091.308594	-22.486967
4134.375000	-22.589169
4177.441406	-22.892992
4220.507812	-22.988045
4263.574219	-23.010178
