Frequency (Hz)	Level (dB)
21.533203	-26.721371
43.066406	-23.137568
64.599609	-21.373384
86.132812	-20.916662
107.666016	-19.937737
129.199219	-19.779549
150.732422	-19.364027
172.265625	-19.217831
193.798828	-19.052160
215.332031	-19.253607
236.865234	-19.476482
258.398438	-19.620541
279.931641	-20.050081
301.464844	-20.392122
322.998047	-20.454538
344.531250	-21.090103
366.064453	-21.238651
387.597656	-21.698788
409.130859	-22.042660
430.664062	-22.211174
452.197266	-22.871428
473.730469	-22.999392
495.263672	-23.279734
516.796875	-23.251177
538.330078	-23.901217
559.863281	-24.174904
581.396484	-24.193787
602.929688	-24.134626
624.462891	-24.294685
645.996094	-24.311096
667.529297	-25.158741
689.062500	-26.048502
710.595703	-25.485830
732.128906	-25.457294
753.662109	-25.712261
775.195312	-26.101231
796.728516	-26.734320
818.261719	-26.367844
839.794922	-25.954254
861.328125	-26.682098
882.861328	-27.176964
904.394531	-27.137993
925.927734	-27.456738
947.460938	-27.794855
968.994141	-28.011732
990.527344	-27.764256
1012.060547	-27.728468
1033.593750	-27.772356
1055.126953	-28.231682
1076.660156	-28.452217
1098.193359	-28.293615
1119.726562	-28.394787
1141.259766	-28.524200
1162.792969	-28.865791
1184.326172	-28.879190
1205.859375	-28.779259
1227.392578	-28.637447
1248.925781	-29.055490
1270.458984	-29.114609
1291.992188	-29.518385
1313.525391	-29.713276
1335.058594	-29.894508
1356.591797	-29.722612
1378.125000	-29.620821
1399.658203	-29.599983
1421.191406	-30.124262
1442.724609	-30.469658
1464.257812	-30.286110
1485.791016	-29.892857
1507.324219	-30.029322
1528.857422	-30.302868
1550.390625	-30.260435
1571.923828	-30.520086
1593.457031	-30.569580
1614.990234	-30.633430
1636.523438	-30.999079
1658.056641	-30.959200
1679.589844	-31.003162
1701.123047	-30.699148
1722.656250	-30.600359
1744.189453	-31.434135
1765.722656	-31.050993
1787.255859	-31.215303
1808.789062	-31.509262
1830.322266	-31.137308
1851.855469	-31.088356
1873.388672	-31.552101
1894.921875	-31.891888
1916.455078	-32.054466
1937.988281	-32.109772
1959.521484	-31.990971
1981.054688	-31.975134
2002.587891	-32.183094
2024.121094	-32.492126
2045.654297	-32.133858
2067.187500	-31.677794
2088.720703	-32.390835
2110.253906	-32.869789
2131.787109	-32.804577
2153.320312	-32.380245
2174.853516	-32.735470
2196.386719	-32.487865
2217.919922	-32.687199
2239.453125	-33.028492
2260.986328	-33.053215
2282.519531	-32.701675
2304.052734	-32.330570
2325.585938	-32.621376
2347.119141	-33.188988
2368.652344	-33.271416
2390.185547	-33.362442
2411.718750	-33.355339
2433.251953	-33.479530
2454.785156	-33.779549
2476.318359	-33.623772
2497.851562	-33.783398
2519.384766	-33.586529
2540.917969	-34.191025
2562.451172	-33.982731
2583.984375	-33.520153
2605.517578	-33.429981
2627.050781	-33.959579
2648.583984	-34.284367
2670.117188	-34.166897
2691.650391	-33.708530
2713.183594	-33.872215
2734.716797	-34.605671
2756.250000	-34.717270
2777.783203	-34.300838
2799.316406	-33.977909
2820.849609	-34.326782
2842.382812	-34.671066
2863.916016	-34.381039
2885.449219	-34.365662
2906.982422	-34.755444
2928.515625	-34.902889
2950.048828	-35.211411
2971.582031	-35.323517
2993.115234	-34.886898
3014.648438	-34.965763
3036.181641	-35.313629
3057.714844	-35.411785
3079.248047	-35.216652
3100.781250	-35.431805
3122.314453	-35.076740
3143.847656	-35.245838
3165.380859	-35.620907
3186.914062	-35.974281
3208.447266	-35.475365
3229.980469	-35.409103
3251.513672	-36.078552
3273.046875	-36.305904
3294.580078	-35.985687
3316.113281	-35.788376
3337.646484	-35.407379
3359.179688	-35.423763
3380.712891	-35.921810
3402.246094	-35.927895
3423.779297	-35.885742
3445.312500	-36.200897
3466.845703	-36.441883
3488.378906	-36.429153
3509.912109	-36.588539
3531.445312	-36.346436
3552.978516	-36.098289
3574.511719	-36.508400
3596.044922	-36.388824
3617.578125	-36.667637
3639.111328	-36.647072
3660.644531	-36.357552
3682.177734	-36.679726
3703.710938	-36.803925
3725.244141	-36.870251
3746.777344	-36.844116
3768.310547	-37.004658
3789.843750	-37.378788
3811.376953	-37.441109
3832.910156	-37.354450
3854.443359	-37.250874
3875.976562	-37.003746
3897.509766	-37.329365
3919.042969	-37.684032
3940.576172	-37.704456
3962.109375	-37.587505
3983.642578	-37.729584
4005.175781	-37.682533
4026.708984	-37.130135
4048.242188	-37.349583
4069.775391	-37.805298
4091.308594	-37.599762
4112.841797	-37.767967
4134.375000	-37.769527
4155.908203	-37.798954
4177.441406	-37.795101
4198.974609	-38.178169
4220.507812	-38.226803
4242.041016	-37.801594
4263.574219	-38.184845
4285.107422	-38.696854
4306.640625	-38.698669
4328.173828	-38.468628
4349.707031	-38.476421
4371.240234	-38.261230
4392.773438	-38.316406
4414.306641	-38.626518
4435.839844	-39.114204
4457.373047	-38.853130
4478.906250	-38.503937
4500.439453	-38.892548
4521.972656	-38.810112
4543.505859	-38.980068
4565.039062	-38.950989
4586.572266	-38.528011
4608.105469	-38.807617
4629.638672	-38.829762
4651.171875	-39.321297
4672.705078	-39.589691
4694.238281	-39.195930
4715.771484	-39.204762
4737.304688	-39.345139
4758.837891	-39.424572
4780.371094	-39.147976
4801.904297	-39.072933
4823.437500	-39.544739
4844.970703	-40.126984
4866.503906	-39.400608
4888.037109	-39.735939
4909.570312	-40.126629
4931.103516	-39.876316
4952.636719	-39.656937
4974.169922	-39.912041
4995.703125	-39.931225
5017.236328	-40.350830
5038.769531	-40.558537
5060.302734	-40.226662
5081.835938	-40.318890
5103.369141	-40.076195
5124.902344	-40.620789
5146.435547	-40.447723
5167.968750	-40.343754
5189.501953	-40.176033
5211.035156	-39.992149
5232.568359	-40.054672
5254.101562	-40.717026
5275.634766	-40.836613
5297.167969	-40.928711
5318.701172	-40.982445
5340.234375	-40.319542
5361.767578	-40.162453
5383.300781	-40.595455
5404.833984	-40.938629
5426.367188	-40.877563
5447.900391	-40.891346
5469.433594	-41.498444
5490.966797	-41.335583
5512.500000	-41.512627
5534.033203	-41.432262
5555.566406	-41.594299
5577.099609	-41.288589
5598.632812	-41.129932
5620.166016	-41.031406
5641.699219	-41.292217
5663.232422	-41.490128
5684.765625	-41.714069
5706.298828	-41.550812
