Frequency (Hz)	Level (dB)
43.066406	-38.201679
86.132812	-42.857803
129.199219	-44.956364
172.265625	-46.058479
215.332031	-47.031418
258.398438	-47.778942
301.464844	-48.405140
344.531250	-49.225739
387.597656	-49.684307
430.664062	-50.197525
473.730469	-50.630367
516.796875	-51.142223
559.863281	-51.471947
602.929688	-51.342445
645.996094	-51.692650
689.062500	-52.302303
732.128906	-52.338215
775.195312	-52.640163
818.261719	-52.768898
861.328125	-53.136242
904.394531	-53.563282
947.460938	-53.832649
990.527344	-53.761963
1033.593750	-54.017181
1076.660156	-54.079342
1119.726562	-54.304443
1162.792969	-54.580997
1205.859375	-54.488266
1248.925781	-54.696991
1291.992188	-55.107056
1335.058594	-55.234615
1378.125000	-54.918274
1421.191406	-55.438583
1464.257812	-55.765530
1507.324219	-55.583317
1550.390625	-55.564369
1593.457031	-55.877476
1636.523438	-56.039566
1679.589844	-56.020702
1722.656250	-56.007618
1765.722656	-56.228165
1808.789062	-56.529205
1851.855469	-56.485062
1894.921875	-56.914898
1937.988281	-56.953705
1981.054688	-57.030476
2024.121094	-57.073406
2067.187500	-57.117538
2110.253906	-57.254902
2153.320312	-57.152454
2196.386719	-57.264011
2239.453125	-57.250061
2282.519531	-57.249798
2325.585938	-57.303738
2368.652344	-57.465027
2411.718750	-57.793106
2454.785156	-58.089722
2497.851562	-58.056267
2540.917969	-57.931854
2583.984375	-57.987911
2627.050781	-58.080002
2670.117188	-58.201874
2713.183594	-58.100662
2756.250000	-58.276508
2799.316406	-58.206394
2842.382812	-58.377846
2885.449219	-58.439159
2928.515625	-58.412090
2971.582031	-58.706654
3014.648438	-58.856407
3057.714844	-58.683411
3100.781250	-58.805054
3143.847656	-58.648815
3186.914062	-58.614185
3229.980469	-58.744251
3273.046875	-59.018257
3316.113281	-58.960442
3359.179688	-59.050030
3402.246094	-59.013405
3445.312500	-59.154686
3488.378906	-59.390804
3531.445312	-59.180424
3574.511719	-59.358086
3617.578125	-59.681328
3660.644531	-59.343269
3703.710938	-59.374146
3746.777344	-59.649002
3789.843750	-59.708103
3832.910156	-59.689266
3875.976562	-59.532726
3919.042969	-59.949200
3962.109375	-59.938782
4005.175781	-59.853661
4048.242188	-59.912685
4091.308594	-60.035385
4134.375000	-59.942749
4177.441406	-59.980667
4220.507812	-59.946255
4263.574219	-60.127987
4306.640625	-60.219173
4349.707031	-60.251537
4392.773438	-60.280090
4435.839844	-60.407280
4478.906250	-60.287136
4521.972656	-60.597336
4565.039062	-60.544735
4608.105469	-60.460228
4651.171875	-60.688854
4694.238281	-60.713634
4737.304688	-60.542259
4780.371094	-60.418564
4823.437500	-60.615013
4866.503906	-60.827286
4909.570312	-60.878471
4952.636719	-60.791714
4995.703125	-60.886345
5038.769531	-61.186527
5081.835938	-60.842640
5124.902344	-60.942360
5167.968750	-60.918648
5211.035156	-60.988510
5254.101562	-61.248440
5297.167969	-61.191994
5340.234375	-61.019459
5383.300781	-61.138039
5426.367188	-61.392078
5469.433594	-61.424809
5512.500000	-61.389496
5555.566406	-61.166790
5598.632812	-61.202518
5641.699219	-61.298370
5684.765625	-61.434425
5727.832031	-61.557022
5770.898438	-61.683083
5813.964844	-61.621544
5857.031250	-61.523952
5900.097656	-61.698425
5943.164062	-61.399643
5986.230469	-61.489655
6029.296875	-61.626282
6072.363281	-61.647560
6115.429688	-61.506134
6158.496094	-61.621857
6201.562500	-61.902988
6244.628906	-61.947475
6287.695312	-61.915909
6330.761719	-61.936962
6373.828125	-61.785023
6416.894531	-61.715370
6459.960938	-61.572617
6503.027344	-61.894165
6546.093750	-62.212177
6589.160156	-62.290356
6632.226562	-62.393360
6675.292969	-62.274963
6718.359375	-62.263371
6761.425781	-62.409523
6804.492188	-62.404392
6847.558594	-61.996414
6890.625000	-62.134666
6933.691406	-61.999500
6976.757812	-62.050426
7019.824219	-62.402241
7062.890625	-62.562180
7105.957031	-62.731953
7149.023438	-62.904716
7192.089844	-62.588634
7235.156250	-62.533901
7278.222656	-62.365135
7321.289062	-62.504814
7364.355469	-62.336845
7407.421875	-62.541523
7450.488281	-62.554718
7493.554688	-62.674751
7536.621094	-62.882488
7579.687500	-62.770306
7622.753906	-62.796577
7665.820312	-62.958519
7708.886719	-62.921299
7751.953125	-62.820751
7795.019531	-62.776684
7838.085938	-62.764076
7881.152344	-62.802391
7924.218750	-62.798370
7967.285156	-63.104248
8010.351562	-63.064602
8053.417969	-62.916973
8096.484375	-62.972904
8139.550781	-62.984058
8182.617188	-62.846642
8225.683594	-62.906601
8268.750000	-62.993027
8311.816406	-63.062038
8354.882812	-63.193012
8397.949219	-63.197136
8441.015625	-63.521275
8484.082031	-63.403526
8527.148438	-63.440796
8570.214844	-63.423996
8613.281250	-63.193745
8656.347656	-63.117538
8699.414062	-63.147278
8742.480469	-63.639011
8785.546875	-63.176365
8828.613281	-63.078861
8871.679688	-63.424152
8914.746094	-63.588390
8957.812500	-63.495071
9000.878906	-63.471806
9043.945312	-63.472603
9087.011719	-63.429699
9130.078125	-63.387024
9173.144531	-63.534870
9216.210938	-63.605671
9259.277344	-63.666527
9302.343750	-63.778950
9345.410156	-63.803623
9388.476562	-63.865067
9431.542969	-63.707127
9474.609375	-63.522903
9517.675781	-63.671959
9560.742188	-63.754868
9603.808594	-63.765865
9646.875000	-64.047768
9689.941406	-64.144783
9733.007812	-63.999626
9776.074219	-63.923038
9819.140625	-64.068718
9862.207031	-63.980556
9905.273438	-64.025894
9948.339844	-64.062378
9991.406250	-64.184486
10034.472656	-64.087204
10077.539062	-63.728214
10120.605469	-63.809078
10163.671875	-63.886543
10206.738281	-64.332367
10249.804688	-64.439308
10292.871094	-64.004189
10335.937500	-64.012260
10379.003906	-64.162804
10422.070312	-64.031204
10465.136719	-64.037483
10508.203125	-64.083908
10551.269531	-64.214783
10594.335938	-64.187027
10637.402344	-64.306107
10680.468750	-64.355988
10723.535156	-64.177353
10766.601562	-64.424797
10809.667969	-64.402672
10852.734375	-64.109451
10895.800781	-64.333893
10938.867188	-64.327187
10981.933594	-64.186691
11025.000000	-64.246880
11068.066406	-64.257812
11111.132812	-64.227493
11154.199219	-64.399254
11197.265625	-64.613731
11240.332031	-64.484123
11283.398438	-64.324677
11326.464844	-64.241066
11369.531250	-64.422890
11412.597656	-64.525208
11455.664062	-64.578003
11498.730469	-64.521500
11541.796875	-64.428802
11584.863281	-64.550804
11627.929688	-64.546776
11670.996094	-64.787811
11714.062500	-64.507454
11757.128906	-64.374031
11800.195312	-64.592087
11843.261719	-64.646942
11886.328125	-64.529747
11929.394531	-64.679741
11972.460938	-64.698868
12015.527344	-64.622192
12058.593750	-64.538696
12101.660156	-64.483177
12144.726562	-64.541405
12187.792969	-64.863258
12230.859375	-64.937500
12273.925781	-64.767220
12316.992188	-64.914970
12360.058594	-64.790543
12403.125000	-64.750008
12446.191406	-64.884369
12489.257812	-65.038330
12532.324219	-65.029854
12575.390625	-64.946144
12618.457031	-65.024902
12661.523438	-65.044617
12704.589844	-64.782288
12747.656250	-64.955986
12790.722656	-65.042618
12833.789062	-65.144165
12876.855469	-65.103493
12919.921875	-64.834427
12962.988281	-65.020172
13006.054688	-65.093788
13049.121094	-65.226585
13092.187500	-65.368996
13135.253906	-65.211845
13178.320312	-65.326965
13221.386719	-65.033875
13264.453125	-65.139633
13307.519531	-65.278046
13350.585938	-65.186043
13393.652344	-65.251877
13436.718750	-65.373245
13479.785156	-65.511131
13522.851562	-65.511993
13565.917969	-65.397156
13608.984375	-65.514206
13652.050781	-65.255508
13695.117188	-65.573044
13738.183594	-65.572594
13781.250000	-65.249641
13824.316406	-65.141647
13867.382812	-65.210945
13910.449219	-65.483597
13953.515625	-65.510323
13996.582031	-65.606628
14039.648438	-65.337135
14082.714844	-65.453766
14125.781250	-65.434410
14168.847656	-65.471306
14211.914062	-65.720634
14254.980469	-65.630295
14298.046875	-65.308609
14341.113281	-65.310265
14384.179688	-65.588211
14427.246094	-65.787933
14470.312500	-65.549004
14513.378906	-65.529503
14556.445312	-65.567474
14599.511719	-65.601036
14642.578125	-65.486107
14685.644531	-65.849762
14728.710938	-65.828857
14771.777344	-65.799088
14814.843750	-65.752892
14857.910156	-65.465569
14900.976562	-65.685089
14944.042969	-65.908073
14987.109375	-65.830040
15030.175781	-65.775650
15073.242188	-66.043518
15116.308594	-65.827637
15159.375000	-65.750732
15202.441406	-65.757408
15245.507812	-65.964798
15288.574219	-65.692482
15331.640625	-65.710167
15374.707031	-66.111450
15417.773438	-65.905014
15460.839844	-65.791763
15503.906250	-65.883957
15546.972656	-65.905273
15590.039062	-65.904945
15633.105469	-66.024109
15676.171875	-66.115669
15719.238281	-66.167747
15762.304688	-66.249367
15805.371094	-66.345436
15848.437500	-66.119743
15891.503906	-65.919029
15934.570312	-65.949547
15977.636719	-65.783920
16020.703125	-65.955536
16063.769531	-66.132477
16106.835938	-66.199417
16149.902344	-66.158882
16192.968750	-66.144821
16236.035156	-66.100998
16279.101562	-66.093430
16322.167969	-66.081764
16365.234375	-66.079521
16408.300781	-66.002869
16451.367188	-66.217949
16494.433594	-66.002518
16537.500000	-66.328667
16580.566406	-66.567352
16623.632812	-66.156204
16666.699219	-66.121155
16709.765625	-66.298302
16752.832031	-66.305733
16795.898438	-66.141220
16838.964844	-66.325104
16882.031250	-66.341736
16925.097656	-66.394447
16968.164062	-66.352013
17011.230469	-66.243996
17054.296875	-66.301353
17097.363281	-66.655136
17140.429688	-66.501259
17183.496094	-66.591125
17226.562500	-66.465385
17269.628906	-66.489464
17312.695312	-66.651047
17355.761719	-66.543190
17398.828125	-66.378723
17441.894531	-66.050476
17484.960938	-65.946503
17528.027344	-66.343063
17571.093750	-66.447556
17614.160156	-66.247826
17657.226562	-66.444778
17700.292969	-66.586754
17743.359375	-66.818596
17786.425781	-66.802246
17829.492188	-66.449776
17872.558594	-66.592072
17915.625000	-66.743378
17958.691406	-66.855042
18001.757812	-66.754936
18044.824219	-66.656914
18087.890625	-66.724876
18130.957031	-66.676994
18174.023438	-66.529991
18217.089844	-66.694145
18260.156250	-66.706100
18303.222656	-66.876053
18346.289062	-66.879890
18389.355469	-67.058754
18432.421875	-66.820053
18475.488281	-66.624550
18518.554688	-67.045532
18561.621094	-66.941406
18604.687500	-66.838692
18647.753906	-66.995300
18690.820312	-67.196640
18733.886719	-67.176765
18776.953125	-67.099396
18820.019531	-67.228546
18863.085938	-66.765518
18906.152344	-66.809731
18949.218750	-66.961639
18992.285156	-66.833252
19035.351562	-66.728516
19078.417969	-66.728355
19121.484375	-66.651932
19164.550781	-66.738335
19207.617188	-66.883728
19250.683594	-66.985153
19293.750000	-67.099243
19336.816406	-67.070984
19379.882812	-67.194435
19422.949219	-66.967720
19466.015625	-66.748062
19509.082031	-66.804649
19552.148438	-66.698860
19595.214844	-67.047577
19638.281250	-67.071541
19681.347656	-66.658180
19724.414062	-66.594719
19767.480469	-66.867393
19810.546875	-67.117371
19853.613281	-67.269409
19896.679688	-67.188400
19939.746094	-66.932365
19982.812500	-66.831657
20025.878906	-66.842911
20068.945312	-67.166016
20112.011719	-67.159752
20155.078125	-67.308662
