Frequency (Hz)	Level (dB)
43.066406	-49.032394
86.132812	-49.570309
129.199219	-49.399529
172.265625	-46.951218
215.332031	-45.179424
258.398438	-43.949574
301.464844	-43.195126
344.531250	-42.988770
387.597656	-42.727524
430.664062	-42.353714
473.730469	-41.909992
516.796875	-41.821476
559.863281	-41.675110
602.929688	-41.116745
645.996094	-40.906506
689.062500	-40.889797
732.128906	-40.559326
775.195312	-40.381523
818.261719	-40.150711
861.328125	-40.178898
904.394531	-40.292362
947.460938	-40.152683
990.527344	-39.752247
1033.593750	-39.492752
1076.660156	-39.293072
1119.726562	-39.311691
1162.792969	-39.273823
1205.859375	-38.965282
1248.925781	-39.023354
1291.992188	-39.214493
1335.058594	-38.842937
1378.125000	-38.519032
1421.191406	-38.690300
1464.257812	-38.468540
1507.324219	-38.127834
1550.390625	-38.069248
1593.457031	-38.060314
1636.523438	-37.845589
1679.589844	-37.545277
1722.656250	-37.503609
1765.722656	-37.508255
1808.789062	-37.431175
1851.855469	-37.478451
1894.921875	-37.582027
1937.988281	-37.414059
1981.054688	-37.090153
2024.121094	-37.120865
2067.187500	-36.996075
2110.253906	-36.902634
2153.320312	-36.664711
2196.386719	-36.539143
2239.453125	-36.516769
2282.519531	-36.522938
2325.585938	-36.516109
2368.652344	-36.560032
2411.718750	-36.326576
2454.785156	-36.420441
2497.851562	-36.304787
2540.917969	-36.094933
2583.984375	-36.065826
2627.050781	-36.273438
2670.117188	-36.174343
2713.183594	-35.916576
2756.250000	-36.065212
2799.316406	-35.990013
2842.382812	-35.863342
2885.449219	-35.870617
2928.515625	-35.650177
2971.582031	-35.768764
3014.648438	-35.718357
3057.714844	-35.466793
3100.781250	-35.391079
3143.847656	-35.460522
3186.914062	-35.433578
3229.980469	-35.359840
3273.046875	-35.354084
3316.113281	-35.215893
3359.179688	-35.033085
3402.246094	-34.905994
3445.312500	-35.102596
3488.378906	-35.279293
3531.445312	-34.909042
3574.511719	-34.870476
3617.578125	-35.109531
3660.644531	-35.094261
3703.710938	-35.113525
3746.777344	-35.090546
3789.843750	-34.997200
3832.910156	-34.991531
3875.976562	-34.808014
3919.042969	-34.816132
3962.109375	-34.828568
4005.175781	-34.811314
4048.242188	-34.562244
4091.308594	-34.477032
4134.375000	-34.426392
4177.441406	-34.270164
4220.507812	-34.202831
4263.574219	-34.556099
4306.640625	-34.696766
4349.707031	-34.750210
4392.773438	-34.425140
4435.839844	-34.395473
4478.906250	-34.383930
4521.972656	-34.628761
4565.039062	-34.484524
4608.105469	-34.480518
4651.171875	-34.514214
4694.238281	-34.323380
4737.304688	-34.213821
4780.371094	-34.022076
4823.437500	-34.155437
4866.503906	-34.317993
