Frequency (Hz)	Level (dB)
43.066406	-17.070271
86.132812	-21.659071
129.199219	-23.750177
172.265625	-24.848330
215.332031	-25.820854
258.398438	-26.581366
301.464844	-27.188673
344.531250	-28.016127
387.597656	-28.492777
430.664062	-29.020496
473.730469	-29.441563
516.796875	-29.946047
559.863281	-30.302052
602.929688	-30.163061
645.996094	-30.492521
689.062500	-31.084539
732.128906	-31.125088
775.195312	-31.466406
818.261719	-31.587090
861.328125	-31.924461
904.394531	-32.354458
947.460938	-32.627228
990.527344	-32.573498
1033.593750	-32.832500
1076.660156	-32.872944
1119.726562	-33.088757
1162.792969	-33.384659
1205.859375	-33.300869
1248.925781	-33.494312
1291.992188	-33.892849
1335.058594	-34.010815
1378.125000	-33.691444
1421.191406	-34.219013
1464.257812	-34.557980
1507.324219	-34.388054
1550.390625	-34.372513
1593.457031	-34.669189
1636.523438	-34.843151
1679.589844	-34.831837
1722.656250	-34.813770
1765.722656	-35.033390
1808.789062	-35.311867
1851.855469	-35.263954
1894.921875	-35.707767
1937.988281	-35.744267
1981.054688	-35.817902
2024.121094	-35.861172
2067.187500	-35.928123
2110.253906	-36.077412
2153.320312	-35.961178
2196.386719	-36.066727
2239.453125	-36.022339
2282.519531	-36.044113
2325.585938	-36.080746
2368.652344	-36.250423
2411.718750	-36.580566
2454.785156	-36.895386
2497.851562	-36.854485
2540.917969	-36.737076
2583.984375	-36.796173
2627.050781	-36.880325
2670.117188	-37.013813
2713.183594	-36.881573
2756.250000	-37.059502
2799.316406	-37.007687
2842.382812	-37.165279
2885.449219	-37.233036
2928.515625	-37.198063
2971.582031	-37.500732
3014.648438	-37.657154
3057.714844	-37.466934
3100.781250	-37.588661
3143.847656	-37.427330
3186.914062	-37.398674
3229.980469	-37.527523
3273.046875	-37.797794
3316.113281	-37.746212
3359.179688	-37.860321
3402.246094	-37.829395
3445.312500	-37.936275
3488.378906	-38.189579
3531.445312	-37.962032
3574.511719	-38.138580
3617.578125	-38.462940
3660.644531	-38.121181
3703.710938	-38.149857
3746.777344	-38.459526
3789.843750	-38.544628
3832.910156	-38.489674
3875.976562	-38.316929
3919.042969	-38.749596
3962.109375	-38.733093
4005.175781	-38.621666
4048.242188	-38.699585
4091.308594	-38.830257
4134.375000	-38.733715
4177.441406	-38.757549
4220.507812	-38.731121
4263.574219	-38.905727
4306.640625	-39.001938
4349.707031	-39.036919
4392.773438	-39.076267
4435.839844	-39.193718
4478.906250	-39.083427
4521.972656	-39.388588
4565.039062	-39.326782
4608.105469	-39.235462
4651.171875	-39.479675
4694.238281	-39.479511
4737.304688	-39.315132
4780.371094	-39.209019
4823.437500	-39.415577
4866.503906	-39.616470
4909.570312	-39.676216
4952.636719	-39.575378
4995.703125	-39.673916
5038.769531	-39.983383
5081.835938	-39.639633
5124.902344	-39.721355
5167.968750	-39.722584
5211.035156	-39.801395
5254.101562	-40.060551
5297.167969	-39.990913
5340.234375	-39.811317
5383.300781	-39.935162
5426.367188	-40.182713
5469.433594	-40.221100
5512.500000	-40.191845
5555.566406	-39.959789
5598.632812	-39.989422
5641.699219	-40.083271
5684.765625	-40.212811
5727.832031	-40.336243
5770.898438	-40.467808
5813.964844	-40.410198
5857.031250	-40.316078
5900.097656	-40.496208
5943.164062	-40.181984
5986.230469	-40.264668
6029.296875	-40.421669
6072.363281	-40.452724
6115.429688	-40.299072
6158.496094	-40.391006
6201.562500	-40.713440
6244.628906	-40.770191
6287.695312	-40.705173
6330.761719	-40.715328
6373.828125	-40.559486
6416.894531	-40.499046
6459.960938	-40.353718
6503.027344	-40.677940
6546.093750	-40.989674
6589.160156	-41.081554
6632.226562	-41.177570
6675.292969	-41.070080
6718.359375	-41.041824
6761.425781	-41.181431
6804.492188	-41.183865
6847.558594	-40.793705
6890.625000	-40.936661
6933.691406	-40.784924
6976.757812	-40.829296
7019.824219	-41.180630
7062.890625	-41.337269
7105.957031	-41.518486
7149.023438	-41.694210
7192.089844	-41.373768
7235.156250	-41.314419
7278.222656	-41.159744
7321.289062	-41.282001
7364.355469	-41.117908
7407.421875	-41.363846
7450.488281	-41.367821
7493.554688	-41.459866
7536.621094	-41.682819
7579.687500	-41.575111
7622.753906	-41.595238
7665.820312	-41.758354
7708.886719	-41.696468
7751.953125	-41.592976
7795.019531	-41.553947
7838.085938	-41.543915
7881.152344	-41.570396
7924.218750	-41.577637
7967.285156	-41.887749
8010.351562	-41.849575
8053.417969	-41.685600
8096.484375	-41.736145
8139.550781	-41.764271
8182.617188	-41.632786
8225.683594	-41.677692
8268.750000	-41.778080
8311.816406	-41.868431
8354.882812	-41.979240
8397.949219	-42.011543
8441.015625	-42.317116
8484.082031	-42.189400
8527.148438	-42.235119
8570.214844	-42.194664
8613.281250	-41.975166
8656.347656	-41.907959
8699.414062	-41.942905
8742.480469	-42.425293
8785.546875	-41.975662
8828.613281	-41.864189
8871.679688	-42.213169
8914.746094	-42.373806
8957.812500	-42.261497
9000.878906	-42.239124
9043.945312	-42.244678
9087.011719	-42.200874
9130.078125	-42.177128
9173.144531	-42.324287
9216.210938	-42.380520
9259.277344	-42.432045
9302.343750	-42.568531
9345.410156	-42.583645
9388.476562	-42.646648
9431.542969	-42.497906
9474.609375	-42.306789
9517.675781	-42.442951
9560.742188	-42.531143
9603.808594	-42.537868
9646.875000	-42.820072
9689.941406	-42.922256
9733.007812	-42.797882
9776.074219	-42.699738
9819.140625	-42.837463
9862.207031	-42.753098
9905.273438	-42.792725
9948.339844	-42.835392
9991.406250	-42.954079
10034.472656	-42.866329
10077.539062	-42.525322
10120.605469	-42.608498
10163.671875	-42.665630
10206.738281	-43.105694
10249.804688	-43.214577
10292.871094	-42.783897
10335.937500	-42.790943
10379.003906	-42.925964
10422.070312	-42.814972
10465.136719	-42.844490
10508.203125	-42.864902
10551.269531	-42.999748
10594.335938	-42.982079
10637.402344	-43.074142
10680.468750	-43.141235
10723.535156	-42.963573
10766.601562	-43.190815
10809.667969	-43.160023
10852.734375	-42.903740
10895.800781	-43.143105
10938.867188	-43.159142
10981.933594	-42.978939
11025.000000	-43.030083
11068.066406	-43.064804
11111.132812	-43.013508
11154.199219	-43.174469
11197.265625	-43.433540
11240.332031	-43.286793
11283.398438	-43.113113
11326.464844	-43.029434
11369.531250	-43.231186
11412.597656	-43.313255
11455.664062	-43.354347
11498.730469	-43.297714
11541.796875	-43.204750
11584.863281	-43.319061
11627.929688	-43.310200
11670.996094	-43.569927
11714.062500	-43.286583
11757.128906	-43.145565
11800.195312	-43.386101
11843.261719	-43.466526
11886.328125	-43.331638
11929.394531	-43.494900
11972.460938	-43.516052
12015.527344	-43.421978
12058.593750	-43.322128
12101.660156	-43.257397
12144.726562	-43.358761
12187.792969	-43.656624
12230.859375	-43.714569
12273.925781	-43.545929
12316.992188	-43.710857
12360.058594	-43.597221
12403.125000	-43.546295
12446.191406	-43.671318
12489.257812	-43.811001
12532.324219	-43.830875
12575.390625	-43.729294
12618.457031	-43.806595
12661.523438	-43.833641
12704.589844	-43.585773
12747.656250	-43.750969
12790.722656	-43.824665
12833.789062	-43.928383
12876.855469	-43.881935
12919.921875	-43.638283
12962.988281	-43.822327
13006.054688	-43.854446
13049.121094	-44.003002
13092.187500	-44.131958
13135.253906	-43.966919
13178.320312	-44.092930
13221.386719	-43.808460
13264.453125	-43.922661
13307.519531	-44.050732
13350.585938	-43.948387
13393.652344	-44.030510
13436.718750	-44.137863
13479.785156	-44.290493
13522.851562	-44.280327
13565.917969	-44.152878
13608.984375	-44.269836
13652.050781	-44.018494
13695.117188	-44.345165
13738.183594	-44.352394
13781.250000	-44.034782
13824.316406	-43.922264
13867.382812	-43.992256
13910.449219	-44.251484
13953.515625	-44.289085
13996.582031	-44.379890
14039.648438	-44.101448
14082.714844	-44.223289
14125.781250	-44.210739
14168.847656	-44.231045
14211.914062	-44.516750
14254.980469	-44.431435
14298.046875	-44.082016
14341.113281	-44.083862
14384.179688	-44.366627
