Frequency (Hz)	Level (dB)
43.066406	-36.449810
86.132812	-34.917770
129.199219	-33.890083
172.265625	-32.724163
215.332031	-31.917477
258.398438	-31.200874
301.464844	-30.481983
344.531250	-29.856001
387.597656	-29.106611
430.664062	-28.467888
473.730469	-27.858267
516.796875	-27.280521
559.863281	-26.533062
602.929688	-25.505249
645.996094	-25.007915
689.062500	-24.827526
732.128906	-24.179871
775.195312	-24.025106
818.261719	-23.611063
861.328125	-23.471729
904.394531	-23.368851
947.460938	-23.202568
990.527344	-22.884912
1033.593750	-22.851654
1076.660156	-22.633993
1119.726562	-22.619284
1162.792969	-22.395380
1205.859375	-22.141237
1248.925781	-22.310282
1291.992188	-22.602882
1335.058594	-22.527069
1378.125000	-22.010864
1421.191406	-22.297159
1464.257812	-22.433601
1507.324219	-22.233355
1550.390625	-22.145998
1593.457031	-22.253119
1636.523438	-22.377956
1679.589844	-22.246769
1722.656250	-22.117374
1765.722656	-22.233772
1808.789062	-22.458704
1851.855469	-22.482168
1894.921875	-22.851213
1937.988281	-22.878031
1981.054688	-22.963110
2024.121094	-22.826487
2067.187500	-22.759872
2110.253906	-22.921755
2153.320312	-22.887236
2196.386719	-22.923956
2239.453125	-22.924662
2282.519531	-22.924252
2325.585938	-22.885700
2368.652344	-23.018433
2411.718750	-23.308315
2454.785156	-23.626575
2497.851562	-23.520279
2540.917969	-23.470587
2583.984375	-23.545942
2627.050781	-23.577383
2670.117188	-23.685040
2713.183594	-23.626549
2756.250000	-23.915026
2799.316406	-23.682983
2842.382812	-23.942097
2885.449219	-24.103308
2928.515625	-24.104866
2971.582031	-24.394444
3014.648438	-24.502428
3057.714844	-24.563875
3100.781250	-24.567486
3143.847656	-24.289330
3186.914062	-24.358891
3229.980469	-24.487803
3273.046875	-24.860226
3316.113281	-24.946898
3359.179688	-24.793056
3402.246094	-24.828552
3445.312500	-24.974955
3488.378906	-25.303278
3531.445312	-25.143131
3574.511719	-25.166647
3617.578125	-25.552492
3660.644531	-25.209379
3703.710938	-25.234735
3746.777344	-25.607281
3789.843750	-25.796234
3832.910156	-25.932783
3875.976562	-25.714676
3919.042969	-26.016487
3962.109375	-26.147911
4005.175781	-26.153687
4048.242188	-26.240471
4091.308594	-26.463873
4134.375000	-26.324480
4177.441406	-26.212193
4220.507812	-26.409552
4263.574219	-26.432108
4306.640625	-26.598757
4349.707031	-26.567360
4392.773438	-26.610842
4435.839844	-27.091755
4478.906250	-26.993109
4521.972656	-27.190977
4565.039062	-27.239965
4608.105469	-27.111881
4651.171875	-27.319778
4694.238281	-27.374119
4737.304688	-27.118889
4780.371094	-27.194239
4823.437500	-27.604160
4866.503906	-27.970083
4909.570312	-27.822269
4952.636719	-27.664091
4995.703125	-27.751135
5038.769531	-28.216482
5081.835938	-28.190079
5124.902344	-28.316576
5167.968750	-28.333622
5211.035156	-28.348692
5254.101562	-28.559021
5297.167969	-28.642008
5340.234375	-28.483475
5383.300781	-28.458206
5426.367188	-28.752645
5469.433594	-28.876617
5512.500000	-29.068277
5555.566406	-29.053255
5598.632812	-28.976700
5641.699219	-29.033239
5684.765625	-29.053331
5727.832031	-29.178427
5770.898438	-29.467897
5813.964844	-29.700008
5857.031250	-29.506142
5900.097656	-29.618731
5943.164062	-29.404737
5986.230469	-29.705990
6029.296875	-29.816088
6072.363281	-29.918833
6115.429688	-30.041891
6158.496094	-30.108057
6201.562500	-30.414762
6244.628906	-30.402494
6287.695312	-30.254431
6330.761719	-30.199476
6373.828125	-30.297527
6416.894531	-30.301676
6459.960938	-30.402014
6503.027344	-30.663851
6546.093750	-30.815298
6589.160156	-30.946686
6632.226562	-31.199806
6675.292969	-31.016958
6718.359375	-31.081627
6761.425781	-31.287550
6804.492188	-31.354517
6847.558594	-31.316448
6890.625000	-31.698551
6933.691406	-31.706654
6976.757812	-31.691536
7019.824219	-31.789904
7062.890625	-31.989325
7105.957031	-32.136650
7149.023438	-32.187721
7192.089844	-32.146748
7235.156250	-32.217815
7278.222656	-31.965811
7321.289062	-32.215473
7364.355469	-32.369358
7407.421875	-32.422962
7450.488281	-32.480183
7493.554688	-32.599239
7536.621094	-32.677940
7579.687500	-32.792336
7622.753906	-33.062771
7665.820312	-33.122444
7708.886719	-33.297920
7751.953125	-33.209629
7795.019531	-33.129616
7838.085938	-33.342331
7881.152344	-33.246727
7924.218750	-33.337246
7967.285156	-33.673401
8010.351562	-33.799183
8053.417969	-33.675880
8096.484375	-33.708897
8139.550781	-33.660870
8182.617188	-33.643143
8225.683594	-33.918968
8268.750000	-34.138321
8311.816406	-34.206833
8354.882812	-34.138954
8397.949219	-34.359055
8441.015625	-34.589218
8484.082031	-34.524700
8527.148438	-34.767654
8570.214844	-34.761387
8613.281250	-34.752865
8656.347656	-34.834042
8699.414062	-35.006454
8742.480469	-35.159119
8785.546875	-34.898205
8828.613281	-35.009266
8871.679688	-35.248760
8914.746094	-35.409485
8957.812500	-35.544361
9000.878906	-35.595413
9043.945312	-35.560303
9087.011719	-35.670036
9130.078125	-35.744202
9173.144531	-35.526806
9216.210938	-35.653156
9259.277344	-35.899834
9302.343750	-36.037945
9345.410156	-36.021984
9388.476562	-36.044857
9431.542969	-36.142105
9474.609375	-36.182709
9517.675781	-36.259609
9560.742188	-36.412605
9603.808594	-36.186344
9646.875000	-36.790234
9689.941406	-36.967102
9733.007812	-36.667511
9776.074219	-36.777630
9819.140625	-37.212513
9862.207031	-37.032005
9905.273438	-37.079575
9948.339844	-37.012100
9991.406250	-37.326565
10034.472656	-37.364830
10077.539062	-37.172543
10120.605469	-37.334869
10163.671875	-37.542446
10206.738281	-37.749516
10249.804688	-37.985428
10292.871094	-37.774181
10335.937500	-37.876057
10379.003906	-38.100971
10422.070312	-37.867996
10465.136719	-37.945019
10508.203125	-38.000618
10551.269531	-38.232239
10594.335938	-38.436977
10637.402344	-38.477375
10680.468750	-38.694153
10723.535156	-38.586567
10766.601562	-38.749283
10809.667969	-38.787125
10852.734375	-38.715992
10895.800781	-38.626759
10938.867188	-38.816730
10981.933594	-39.002728
11025.000000	-39.090057
11068.066406	-39.240330
11111.132812	-39.216522
11154.199219	-39.314999
11197.265625	-39.387726
11240.332031	-39.417728
11283.398438	-39.502106
11326.464844	-39.423496
11369.531250	-39.779827
11412.597656	-39.855991
11455.664062	-39.735062
11498.730469	-39.927727
11541.796875	-39.942612
11584.863281	-40.356163
11627.929688	-40.270927
11670.996094	-40.405140
11714.062500	-40.277058
11757.128906	-40.203522
11800.195312	-40.301918
11843.261719	-40.550205
11886.328125	-40.670174
11929.394531	-40.699020
11972.460938	-40.883690
12015.527344	-40.923389
12058.593750	-41.002224
12101.660156	-40.888180
12144.726562	-40.839592
12187.792969	-41.162060
12230.859375	-41.214188
12273.925781	-41.278126
12316.992188	-41.438938
12360.058594	-41.570404
12403.125000	-41.512573
12446.191406	-41.600636
12489.257812	-41.799515
12532.324219	-41.914158
12575.390625	-41.819046
12618.457031	-42.054451
12661.523438	-42.195099
12704.589844	-42.053520
12747.656250	-42.228577
12790.722656	-42.403046
12833.789062	-42.487011
12876.855469	-42.485165
12919.921875	-42.587704
12962.988281	-42.862518
13006.054688	-42.943855
13049.121094	-42.925915
13092.187500	-42.862122
13135.253906	-42.766727
13178.320312	-43.078430
13221.386719	-43.108879
13264.453125	-42.960880
13307.519531	-43.068600
13350.585938	-43.066662
13393.652344	-43.045860
13436.718750	-43.413857
13479.785156	-43.654411
13522.851562	-43.773300
13565.917969	-43.658596
13608.984375	-43.747253
13652.050781	-43.629765
13695.117188	-43.994812
13738.183594	-44.025547
13781.250000	-43.927052
13824.316406	-43.927372
13867.382812	-44.064564
13910.449219	-44.302822
13953.515625	-44.282505
13996.582031	-44.512932
14039.648438	-44.517853
14082.714844	-44.738789
14125.781250	-44.546387
14168.847656	-44.813942
14211.914062	-44.981274
14254.980469	-44.958408
14298.046875	-44.606510
14341.113281	-44.739922
14384.179688	-44.898235
14427.246094	-45.009930
14470.312500	-45.191406
14513.378906	-45.162315
14556.445312	-45.303577
14599.511719	-45.437130
14642.578125	-45.317326
14685.644531	-45.484119
14728.710938	-45.500111
14771.777344	-45.664951
14814.843750	-45.610214
14857.910156	-45.797028
14900.976562	-45.798309
14944.042969	-45.807255
14987.109375	-45.853844
15030.175781	-45.867855
15073.242188	-46.269085
15116.308594	-46.416046
15159.375000	-46.145065
15202.441406	-46.152275
15245.507812	-46.447628
15288.574219	-46.577805
15331.640625	-46.768272
15374.707031	-46.807774
15417.773438	-46.798470
15460.839844	-46.724255
15503.906250	-46.834263
15546.972656	-46.949154
15590.039062	-47.070225
15633.105469	-47.065266
15676.171875	-47.190968
15719.238281	-47.300293
15762.304688	-47.430481
15805.371094	-47.404102
15848.437500	-47.369415
15891.503906	-47.442688
15934.570312	-47.567368
15977.636719	-47.601299
16020.703125	-47.616230
16063.769531	-47.741703
16106.835938	-48.071041
16149.902344	-48.057430
16192.968750	-47.923019
16236.035156	-48.160267
16279.101562	-48.247765
16322.167969	-48.103249
16365.234375	-48.087570
16408.300781	-48.280861
16451.367188	-48.337692
16494.433594	-48.244949
16537.500000	-48.526993
16580.566406	-48.746887
16623.632812	-48.545151
16666.699219	-48.595699
16709.765625	-48.862915
16752.832031	-48.913216
16795.898438	-49.016140
16838.964844	-49.055061
16882.031250	-49.038723
16925.097656	-49.315208
16968.164062	-49.326805
17011.230469	-49.219105
17054.296875	-49.523621
17097.363281	-49.909439
17140.429688	-49.629200
17183.496094	-49.645966
17226.562500	-49.526585
17269.628906	-49.681709
17312.695312	-49.779709
17355.761719	-49.947624
17398.828125	-50.176971
17441.894531	-49.982841
17484.960938	-49.820503
17528.027344	-50.004475
17571.093750	-50.106468
17614.160156	-50.182846
17657.226562	-50.455505
17700.292969	-50.425777
17743.359375	-50.607353
17786.425781	-50.727188
17829.492188	-50.577953
17872.558594	-50.544136
17915.625000	-50.921173
17958.691406	-51.104897
18001.757812	-51.069611
18044.824219	-51.048206
18087.890625	-51.091625
18130.957031	-51.098572
18174.023438	-51.451511
18217.089844	-51.485298
18260.156250	-51.405647
18303.222656	-51.439949
18346.289062	-51.814129
18389.355469	-52.015972
18432.421875	-51.933170
18475.488281	-51.821079
18518.554688	-51.968121
18561.621094	-52.012329
18604.687500	-52.020741
18647.753906	-51.788898
18690.820312	-52.253963
18733.886719	-52.395859
18776.953125	-52.261135
18820.019531	-52.391655
18863.085938	-52.208271
18906.152344	-52.461369
18949.218750	-52.430836
18992.285156	-52.609020
19035.351562	-52.716854
19078.417969	-52.767307
19121.484375	-52.962738
19164.550781	-52.951275
19207.617188	-52.768642
19250.683594	-52.925125
19293.750000	-53.038521
19336.816406	-53.158871
19379.882812	-53.464272
19422.949219	-53.448524
19466.015625	-53.427792
19509.082031	-53.392036
19552.148438	-53.349960
19595.214844	-53.660896
19638.281250	-53.626286
19681.347656	-53.606018
19724.414062	-53.618820
19767.480469	-53.749794
19810.546875	-53.849510
19853.613281	-54.087337
19896.679688	-54.399776
19939.746094	-54.028664
19982.812500	-53.992004
20025.878906	-54.036556
20068.945312	-54.281689
20112.011719	-54.542755
20155.078125	-54.520603
20198.144531	-54.470493
20241.210938	-54.505898
20284.277344	-54.691784
20327.343750	-54.775475
20370.410156	-54.731537
20413.476562	-54.664768
20456.542969	-54.805988
20499.609375	-54.855453
