Frequency (Hz)	Level (dB)
43.066406	-31.652475
86.132812	-27.318651
129.199219	-25.484243
172.265625	-24.539520
215.332031	-23.797029
258.398438	-22.955404
301.464844	-22.569868
344.531250	-22.390942
387.597656	-22.143505
430.664062	-21.700937
473.730469	-21.683033
516.796875	-21.909681
559.863281	-21.697567
602.929688	-21.326811
645.996094	-21.412146
689.062500	-21.832745
732.128906	-22.052645
775.195312	-21.950096
818.261719	-22.078657
861.328125	-22.334526
904.394531	-22.487885
947.460938	-22.298265
990.527344	-22.157619
1033.593750	-22.497494
1076.660156	-22.315521
1119.726562	-22.360102
1162.792969	-22.498875
1205.859375	-23.028069
1248.925781	-23.437321
1291.992188	-23.577187
1335.058594	-23.373486
1378.125000	-23.442881
1421.191406	-23.631865
1464.257812	-24.125793
1507.324219	-23.921978
1550.390625	-23.750656
1593.457031	-24.112120
1636.523438	-24.231180
1679.589844	-24.302069
1722.656250	-24.134468
1765.722656	-24.403650
1808.789062	-24.863234
1851.855469	-24.998632
1894.921875	-25.201931
1937.988281	-25.273439
1981.054688	-25.261293
2024.121094	-25.004185
2067.187500	-25.199678
2110.253906	-25.080956
2153.320312	-25.457590
2196.386719	-25.654613
2239.453125	-25.258116
2282.519531	-25.515976
2325.585938	-25.738249
2368.652344	-25.802603
2411.718750	-26.144236
2454.785156	-26.538551
2497.851562	-26.191078
2540.917969	-26.138866
2583.984375	-26.565807
2627.050781	-26.715944
2670.117188	-26.391848
2713.183594	-26.214443
2756.250000	-26.475819
2799.316406	-26.680405
2842.382812	-26.977982
2885.449219	-27.078272
2928.515625	-26.796553
2971.582031	-27.276609
3014.648438	-27.433685
3057.714844	-27.122019
3100.781250	-27.049946
3143.847656	-26.752909
3186.914062	-27.204414
3229.980469	-27.576897
3273.046875	-27.457911
3316.113281	-27.216488
3359.179688	-27.875956
3402.246094	-27.896450
3445.312500	-28.020428
3488.378906	-27.952440
3531.445312	-27.782799
3574.511719	-27.927347
3617.578125	-28.118731
3660.644531	-28.006046
3703.710938	-28.035412
3746.777344	-28.178768
3789.843750	-27.962072
3832.910156	-28.364769
3875.976562	-28.422905
3919.042969	-28.713274
3962.109375	-28.676023
4005.175781	-28.838984
4048.242188	-29.180824
4091.308594	-29.111420
4134.375000	-28.824110
4177.441406	-28.951900
4220.507812	-29.074602
4263.574219	-29.077314
4306.640625	-29.431885
4349.707031	-29.558296
4392.773438	-29.476734
4435.839844	-29.483744
4478.906250	-29.450272
4521.972656	-29.421547
4565.039062	-29.724655
4608.105469	-29.908545
4651.171875	-30.052675
4694.238281	-30.070152
4737.304688	-29.794922
4780.371094	-29.629604
4823.437500	-29.731161
4866.503906	-29.898584
4909.570312	-30.143202
4952.636719	-30.544262
4995.703125	-30.583185
5038.769531	-30.678669
5081.835938	-29.954842
5124.902344	-30.131823
5167.968750	-30.366077
5211.035156	-30.373335
5254.101562	-30.641636
5297.167969	-30.505476
5340.234375	-30.635187
5383.300781	-30.801186
5426.367188	-31.008579
5469.433594	-31.067253
5512.500000	-30.935913
5555.566406	-30.767952
5598.632812	-30.825939
5641.699219	-31.114998
5684.765625	-30.961134
5727.832031	-31.177588
5770.898438	-31.374908
5813.964844	-31.464603
5857.031250	-31.480616
5900.097656	-31.691641
5943.164062	-31.341095
5986.230469	-31.415956
6029.296875	-31.526154
6072.363281	-31.601091
6115.429688	-31.909878
6158.496094	-31.804668
6201.562500	-32.090572
6244.628906	-32.097088
6287.695312	-32.064880
6330.761719	-32.146008
6373.828125	-32.055119
6416.894531	-31.774189
6459.960938	-31.718294
6503.027344	-32.359211
6546.093750	-32.703156
6589.160156	-32.723942
6632.226562	-32.826820
6675.292969	-32.753082
6718.359375	-32.764996
6761.425781	-32.742943
6804.492188	-33.034069
6847.558594	-32.884018
6890.625000	-32.979610
6933.691406	-32.630680
6976.757812	-32.591389
7019.824219	-32.708950
7062.890625	-33.006775
7105.957031	-33.483734
7149.023438	-33.676788
7192.089844	-33.456024
7235.156250	-33.426159
7278.222656	-33.216637
7321.289062	-33.162502
7364.355469	-33.018322
7407.421875	-33.521294
7450.488281	-33.475277
7493.554688	-33.423691
7536.621094	-33.603683
7579.687500	-33.762108
7622.753906	-33.757488
7665.820312	-33.893532
7708.886719	-33.827637
7751.953125	-33.510059
7795.019531	-33.802288
7838.085938	-33.790165
7881.152344	-34.521759
7924.218750	-34.518860
7967.285156	-34.432323
8010.351562	-34.605534
8053.417969	-34.352581
8096.484375	-34.288681
8139.550781	-34.343658
8182.617188	-34.496578
8225.683594	-34.715893
8268.750000	-34.956039
8311.816406	-34.715740
8354.882812	-34.727421
8397.949219	-34.884552
8441.015625	-35.316860
8484.082031	-35.015762
8527.148438	-35.171562
8570.214844	-35.340439
8613.281250	-35.425369
8656.347656	-35.450161
8699.414062	-34.895416
8742.480469	-35.441898
8785.546875	-35.151482
8828.613281	-34.891960
8871.679688	-35.529663
8914.746094	-35.721638
8957.812500	-35.772205
9000.878906	-35.790836
9043.945312	-35.921230
9087.011719	-35.745651
9130.078125	-35.528900
9173.144531	-35.789997
9216.210938	-36.218029
9259.277344	-36.538597
9302.343750	-36.221558
9345.410156	-36.207302
9388.476562	-36.264858
9431.542969	-35.991596
9474.609375	-35.737022
9517.675781	-35.999725
9560.742188	-36.461319
9603.808594	-36.784931
9646.875000	-37.032516
9689.941406	-36.904438
9733.007812	-36.470589
9776.074219	-36.655170
9819.140625	-37.116882
9862.207031	-36.867352
9905.273438	-36.775299
9948.339844	-36.901821
9991.406250	-37.074848
10034.472656	-36.808586
10077.539062	-36.574707
10120.605469	-36.642315
10163.671875	-36.720726
10206.738281	-37.211334
10249.804688	-37.518326
10292.871094	-37.311153
10335.937500	-37.540802
10379.003906	-37.562172
10422.070312	-37.221432
10465.136719	-37.399200
10508.203125	-37.370743
10551.269531	-37.769051
10594.335938	-37.447720
10637.402344	-37.716740
10680.468750	-37.635033
10723.535156	-37.588573
10766.601562	-38.265953
10809.667969	-38.234787
10852.734375	-37.737446
10895.800781	-38.040413
10938.867188	-37.821342
10981.933594	-37.845634
11025.000000	-37.907005
11068.066406	-38.145367
11111.132812	-38.119026
11154.199219	-38.062271
11197.265625	-38.457493
11240.332031	-38.532993
11283.398438	-38.303570
11326.464844	-38.404945
11369.531250	-38.505661
11412.597656	-38.583313
11455.664062	-39.020355
11498.730469	-38.485413
11541.796875	-38.359894
11584.863281	-38.496948
11627.929688	-38.889374
11670.996094	-39.007549
11714.062500	-38.671238
11757.128906	-38.825268
11800.195312	-39.066338
11843.261719	-39.266575
11886.328125	-39.241604
11929.394531	-39.510128
11972.460938	-39.246147
12015.527344	-39.324951
12058.593750	-39.097683
12101.660156	-39.292393
12144.726562	-39.298233
12187.792969	-39.467850
12230.859375	-39.665749
12273.925781	-39.368088
12316.992188	-39.349678
12360.058594	-39.213596
12403.125000	-39.419403
12446.191406	-39.726345
12489.257812	-39.690235
12532.324219	-40.029373
12575.390625	-40.193829
12618.457031	-40.167316
12661.523438	-40.077206
12704.589844	-39.690922
12747.656250	-40.140343
12790.722656	-40.358555
12833.789062	-40.236233
12876.855469	-40.211113
12919.921875	-40.079735
12962.988281	-40.126389
13006.054688	-40.412903
13049.121094	-40.823303
13092.187500	-40.982578
13135.253906	-40.917633
13178.320312	-40.636387
13221.386719	-40.551697
13264.453125	-40.804234
13307.519531	-41.016228
13350.585938	-40.898308
13393.652344	-40.636108
13436.718750	-40.724567
13479.785156	-40.881996
13522.851562	-41.265362
13565.917969	-41.501110
13608.984375	-41.306732
13652.050781	-41.256546
13695.117188	-41.356094
13738.183594	-41.315201
13781.250000	-41.406830
13824.316406	-41.513058
13867.382812	-41.407467
13910.449219	-41.464031
13953.515625	-41.532261
13996.582031	-41.551353
14039.648438	-41.159946
14082.714844	-41.416344
14125.781250	-41.627041
14168.847656	-41.551666
14211.914062	-41.806030
14254.980469	-41.939026
14298.046875	-41.833168
14341.113281	-42.229652
14384.179688	-42.486748
14427.246094	-42.266361
14470.312500	-41.997074
14513.378906	-41.915031
14556.445312	-42.089603
14599.511719	-42.237442
14642.578125	-42.080013
14685.644531	-42.202824
14728.710938	-42.355972
14771.777344	-42.758099
14814.843750	-42.868675
14857.910156	-42.569065
14900.976562	-42.654522
14944.042969	-42.763515
14987.109375	-43.038139
15030.175781	-43.225372
15073.242188	-43.295212
15116.308594	-42.942863
15159.375000	-42.809910
15202.441406	-42.844418
15245.507812	-43.223499
15288.574219	-43.097313
15331.640625	-43.030914
15374.707031	-43.115677
15417.773438	-43.151138
15460.839844	-43.124718
15503.906250	-43.130093
15546.972656	-43.401215
15590.039062	-43.290977
15633.105469	-43.495972
15676.171875	-43.617596
15719.238281	-43.650192
15762.304688	-43.811569
15805.371094	-44.040432
15848.437500	-44.261757
15891.503906	-43.892147
15934.570312	-43.660526
15977.636719	-43.538143
16020.703125	-43.650425
16063.769531	-43.755039
16106.835938	-44.208881
16149.902344	-44.210323
16192.968750	-44.499508
16236.035156	-44.218948
16279.101562	-44.293869
16322.167969	-44.466808
16365.234375	-44.297066
16408.300781	-44.222397
16451.367188	-44.410023
16494.433594	-44.316334
16537.500000	-44.655670
16580.566406	-44.698277
16623.632812	-44.409966
16666.699219	-44.510002
16709.765625	-45.038681
16752.832031	-45.112213
16795.898438	-44.974091
16838.964844	-44.654343
16882.031250	-44.821362
16925.097656	-45.149590
16968.164062	-44.990852
17011.230469	-44.794277
17054.296875	-45.108040
17097.363281	-45.477528
17140.429688	-45.271698
17183.496094	-45.557991
17226.562500	-45.493385
17269.628906	-45.259129
17312.695312	-44.993515
17355.761719	-44.876587
17398.828125	-45.145737
17441.894531	-45.164162
17484.960938	-45.369194
17528.027344	-45.643806
17571.093750	-45.552479
17614.160156	-45.347450
17657.226562	-45.344765
17700.292969	-45.877041
17743.359375	-46.399673
17786.425781	-46.266220
17829.492188	-45.748989
17872.558594	-45.908142
17915.625000	-46.347435
17958.691406	-46.217281
18001.757812	-45.962967
18044.824219	-46.279736
18087.890625	-46.426342
18130.957031	-46.356167
18174.023438	-46.133022
18217.089844	-46.021423
18260.156250	-46.259556
18303.222656	-46.589817
18346.289062	-46.769524
18389.355469	-46.922626
18432.421875	-46.953880
18475.488281	-46.615421
18518.554688	-47.174004
18561.621094	-47.089127
18604.687500	-46.972492
18647.753906	-47.184795
18690.820312	-47.573753
18733.886719	-47.367847
18776.953125	-47.342945
18820.019531	-47.565529
18863.085938	-46.957520
18906.152344	-47.062069
18949.218750	-47.419186
18992.285156	-47.262672
19035.351562	-47.177647
19078.417969	-47.151184
19121.484375	-47.028915
19164.550781	-47.354061
19207.617188	-47.518372
19250.683594	-47.419975
19293.750000	-47.412426
19336.816406	-47.685909
19379.882812	-48.208416
19422.949219	-47.992569
19466.015625	-47.532715
19509.082031	-47.682625
19552.148438	-47.659870
19595.214844	-48.061195
19638.281250	-48.230896
19681.347656	-47.645557
19724.414062	-47.564922
19767.480469	-47.972610
