Frequency (Hz)	Level (dB)
43.066406	-11.586638
86.132812	-16.142502
129.199219	-18.588425
172.265625	-19.028996
215.332031	-19.878160
258.398438	-20.899849
301.464844	-21.422277
344.531250	-21.749096
387.597656	-22.568687
430.664062	-23.701927
473.730469	-24.260105
516.796875	-24.588430
559.863281	-25.427694
602.929688	-25.175640
645.996094	-25.168392
689.062500	-26.183901
732.128906	-25.727783
775.195312	-25.554783
818.261719	-25.762911
861.328125	-26.076967
904.394531	-27.051647
947.460938	-27.692661
990.527344	-27.397100
1033.593750	-27.592487
1076.660156	-27.879801
1119.726562	-27.771711
1162.792969	-27.891701
1205.859375	-27.616634
1248.925781	-27.534010
1291.992188	-27.822718
1335.058594	-28.122877
1378.125000	-28.479462
1421.191406	-28.789896
1464.257812	-28.967686
1507.324219	-29.051538
1550.390625	-29.227289
1593.457031	-29.387648
1636.523438	-29.161007
1679.589844	-29.033285
1722.656250	-29.121000
1765.722656	-29.857246
1808.789062	-29.262594
1851.855469	-29.102057
1894.921875	-29.535423
1937.988281	-29.754229
1981.054688	-30.498577
2024.121094	-30.433916
2067.187500	-30.237341
2110.253906	-30.206715
2153.320312	-29.994562
2196.386719	-30.513643
2239.453125	-30.630993
2282.519531	-30.335953
2325.585938	-30.043839
2368.652344	-30.213503
2411.718750	-30.365198
2454.785156	-31.053427
2497.851562	-30.882437
2540.917969	-31.281208
2583.984375	-31.131908
2627.050781	-30.515713
2670.117188	-30.874584
2713.183594	-30.951178
2756.250000	-31.376236
2799.316406	-31.499294
2842.382812	-31.300463
2885.449219	-31.638273
2928.515625	-32.004116
2971.582031	-31.923033
3014.648438	-31.936298
3057.714844	-31.741022
3100.781250	-31.638933
3143.847656	-31.978134
3186.914062	-31.344896
3229.980469	-31.665134
3273.046875	-32.572281
3316.113281	-32.681976
3359.179688	-32.197594
3402.246094	-32.042103
3445.312500	-32.614445
3488.378906	-32.560791
3531.445312	-32.220409
3574.511719	-32.630085
3617.578125	-32.849339
3660.644531	-32.523628
3703.710938	-32.724918
3746.777344	-33.140110
3789.843750	-33.596275
3832.910156	-32.949509
3875.976562	-32.741020
3919.042969	-33.060596
3962.109375	-33.138248
4005.175781	-33.523109
4048.242188	-33.274071
4091.308594	-33.272198
4134.375000	-33.338295
4177.441406	-32.648453
4220.507812	-32.979763
4263.574219	-33.777790
4306.640625	-33.416027
4349.707031	-33.446350
4392.773438	-33.568539
4435.839844	-33.493618
4478.906250	-33.619961
4521.972656	-33.749580
4565.039062	-33.185299
4608.105469	-33.199265
4651.171875	-34.103233
4694.238281	-33.993633
4737.304688	-33.549995
4780.371094	-33.394402
4823.437500	-34.183624
4866.503906	-34.672867
4909.570312	-34.559147
4952.636719	-33.710785
4995.703125	-34.503525
5038.769531	-34.499989
5081.835938	-34.067368
5124.902344	-34.195454
5167.968750	-34.322388
5211.035156	-34.645103
5254.101562	-34.628193
5297.167969	-34.479958
5340.234375	-34.336418
5383.300781	-34.565651
5426.367188	-34.980331
5469.433594	-34.873596
5512.500000	-34.399883
5555.566406	-34.602791
5598.632812	-34.727154
5641.699219	-34.764423
5684.765625	-34.862019
5727.832031	-35.077324
5770.898438	-35.063625
5813.964844	-34.972874
5857.031250	-35.147800
5900.097656	-35.171665
5943.164062	-34.675533
5986.230469	-34.976208
6029.296875	-35.203110
6072.363281	-35.076321
6115.429688	-34.593678
6158.496094	-34.500305
6201.562500	-34.826427
6244.628906	-35.042633
6287.695312	-35.572544
6330.761719	-35.838005
6373.828125	-35.148499
6416.894531	-35.043758
6459.960938	-34.868198
6503.027344	-35.267750
6546.093750	-35.448990
6589.160156	-35.557709
6632.226562	-35.926285
6675.292969	-35.713608
6718.359375	-35.573280
6761.425781	-35.403748
6804.492188	-35.413940
6847.558594	-35.104198
6890.625000	-35.093987
6933.691406	-35.268219
6976.757812	-35.824921
7019.824219	-35.553478
7062.890625	-35.848148
7105.957031	-35.701168
7149.023438	-35.586262
7192.089844	-35.767899
7235.156250	-35.868626
7278.222656	-35.974052
7321.289062	-36.504650
7364.355469	-36.002014
7407.421875	-35.778011
7450.488281	-35.918941
7493.554688	-36.458191
7536.621094	-36.494579
7579.687500	-35.907330
7622.753906	-36.374123
7665.820312	-36.428589
7708.886719	-36.423618
7751.953125	-36.546936
7795.019531	-36.184940
7838.085938	-35.831776
7881.152344	-35.556648
7924.218750	-35.574394
7967.285156	-35.948803
8010.351562	-36.150589
8053.417969	-36.022217
8096.484375	-36.103767
8139.550781	-35.980339
8182.617188	-36.220127
8225.683594	-36.462795
8268.750000	-36.502766
8311.816406	-35.914227
8354.882812	-36.510815
8397.949219	-36.722115
8441.015625	-36.717674
8484.082031	-36.541676
8527.148438	-36.474598
8570.214844	-36.565239
8613.281250	-36.606945
8656.347656	-36.580750
8699.414062	-36.543743
8742.480469	-36.482048
8785.546875	-36.327602
8828.613281	-36.290215
8871.679688	-36.148624
8914.746094	-36.554642
8957.812500	-36.866810
9000.878906	-36.475437
9043.945312	-36.631207
9087.011719	-36.688702
9130.078125	-36.938885
9173.144531	-36.808968
9216.210938	-36.490021
9259.277344	-36.434303
9302.343750	-36.696167
9345.410156	-36.874588
9388.476562	-37.051552
9431.542969	-37.152164
9474.609375	-37.310398
9517.675781	-37.062592
9560.742188	-36.858490
9603.808594	-36.923801
9646.875000	-37.298008
9689.941406	-37.506870
9733.007812	-37.409878
9776.074219	-37.275589
9819.140625	-37.716839
9862.207031	-37.160545
9905.273438	-37.245296
9948.339844	-36.882973
9991.406250	-37.122993
10034.472656	-37.418587
10077.539062	-37.251667
10120.605469	-37.614265
10163.671875	-37.235790
10206.738281	-37.840988
10249.804688	-38.018024
10292.871094	-37.203014
10335.937500	-36.611671
10379.003906	-36.745270
10422.070312	-37.104870
10465.136719	-37.269520
10508.203125	-37.148457
10551.269531	-37.204632
10594.335938	-37.399792
10637.402344	-37.500278
10680.468750	-37.467400
10723.535156	-37.507786
10766.601562	-37.255028
10809.667969	-37.388901
10852.734375	-37.514980
10895.800781	-37.680801
10938.867188	-37.449532
10981.933594	-37.165295
11025.000000	-37.734886
11068.066406	-37.584171
11111.132812	-37.238247
11154.199219	-37.423264
11197.265625	-37.455711
11240.332031	-37.708252
11283.398438	-37.692745
11326.464844	-37.607334
11369.531250	-37.446709
11412.597656	-37.974594
11455.664062	-37.749470
11498.730469	-37.431396
11541.796875	-37.475971
11584.863281	-38.367008
11627.929688	-37.804138
11670.996094	-37.349854
11714.062500	-37.353359
11757.128906	-37.825012
11800.195312	-38.234180
11843.261719	-38.069118
11886.328125	-37.635380
11929.394531	-37.549240
11972.460938	-37.878910
12015.527344	-38.196465
12058.593750	-37.652157
12101.660156	-37.650723
12144.726562	-37.785690
12187.792969	-37.629688
12230.859375	-37.881664
12273.925781	-37.645863
12316.992188	-37.967392
12360.058594	-38.443008
12403.125000	-38.582710
12446.191406	-38.605316
12489.257812	-38.145607
12532.324219	-37.948486
12575.390625	-38.095592
12618.457031	-38.219181
12661.523438	-38.693787
12704.589844	-38.329926
12747.656250	-37.938683
12790.722656	-37.960602
12833.789062	-38.223667
12876.855469	-38.026722
12919.921875	-38.095821
12962.988281	-38.052750
13006.054688	-37.853920
13049.121094	-38.334595
13092.187500	-38.008640
13135.253906	-38.230854
13178.320312	-39.096233
13221.386719	-38.305725
13264.453125	-37.765190
13307.519531	-37.715702
13350.585938	-38.260735
13393.652344	-38.791977
13436.718750	-38.379532
13479.785156	-38.714180
13522.851562	-38.650284
13565.917969	-38.432518
13608.984375	-38.607368
13652.050781	-38.121136
13695.117188	-39.119087
13738.183594	-38.869423
13781.250000	-38.165848
13824.316406	-38.464661
13867.382812	-38.282021
13910.449219	-38.615028
13953.515625	-38.579102
13996.582031	-38.677170
14039.648438	-39.345531
14082.714844	-39.202713
14125.781250	-38.801983
14168.847656	-39.259968
14211.914062	-39.557014
14254.980469	-39.553864
14298.046875	-38.925716
14341.113281	-38.537514
14384.179688	-38.811050
14427.246094	-39.391922
14470.312500	-38.528202
14513.378906	-38.463184
14556.445312	-38.613384
14599.511719	-38.847923
14642.578125	-38.866943
14685.644531	-39.110741
14728.710938	-39.413952
14771.777344	-39.213539
14814.843750	-39.171143
14857.910156	-38.628971
14900.976562	-38.518692
14944.042969	-38.964748
14987.109375	-38.634216
15030.175781	-38.517067
15073.242188	-38.767422
15116.308594	-38.944202
15159.375000	-39.025837
15202.441406	-39.175041
15245.507812	-39.384758
15288.574219	-38.630753
15331.640625	-39.126881
15374.707031	-39.313976
15417.773438	-39.059589
15460.839844	-39.098099
15503.906250	-39.048321
15546.972656	-39.212219
15590.039062	-39.616329
15633.105469	-39.623592
15676.171875	-39.292999
15719.238281	-39.283375
15762.304688	-39.307472
15805.371094	-39.332085
15848.437500	-39.357967
15891.503906	-38.826981
15934.570312	-39.012344
15977.636719	-38.987022
16020.703125	-39.432053
16063.769531	-39.792419
16106.835938	-39.266403
16149.902344	-39.215347
16192.968750	-39.504627
16236.035156	-39.548397
16279.101562	-39.272312
16322.167969	-39.042450
16365.234375	-39.277317
16408.300781	-39.411240
16451.367188	-39.584961
16494.433594	-39.497242
16537.500000	-39.696991
16580.566406	-39.713680
16623.632812	-39.276653
16666.699219	-39.397717
16709.765625	-39.296207
16752.832031	-39.090424
16795.898438	-38.832905
16838.964844	-38.341301
16882.031250	-38.797871
16925.097656	-39.420883
16968.164062	-39.575924
17011.230469	-39.352509
17054.296875	-39.147778
17097.363281	-39.345570
17140.429688	-39.369274
17183.496094	-39.534908
17226.562500	-39.811466
17269.628906	-39.503815
17312.695312	-39.839455
17355.761719	-40.316513
17398.828125	-40.118584
17441.894531	-39.762234
17484.960938	-39.343414
17528.027344	-39.035614
17571.093750	-39.453007
17614.160156	-39.726440
17657.226562	-39.941963
17700.292969	-39.874851
17743.359375	-40.243645
17786.425781	-40.029346
17829.492188	-39.642094
17872.558594	-40.011269
17915.625000	-39.842957
17958.691406	-39.813709
18001.757812	-40.331318
18044.824219	-39.834579
18087.890625	-39.659763
18130.957031	-39.911007
18174.023438	-40.144840
18217.089844	-40.414078
18260.156250	-40.264408
18303.222656	-40.117973
18346.289062	-39.532074
18389.355469	-40.605034
18432.421875	-40.765076
18475.488281	-40.279808
18518.554688	-39.818821
18561.621094	-39.639339
18604.687500	-40.294044
18647.753906	-40.359352
18690.820312	-40.362053
18733.886719	-40.190662
18776.953125	-40.395035
18820.019531	-40.344131
18863.085938	-40.448692
18906.152344	-40.148003
18949.218750	-40.050510
18992.285156	-39.796249
19035.351562	-40.183498
19078.417969	-40.338745
19121.484375	-39.939957
19164.550781	-39.928959
19207.617188	-40.046234
19250.683594	-40.111233
19293.750000	-40.810612
19336.816406	-41.099773
19379.882812	-40.456982
19422.949219	-40.293159
19466.015625	-39.970432
19509.082031	-39.522194
19552.148438	-39.689884
19595.214844	-40.032177
19638.281250	-40.214783
19681.347656	-39.812813
19724.414062	-39.675568
19767.480469	-39.514843
19810.546875	-40.111565
19853.613281	-40.082329
19896.679688	-40.228531
19939.746094	-40.611649
19982.812500	-40.189091
20025.878906	-39.839397
20068.945312	-40.059597
20112.011719	-40.063137
20155.078125	-40.603275
20198.144531	-41.101837
20241.210938	-40.629616
20284.277344	-40.542393
20327.343750	-40.086342
20370.410156	-40.459362
20413.476562	-40.458286
20456.542969	-40.232555
20499.609375	-40.515495
20542.675781	-40.320816
20585.742188	-40.778763
20628.808594	-41.265247
20671.875000	-40.643242
20714.941406	-40.720131
20758.007812	-41.007488
20801.074219	-41.034149
20844.140625	-40.712589
20887.207031	-40.778397
20930.273438	-41.040749
20973.339844	-40.570259
21016.406250	-40.811642
21059.472656	-40.996017
21102.539062	-41.466854
21145.605469	-41.239136
21188.671875	-41.075047
21231.738281	-40.916386
21274.804688	-40.502296
21317.871094	-41.029457
21360.937500	-41.340187
21404.003906	-41.471523
21447.070312	-41.396873
21490.136719	-41.463543
21533.203125	-41.305027
21576.269531	-41.826015
21619.335938	-41.798302
21662.402344	-41.977634
21705.468750	-42.401958
21748.535156	-42.656235
21791.601562	-42.530445
21834.667969	-42.707718
21877.734375	-42.885551
21920.800781	-42.972675
21963.867188	-43.501606
22006.933594	-43.586147
