Frequency (Hz)	Level (dB)
43.066406	-32.294235
86.132812	-28.087702
129.199219	-25.916481
172.265625	-24.962971
215.332031	-24.041967
258.398438	-23.399370
301.464844	-22.630650
344.531250	-22.457930
387.597656	-21.999741
430.664062	-21.526552
473.730469	-21.234337
516.796875	-21.028654
559.863281	-20.978243
602.929688	-20.652124
645.996094	-20.231585
689.062500	-20.381641
732.128906	-20.381538
775.195312	-20.456945
818.261719	-20.673960
861.328125	-20.731213
904.394531	-20.537304
947.460938	-20.427551
990.527344	-20.221945
1033.593750	-20.291927
1076.660156	-20.104723
1119.726562	-20.202496
1162.792969	-20.248062
1205.859375	-20.430145
1248.925781	-20.921417
1291.992188	-21.107197
1335.058594	-20.595369
1378.125000	-20.681528
1421.191406	-21.022585
1464.257812	-21.213356
1507.324219	-20.951839
1550.390625	-20.825006
1593.457031	-21.048590
1636.523438	-21.287373
1679.589844	-21.227072
1722.656250	-20.983759
1765.722656	-21.350685
1808.789062	-21.606440
1851.855469	-21.739285
1894.921875	-22.042873
1937.988281	-21.922169
1981.054688	-21.809750
2024.121094	-21.702364
2067.187500	-21.840927
2110.253906	-22.039709
2153.320312	-21.935843
2196.386719	-22.127604
2239.453125	-21.920244
2282.519531	-21.915266
2325.585938	-22.111645
2368.652344	-22.062672
2411.718750	-22.500179
2454.785156	-22.894665
2497.851562	-22.745090
2540.917969	-22.431293
2583.984375	-22.728573
2627.050781	-23.029034
2670.117188	-22.813171
2713.183594	-22.477913
2756.250000	-22.691683
2799.316406	-23.071686
2842.382812	-23.202810
2885.449219	-23.116570
2928.515625	-22.928087
2971.582031	-23.435465
3014.648438	-23.653881
3057.714844	-23.231585
3100.781250	-23.110363
3143.847656	-22.886921
3186.914062	-23.196815
3229.980469	-23.567108
3273.046875	-23.330332
3316.113281	-23.294531
3359.179688	-23.961729
3402.246094	-23.957933
3445.312500	-23.928909
3488.378906	-23.950914
3531.445312	-23.679779
3574.511719	-23.950310
3617.578125	-24.269526
3660.644531	-24.008427
3703.710938	-23.790634
3746.777344	-24.130524
3789.843750	-23.851986
3832.910156	-24.204311
3875.976562	-24.118246
3919.042969	-24.526728
3962.109375	-24.808306
4005.175781	-24.721930
4048.242188	-25.209999
4091.308594	-25.102732
4134.375000	-24.846794
4177.441406	-24.628897
4220.507812	-24.802849
4263.574219	-25.147518
4306.640625	-25.640976
4349.707031	-25.291840
4392.773438	-25.196907
4435.839844	-25.339699
4478.906250	-25.120378
4521.972656	-25.312532
4565.039062	-25.330240
4608.105469	-25.563747
4651.171875	-25.841892
4694.238281	-25.839186
4737.304688	-25.324821
4780.371094	-25.241446
4823.437500	-25.455475
4866.503906	-25.399090
4909.570312	-25.576643
4952.636719	-25.959091
4995.703125	-26.045477
5038.769531	-26.137236
5081.835938	-25.561453
5124.902344	-25.826511
5167.968750	-25.950912
5211.035156	-25.966179
5254.101562	-26.290007
5297.167969	-25.969221
5340.234375	-26.111679
5383.300781	-26.303627
5426.367188	-26.538931
5469.433594	-26.487450
5512.500000	-26.402473
5555.566406	-26.162903
5598.632812	-26.258348
5641.699219	-26.517025
5684.765625	-26.450594
5727.832031	-26.708561
5770.898438	-26.899803
5813.964844	-26.809460
5857.031250	-26.802546
5900.097656	-26.949259
5943.164062	-26.663618
5986.230469	-26.913616
6029.296875	-26.893967
6072.363281	-26.993580
6115.429688	-27.084208
6158.496094	-26.967407
6201.562500	-27.451372
6244.628906	-27.354506
6287.695312	-27.245733
6330.761719	-27.411345
6373.828125	-27.236189
6416.894531	-27.040979
6459.960938	-26.980814
6503.027344	-27.378111
6546.093750	-27.686382
6589.160156	-27.980997
6632.226562	-28.223904
6675.292969	-27.781979
6718.359375	-27.650469
6761.425781	-27.940229
6804.492188	-28.188824
6847.558594	-27.839136
6890.625000	-27.992344
6933.691406	-27.681477
6976.757812	-27.666330
7019.824219	-27.851423
7062.890625	-28.305489
7105.957031	-28.548201
7149.023438	-28.839621
7192.089844	-28.416739
7235.156250	-28.257053
7278.222656	-28.049093
7321.289062	-28.226416
7364.355469	-28.002071
7407.421875	-28.386917
7450.488281	-28.482246
7493.554688	-28.442898
7536.621094	-28.677591
7579.687500	-28.827410
7622.753906	-28.645300
7665.820312	-29.044788
7708.886719	-28.905682
7751.953125	-28.283375
7795.019531	-28.567863
7838.085938	-28.534002
7881.152344	-29.131041
7924.218750	-29.321890
7967.285156	-29.166138
8010.351562	-29.281168
8053.417969	-29.122538
8096.484375	-29.125088
8139.550781	-29.147850
8182.617188	-29.245291
8225.683594	-29.287012
8268.750000	-29.623064
8311.816406	-29.473772
8354.882812	-29.234026
8397.949219	-29.680571
8441.015625	-29.864805
8484.082031	-29.628031
8527.148438	-29.963472
8570.214844	-29.825460
8613.281250	-30.045292
8656.347656	-30.106543
8699.414062	-29.581213
8742.480469	-30.286978
8785.546875	-29.698915
8828.613281	-29.507330
8871.679688	-29.968315
8914.746094	-30.214512
8957.812500	-30.515150
9000.878906	-30.340048
9043.945312	-30.240999
9087.011719	-30.280094
9130.078125	-30.130980
9173.144531	-30.238642
9216.210938	-30.944607
9259.277344	-31.021269
9302.343750	-30.662119
9345.410156	-30.547781
9388.476562	-30.659567
9431.542969	-30.457243
9474.609375	-30.198082
9517.675781	-30.240377
9560.742188	-30.778255
9603.808594	-31.087933
9646.875000	-31.293652
9689.941406	-31.283703
9733.007812	-30.988707
9776.074219	-31.181320
9819.140625	-31.451527
9862.207031	-31.271851
9905.273438	-30.917828
9948.339844	-31.079823
9991.406250	-31.439987
10034.472656	-31.125561
10077.539062	-30.814640
10120.605469	-30.854156
10163.671875	-30.973877
10206.738281	-31.310265
10249.804688	-31.644241
10292.871094	-31.563774
10335.937500	-31.804344
10379.003906	-31.862501
10422.070312	-31.393246
10465.136719	-31.481234
10508.203125	-31.318897
10551.269531	-31.839754
10594.335938	-31.641346
10637.402344	-31.866394
10680.468750	-31.963848
10723.535156	-31.670933
10766.601562	-32.163708
10809.667969	-32.122833
10852.734375	-31.642277
10895.800781	-31.955158
10938.867188	-32.008846
10981.933594	-32.014732
11025.000000	-32.046978
11068.066406	-32.164501
11111.132812	-32.220112
11154.199219	-32.242298
11197.265625	-32.535152
11240.332031	-32.427975
11283.398438	-32.340782
11326.464844	-32.245922
11369.531250	-32.371017
11412.597656	-32.563492
11455.664062	-32.820629
11498.730469	-32.338326
11541.796875	-32.270157
11584.863281	-32.391361
11627.929688	-32.502033
11670.996094	-32.689968
11714.062500	-32.616772
11757.128906	-32.568230
11800.195312	-32.858093
11843.261719	-32.967594
11886.328125	-32.992832
11929.394531	-33.351307
11972.460938	-33.218239
12015.527344	-33.115402
12058.593750	-32.846184
12101.660156	-32.862999
12144.726562	-33.069836
12187.792969	-33.369118
12230.859375	-33.398445
12273.925781	-33.160629
12316.992188	-33.109947
12360.058594	-32.956135
12403.125000	-32.948185
12446.191406	-33.169033
12489.257812	-33.256866
12532.324219	-33.765316
12575.390625	-33.840824
12618.457031	-33.799641
12661.523438	-33.789562
12704.589844	-33.396389
12747.656250	-33.631668
12790.722656	-33.842037
12833.789062	-33.573662
12876.855469	-33.627041
12919.921875	-33.749714
12962.988281	-33.821499
13006.054688	-33.731026
13049.121094	-34.256695
13092.187500	-34.613285
13135.253906	-34.285381
13178.320312	-34.205276
13221.386719	-34.003429
13264.453125	-34.291233
13307.519531	-34.528290
13350.585938	-34.383247
13393.652344	-34.020821
13436.718750	-33.844475
13479.785156	-34.271046
13522.851562	-34.737629
13565.917969	-34.619152
13608.984375	-34.497837
13652.050781	-34.409557
13695.117188	-34.623951
13738.183594	-34.659164
13781.250000	-34.785526
13824.316406	-34.730793
13867.382812	-34.732635
13910.449219	-34.859360
13953.515625	-34.852913
13996.582031	-34.988117
14039.648438	-34.338276
14082.714844	-34.534958
14125.781250	-34.908024
14168.847656	-34.635674
14211.914062	-34.968590
14254.980469	-34.939438
14298.046875	-34.851898
14341.113281	-35.334522
14384.179688	-35.205063
14427.246094	-35.442131
14470.312500	-35.197739
14513.378906	-35.025745
14556.445312	-35.203903
14599.511719	-35.008602
14642.578125	-35.128632
14685.644531	-35.224777
14728.710938	-35.337685
14771.777344	-35.940292
14814.843750	-36.015182
14857.910156	-35.393372
14900.976562	-35.551060
14944.042969	-35.828136
14987.109375	-36.455383
15030.175781	-36.212959
15073.242188	-36.223919
15116.308594	-35.913342
15159.375000	-35.786732
15202.441406	-35.798450
15245.507812	-36.148079
15288.574219	-35.928310
15331.640625	-35.888828
15374.707031	-35.911877
15417.773438	-35.894634
15460.839844	-36.148460
15503.906250	-36.337330
15546.972656	-36.091896
15590.039062	-36.083969
15633.105469	-36.375233
15676.171875	-36.552139
15719.238281	-36.585278
15762.304688	-36.853516
15805.371094	-36.802406
15848.437500	-36.841518
15891.503906	-36.648525
15934.570312	-36.337521
15977.636719	-36.361889
16020.703125	-36.370426
16063.769531	-36.654305
16106.835938	-37.058178
16149.902344	-36.932518
16192.968750	-37.041882
16236.035156	-36.955742
16279.101562	-36.953640
16322.167969	-36.857159
16365.234375	-36.651268
16408.300781	-36.839867
16451.367188	-37.020699
16494.433594	-36.850037
16537.500000	-37.020126
16580.566406	-37.164299
16623.632812	-37.008869
16666.699219	-36.953693
16709.765625	-37.591221
16752.832031	-37.700577
16795.898438	-37.286266
16838.964844	-37.316353
16882.031250	-37.428432
16925.097656	-37.610149
16968.164062	-37.620510
17011.230469	-37.204948
17054.296875	-37.529873
17097.363281	-37.820869
17140.429688	-37.777729
17183.496094	-38.187283
17226.562500	-37.642616
17269.628906	-37.428658
17312.695312	-37.225243
17355.761719	-37.353233
17398.828125	-37.567451
17441.894531	-37.681343
17484.960938	-37.851177
17528.027344	-38.020283
17571.093750	-37.945484
17614.160156	-37.746727
17657.226562	-37.725056
17700.292969	-38.341110
17743.359375	-38.765663
17786.425781	-38.585365
17829.492188	-37.942188
17872.558594	-38.123432
17915.625000	-38.556904
17958.691406	-38.435020
18001.757812	-38.125092
18044.824219	-38.344463
18087.890625	-38.534370
18130.957031	-38.728344
18174.023438	-38.621780
18217.089844	-38.368599
18260.156250	-38.411079
18303.222656	-38.789730
18346.289062	-38.893345
18389.355469	-39.275196
18432.421875	-39.116848
18475.488281	-38.825928
18518.554688	-39.354774
18561.621094	-39.245876
18604.687500	-39.061386
18647.753906	-39.325134
18690.820312	-39.653557
18733.886719	-39.481480
18776.953125	-39.522202
18820.019531	-39.459564
