frequency_hz,dB,pedal,gain,tone
43.066406,-19.776364,nobels,100%,0%
86.132812,-13.679648999999998,nobels,100%,0%
129.199219,-11.471432,nobels,100%,0%
172.265625,-10.470047999999998,nobels,100%,0%
215.332031,-9.932243999999997,nobels,100%,0%
258.398438,-9.38834,nobels,100%,0%
301.464844,-9.339930999999996,nobels,100%,0%
344.53125,-8.608918,nobels,100%,0%
387.597656,-7.890362999999997,nobels,100%,0%
430.664062,-7.511565000000001,nobels,100%,0%
473.730469,-6.865328999999999,nobels,100%,0%
516.796875,-5.6307100000000005,nobels,100%,0%
559.863281,-5.008919999999996,nobels,100%,0%
602.929688,-4.320481999999998,nobels,100%,0%
645.996094,-3.6257909999999995,nobels,100%,0%
689.0625,-3.0847909999999956,nobels,100%,0%
732.128906,-2.667157999999997,nobels,100%,0%
775.195312,-2.747481999999998,nobels,100%,0%
818.261719,-2.3943999999999974,nobels,100%,0%
861.328125,-2.367248,nobels,100%,0%
904.394531,-2.8813489999999966,nobels,100%,0%
947.460938,-2.8374829999999953,nobels,100%,0%
990.527344,-3.296649000000002,nobels,100%,0%
1033.59375,-3.2996119999999998,nobels,100%,0%
1076.660156,-3.422436999999995,nobels,100%,0%
1119.726562,-3.845772,nobels,100%,0%
1162.792969,-4.132384999999999,nobels,100%,0%
1205.859375,-4.130049999999997,nobels,100%,0%
1248.925781,-4.344643999999999,nobels,100%,0%
1291.992188,-4.274345999999998,nobels,100%,0%
1335.058594,-4.842908000000005,nobels,100%,0%
1378.125,-5.512544000000002,nobels,100%,0%
1421.191406,-5.251493,nobels,100%,0%
1464.257812,-5.286263999999999,nobels,100%,0%
1507.324219,-5.567330999999999,nobels,100%,0%
1550.390625,-5.486203,nobels,100%,0%
1593.457031,-5.1701859999999975,nobels,100%,0%
1636.523438,-5.815868999999996,nobels,100%,0%
1679.589844,-6.184876999999997,nobels,100%,0%
1722.65625,-6.223879,nobels,100%,0%
1765.722656,-6.469624999999997,nobels,100%,0%
1808.789062,-6.205499,nobels,100%,0%
1851.855469,-6.5843099999999986,nobels,100%,0%
1894.921875,-6.490624999999998,nobels,100%,0%
1937.988281,-6.811803000000001,nobels,100%,0%
1981.054688,-7.445294999999998,nobels,100%,0%
2024.121094,-7.437082,nobels,100%,0%
2067.1875,-7.583971000000002,nobels,100%,0%
2110.253906,-7.822400999999996,nobels,100%,0%
2153.320312,-7.807669000000001,nobels,100%,0%
2196.386719,-8.214643000000006,nobels,100%,0%
2239.453125,-8.650057,nobels,100%,0%
2282.519531,-8.790059000000003,nobels,100%,0%
2325.585938,-9.063028,nobels,100%,0%
2368.652344,-9.007832999999994,nobels,100%,0%
2411.71875,-8.883942999999999,nobels,100%,0%
2454.785156,-8.934133,nobels,100%,0%
2497.851562,-9.323427000000006,nobels,100%,0%
2540.917969,-10.364826999999995,nobels,100%,0%
2583.984375,-10.347887000000004,nobels,100%,0%
2627.050781,-9.778634,nobels,100%,0%
2670.117188,-10.311353,nobels,100%,0%
2713.183594,-10.724594999999997,nobels,100%,0%
2756.25,-11.462736000000003,nobels,100%,0%
2799.316406,-10.951257000000002,nobels,100%,0%
2842.382812,-11.166517000000002,nobels,100%,0%
2885.449219,-11.757143000000003,nobels,100%,0%
2928.515625,-11.928715999999998,nobels,100%,0%
2971.582031,-11.993696000000003,nobels,100%,0%
3014.648438,-12.277460000000001,nobels,100%,0%
3057.714844,-12.159658000000004,nobels,100%,0%
3100.78125,-12.410531000000002,nobels,100%,0%
3143.847656,-13.052797000000002,nobels,100%,0%
3186.914062,-13.015984999999997,nobels,100%,0%
3229.980469,-12.783617000000003,nobels,100%,0%
3273.046875,-13.463800000000003,nobels,100%,0%
3316.113281,-13.970051999999999,nobels,100%,0%
3359.179688,-13.244694999999997,nobels,100%,0%
3402.246094,-13.999723,nobels,100%,0%
3445.3125,-14.321125999999996,nobels,100%,0%
3488.378906,-14.381463,nobels,100%,0%
3531.445312,-14.652852999999997,nobels,100%,0%
3574.511719,-14.999509,nobels,100%,0%
3617.578125,-14.962274000000004,nobels,100%,0%
3660.644531,-14.992704,nobels,100%,0%
3703.710938,-15.340684999999997,nobels,100%,0%
3746.777344,-15.662389000000001,nobels,100%,0%
3789.84375,-16.168058,nobels,100%,0%
3832.910156,-16.201761,nobels,100%,0%
3875.976562,-16.475038,nobels,100%,0%
3919.042969,-16.297811,nobels,100%,0%
3962.109375,-16.152245999999995,nobels,100%,0%
4005.175781,-16.857446,nobels,100%,0%
4048.242188,-16.934869000000003,nobels,100%,0%
4091.308594,-17.452294999999996,nobels,100%,0%
4134.375,-17.705701,nobels,100%,0%
4177.441406,-17.373029,nobels,100%,0%
4220.507812,-17.411943000000004,nobels,100%,0%
4263.574219,-17.629609999999996,nobels,100%,0%
4306.640625,-18.094579,nobels,100%,0%
4349.707031,-18.162640999999997,nobels,100%,0%
4392.773438,-18.68057,nobels,100%,0%
4435.839844,-19.350568999999997,nobels,100%,0%
4478.90625,-19.271447,nobels,100%,0%
4521.972656,-19.034966999999998,nobels,100%,0%
4565.039062,-19.395544000000005,nobels,100%,0%
4608.105469,-19.269986,nobels,100%,0%
4651.171875,-19.372807999999996,nobels,100%,0%
4694.238281,-19.740723999999997,nobels,100%,0%
4737.304688,-19.638826000000005,nobels,100%,0%
4780.371094,-19.895212000000004,nobels,100%,0%
4823.4375,-20.982473000000002,nobels,100%,0%
4866.503906,-21.173745999999998,nobels,100%,0%
4909.570312,-20.945419999999995,nobels,100%,0%
4952.636719,-20.797628,nobels,100%,0%
4995.703125,-21.131086,nobels,100%,0%
5038.769531,-21.436651,nobels,100%,0%
5081.835938,-21.761232000000003,nobels,100%,0%
5124.902344,-21.918584,nobels,100%,0%
5167.96875,-22.210164000000002,nobels,100%,0%
5211.035156,-22.560174,nobels,100%,0%
5254.101562,-22.525457,nobels,100%,0%
5297.167969,-22.805685,nobels,100%,0%
5340.234375,-22.940786,nobels,100%,0%
5383.300781,-23.072129,nobels,100%,0%
5426.367188,-23.350770999999998,nobels,100%,0%
5469.433594,-23.059193999999994,nobels,100%,0%
5512.5,-22.893717,nobels,100%,0%
5555.566406,-23.245225,nobels,100%,0%
5598.632812,-23.417329999999996,nobels,100%,0%
5641.699219,-23.661225999999996,nobels,100%,0%
5684.765625,-23.737188,nobels,100%,0%
5727.832031,-24.012917999999996,nobels,100%,0%
5770.898438,-24.182531,nobels,100%,0%
5813.964844,-24.645402999999998,nobels,100%,0%
5857.03125,-24.925451,nobels,100%,0%
5900.097656,-24.833688999999996,nobels,100%,0%
5943.164062,-25.18453,nobels,100%,0%
5986.230469,-25.225412000000002,nobels,100%,0%
6029.296875,-25.427167999999998,nobels,100%,0%
6072.363281,-25.418778999999997,nobels,100%,0%
6115.429688,-25.686922,nobels,100%,0%
6158.496094,-25.436960000000003,nobels,100%,0%
6201.5625,-25.575998000000002,nobels,100%,0%
6244.628906,-25.490183,nobels,100%,0%
6287.695312,-25.823141000000003,nobels,100%,0%
6330.761719,-25.941743999999996,nobels,100%,0%
6373.828125,-26.031221,nobels,100%,0%
6416.894531,-26.395253999999998,nobels,100%,0%
6459.960938,-26.253446,nobels,100%,0%
6503.027344,-26.437231,nobels,100%,0%
6546.09375,-26.338262000000004,nobels,100%,0%
6589.160156,-26.859970999999998,nobels,100%,0%
6632.226562,-27.089811,nobels,100%,0%
6675.292969,-26.817208999999995,nobels,100%,0%
6718.359375,-27.007280000000005,nobels,100%,0%
6761.425781,-26.886994999999995,nobels,100%,0%
6804.492188,-27.04955,nobels,100%,0%
6847.558594,-27.420221,nobels,100%,0%
6890.625,-27.905014999999995,nobels,100%,0%
6933.691406,-28.269727,nobels,100%,0%
6976.757812,-28.305204,nobels,100%,0%
7019.824219,-27.807275999999998,nobels,100%,0%
7062.890625,-27.591626,nobels,100%,0%
7105.957031,-27.798714999999998,nobels,100%,0%
7149.023438,-27.618222999999997,nobels,100%,0%
7192.089844,-28.331682000000004,nobels,100%,0%
7235.15625,-28.512857,nobels,100%,0%
7278.222656,-28.882109000000003,nobels,100%,0%
7321.289062,-28.796795999999997,nobels,100%,0%
7364.355469,-29.050248000000007,nobels,100%,0%
7407.421875,-29.274098999999996,nobels,100%,0%
7450.488281,-29.389429000000003,nobels,100%,0%
7493.554688,-29.166058999999994,nobels,100%,0%
7536.621094,-28.772253000000003,nobels,100%,0%
7579.6875,-28.947813,nobels,100%,0%
7622.753906,-29.468156000000004,nobels,100%,0%
7665.820312,-29.512768999999995,nobels,100%,0%
7708.886719,-29.43836399999999,nobels,100%,0%
7751.953125,-29.948145000000007,nobels,100%,0%
7795.019531,-29.730905999999994,nobels,100%,0%
7838.085938,-29.843038000000004,nobels,100%,0%
7881.152344,-30.076048000000004,nobels,100%,0%
7924.21875,-30.119724999999992,nobels,100%,0%
7967.285156,-30.155385999999996,nobels,100%,0%
8010.351562,-30.32879,nobels,100%,0%
8053.417969,-30.192810999999995,nobels,100%,0%
8096.484375,-30.044068999999997,nobels,100%,0%
8139.550781,-30.182492,nobels,100%,0%
8182.617188,-30.325204000000003,nobels,100%,0%
8225.683594,-30.084009000000005,nobels,100%,0%
8268.75,-30.248226999999996,nobels,100%,0%
8311.816406,-30.248819000000008,nobels,100%,0%
8354.882812,-30.639027999999993,nobels,100%,0%
8397.949219,-31.041253,nobels,100%,0%
8441.015625,-30.903699999999997,nobels,100%,0%
8484.082031,-30.959119999999995,nobels,100%,0%
8527.148438,-30.959191999999998,nobels,100%,0%
8570.214844,-31.399114,nobels,100%,0%
8613.28125,-31.535027999999993,nobels,100%,0%
8656.347656,-31.298089,nobels,100%,0%
8699.414062,-31.462037999999996,nobels,100%,0%
8742.480469,-31.169686999999993,nobels,100%,0%
8785.546875,-31.59256199999999,nobels,100%,0%
8828.613281,-31.707414000000004,nobels,100%,0%
8871.679688,-31.744241,nobels,100%,0%
8914.746094,-31.628801,nobels,100%,0%
8957.8125,-31.842541999999998,nobels,100%,0%
9000.878906,-32.112588,nobels,100%,0%
9043.945312,-31.520401999999994,nobels,100%,0%
9087.011719,-31.85428,nobels,100%,0%
9130.078125,-32.024041999999994,nobels,100%,0%
9173.144531,-32.343256,nobels,100%,0%
9216.210938,-32.204313,nobels,100%,0%
9259.277344,-32.257895000000005,nobels,100%,0%
9302.34375,-32.56219200000001,nobels,100%,0%
9345.410156,-32.02207,nobels,100%,0%
9388.476562,-32.17286399999999,nobels,100%,0%
9431.542969,-32.54476,nobels,100%,0%
9474.609375,-32.82623100000001,nobels,100%,0%
9517.675781,-32.760178999999994,nobels,100%,0%
9560.742188,-32.379503,nobels,100%,0%
9603.808594,-32.158334999999994,nobels,100%,0%
9646.875,-32.240556,nobels,100%,0%
9689.941406,-32.698376999999994,nobels,100%,0%
9733.007812,-32.410482,nobels,100%,0%
9776.074219,-32.192144,nobels,100%,0%
9819.140625,-32.426866000000004,nobels,100%,0%
9862.207031,-32.59134499999999,nobels,100%,0%
9905.273438,-32.428674,nobels,100%,0%
9948.339844,-32.140981,nobels,100%,0%
9991.40625,-32.154996999999995,nobels,100%,0%
10034.472656,-32.55959899999999,nobels,100%,0%
10077.539062,-32.871763,nobels,100%,0%
10120.605469,-33.208085999999994,nobels,100%,0%
10163.671875,-33.115865,nobels,100%,0%
10206.738281,-32.516110999999995,nobels,100%,0%
10249.804688,-33.421899999999994,nobels,100%,0%
10292.871094,-33.48074100000001,nobels,100%,0%
10335.9375,-32.90630900000001,nobels,100%,0%
10379.003906,-32.673456,nobels,100%,0%
10422.070312,-32.94204099999999,nobels,100%,0%
10465.136719,-33.16793899999999,nobels,100%,0%
10508.203125,-33.330788999999996,nobels,100%,0%
10551.269531,-33.18284,nobels,100%,0%
10594.335938,-33.001394000000005,nobels,100%,0%
10637.402344,-33.27923,nobels,100%,0%
10680.46875,-33.375280000000004,nobels,100%,0%
10723.535156,-33.935227999999995,nobels,100%,0%
10766.601562,-33.830706000000006,nobels,100%,0%
10809.667969,-33.789247,nobels,100%,0%
10852.734375,-33.525175000000004,nobels,100%,0%
10895.800781,-33.468817,nobels,100%,0%
10938.867188,-33.943933,nobels,100%,0%
10981.933594,-33.842859000000004,nobels,100%,0%
11025,-33.672956,nobels,100%,0%
11068.066406,-33.46422399999999,nobels,100%,0%
11111.132812,-33.661432000000005,nobels,100%,0%
11154.199219,-33.71523099999999,nobels,100%,0%
11197.265625,-33.77693699999999,nobels,100%,0%
11240.332031,-33.93332799999999,nobels,100%,0%
11283.398438,-34.470856999999995,nobels,100%,0%
11326.464844,-34.422269,nobels,100%,0%
11369.53125,-33.932473,nobels,100%,0%
11412.597656,-34.053838999999996,nobels,100%,0%
11455.664062,-34.149641,nobels,100%,0%
11498.730469,-34.178674,nobels,100%,0%
11541.796875,-34.324799999999996,nobels,100%,0%
11584.863281,-34.32043999999999,nobels,100%,0%
11627.929688,-34.39886200000001,nobels,100%,0%
11670.996094,-34.143472,nobels,100%,0%
11714.0625,-34.574124999999995,nobels,100%,0%
11757.128906,-34.70339799999999,nobels,100%,0%
