Frequency (Hz)	Level (dB)
43.066406	-17.992928
86.132812	-22.899906
129.199219	-24.919683
172.265625	-26.101820
215.332031	-27.030190
258.398438	-27.824106
301.464844	-28.420933
344.531250	-29.106272
387.597656	-29.735050
430.664062	-30.343880
473.730469	-30.804167
516.796875	-31.369011
559.863281	-31.530754
602.929688	-31.362589
645.996094	-31.746370
689.062500	-32.397007
732.128906	-32.520538
775.195312	-32.741531
818.261719	-32.900066
861.328125	-33.254936
904.394531	-33.714649
947.460938	-34.011971
990.527344	-33.820454
1033.593750	-34.047443
1076.660156	-34.221020
1119.726562	-34.409042
1162.792969	-34.623367
1205.859375	-34.572819
1248.925781	-34.708138
1291.992188	-35.109879
1335.058594	-35.207840
1378.125000	-34.874928
1421.191406	-35.428272
1464.257812	-35.781345
1507.324219	-35.649155
1550.390625	-35.692059
1593.457031	-35.996777
1636.523438	-36.169724
1679.589844	-36.078060
1722.656250	-35.970970
1765.722656	-36.218296
1808.789062	-36.497189
1851.855469	-36.443108
1894.921875	-36.908279
1937.988281	-36.932209
1981.054688	-36.994465
2024.121094	-37.213623
2067.187500	-37.160942
2110.253906	-37.305267
2153.320312	-37.105518
2196.386719	-37.226288
2239.453125	-37.298992
2282.519531	-37.199509
2325.585938	-37.230629
2368.652344	-37.498550
2411.718750	-37.773743
2454.785156	-38.165146
2497.851562	-38.016693
2540.917969	-37.894356
2583.984375	-37.984325
2627.050781	-38.125748
2670.117188	-38.178692
2713.183594	-38.110886
2756.250000	-38.185581
2799.316406	-38.224663
2842.382812	-38.320698
2885.449219	-38.333118
2928.515625	-38.376602
2971.582031	-38.692806
3014.648438	-38.881153
3057.714844	-38.771767
3100.781250	-38.740128
3143.847656	-38.692608
3186.914062	-38.593559
3229.980469	-38.781963
3273.046875	-39.091915
3316.113281	-38.903080
3359.179688	-39.031559
3402.246094	-39.022087
3445.312500	-39.102276
3488.378906	-39.362656
3531.445312	-39.227184
3574.511719	-39.359524
3617.578125	-39.753361
3660.644531	-39.445724
3703.710938	-39.415798
3746.777344	-39.706402
3789.843750	-39.801830
3832.910156	-39.680073
3875.976562	-39.469074
3919.042969	-39.833420
3962.109375	-40.039757
4005.175781	-39.867020
4048.242188	-39.939774
4091.308594	-39.926811
4134.375000	-39.794003
4177.441406	-39.767021
4220.507812	-39.969246
4263.574219	-40.236145
4306.640625	-40.286007
4349.707031	-40.204800
4392.773438	-40.295971
4435.839844	-40.411369
4478.906250	-40.366196
4521.972656	-40.568153
4565.039062	-40.492580
4608.105469	-40.536320
4651.171875	-40.767136
4694.238281	-40.701973
4737.304688	-40.556107
4780.371094	-40.498737
4823.437500	-40.622974
4866.503906	-40.857391
4909.570312	-40.805199
4952.636719	-40.729977
4995.703125	-40.948334
5038.769531	-41.188671
5081.835938	-40.891994
5124.902344	-40.985245
5167.968750	-40.882458
5211.035156	-40.887547
5254.101562	-41.097004
5297.167969	-41.291679
5340.234375	-41.018009
5383.300781	-41.131577
5426.367188	-41.379734
5469.433594	-41.429253
5512.500000	-41.586666
5555.566406	-41.293282
5598.632812	-41.230125
5641.699219	-41.231369
5684.765625	-41.318531
5727.832031	-41.557434
5770.898438	-41.696331
5813.964844	-41.660938
5857.031250	-41.616707
5900.097656	-41.699455
5943.164062	-41.482712
5986.230469	-41.643482
6029.296875	-41.584892
6072.363281	-41.576717
6115.429688	-41.450027
6158.496094	-41.574577
6201.562500	-41.797970
6244.628906	-41.939594
6287.695312	-41.912468
6330.761719	-41.928947
6373.828125	-41.778934
6416.894531	-41.711742
6459.960938	-41.618015
6503.027344	-41.779785
6546.093750	-42.174721
6589.160156	-42.281895
6632.226562	-42.481930
6675.292969	-42.379955
6718.359375	-42.286449
6761.425781	-42.475323
6804.492188	-42.288483
6847.558594	-41.862465
6890.625000	-42.052826
6933.691406	-42.071644
6976.757812	-42.004036
7019.824219	-42.300781
7062.890625	-42.623402
7105.957031	-42.737484
7149.023438	-42.814354
7192.089844	-42.518055
7235.156250	-42.403755
7278.222656	-42.384998
7321.289062	-42.679806
7364.355469	-42.422501
7407.421875	-42.535412
7450.488281	-42.488365
7493.554688	-42.772404
7536.621094	-43.058651
7579.687500	-42.861225
7622.753906	-42.828728
7665.820312	-42.990238
7708.886719	-42.839775
7751.953125	-42.711349
7795.019531	-42.717216
7838.085938	-42.690708
7881.152344	-42.730236
7924.218750	-42.727589
7967.285156	-42.993557
8010.351562	-42.991936
8053.417969	-42.934395
8096.484375	-42.951271
8139.550781	-42.869099
8182.617188	-42.829506
8225.683594	-42.862404
8268.750000	-42.986485
8311.816406	-42.949203
8354.882812	-43.090710
8397.949219	-43.163773
8441.015625	-43.470844
8484.082031	-43.403278
8527.148438	-43.381142
8570.214844	-43.289471
8613.281250	-43.134445
8656.347656	-43.089783
8699.414062	-43.238060
8742.480469	-43.591858
8785.546875	-43.119621
8828.613281	-43.083611
8871.679688	-43.385216
8914.746094	-43.459442
8957.812500	-43.522602
9000.878906	-43.469704
9043.945312	-43.460152
9087.011719	-43.304878
9130.078125	-43.411194
9173.144531	-43.555084
9216.210938	-43.514515
9259.277344	-43.515636
9302.343750	-43.598507
9345.410156	-43.653324
9388.476562	-43.721577
9431.542969	-43.650890
9474.609375	-43.481083
9517.675781	-43.563461
9560.742188	-43.674644
9603.808594	-43.617439
9646.875000	-43.944176
9689.941406	-44.074223
9733.007812	-44.036900
9776.074219	-43.977177
9819.140625	-43.905388
9862.207031	-43.848705
9905.273438	-43.938683
9948.339844	-43.899082
9991.406250	-44.122829
10034.472656	-43.952503
10077.539062	-43.691372
10120.605469	-43.758369
10163.671875	-43.887608
10206.738281	-44.224094
10249.804688	-44.298454
10292.871094	-43.876881
10335.937500	-43.802959
10379.003906	-44.044502
10422.070312	-43.984940
10465.136719	-43.841782
10508.203125	-43.873581
10551.269531	-44.067474
10594.335938	-44.204449
10637.402344	-44.229477
10680.468750	-44.297832
10723.535156	-44.073631
10766.601562	-44.314407
10809.667969	-44.212799
10852.734375	-43.971508
10895.800781	-44.167316
10938.867188	-44.178421
10981.933594	-44.173584
11025.000000	-44.312489
11068.066406	-44.270687
11111.132812	-44.251480
11154.199219	-44.366970
11197.265625	-44.479885
11240.332031	-44.475479
11283.398438	-44.234322
11326.464844	-44.118763
11369.531250	-44.255997
11412.597656	-44.501247
11455.664062	-44.426754
11498.730469	-44.340096
11541.796875	-44.327301
11584.863281	-44.608776
11627.929688	-44.425854
11670.996094	-44.616898
11714.062500	-44.402424
11757.128906	-44.290134
11800.195312	-44.531162
11843.261719	-44.674294
11886.328125	-44.393467
11929.394531	-44.538742
11972.460938	-44.535244
12015.527344	-44.481678
12058.593750	-44.508930
12101.660156	-44.352413
12144.726562	-44.461243
12187.792969	-44.757092
12230.859375	-44.803593
12273.925781	-44.701492
12316.992188	-44.989838
12360.058594	-44.890320
12403.125000	-44.778500
12446.191406	-44.769733
12489.257812	-44.922886
12532.324219	-44.961884
12575.390625	-44.855164
12618.457031	-44.966991
12661.523438	-44.954288
12704.589844	-44.625130
12747.656250	-44.694149
12790.722656	-44.866970
12833.789062	-45.075771
12876.855469	-44.999508
12919.921875	-44.792027
12962.988281	-44.935276
13006.054688	-45.076820
13049.121094	-45.085022
13092.187500	-45.188633
13135.253906	-45.042892
13178.320312	-45.156097
13221.386719	-44.888538
13264.453125	-45.148834
13307.519531	-45.160107
13350.585938	-45.150585
13393.652344	-45.219933
13436.718750	-45.278778
13479.785156	-45.447334
13522.851562	-45.316078
13565.917969	-45.168274
13608.984375	-45.370781
13652.050781	-45.173641
13695.117188	-45.465858
13738.183594	-45.349514
13781.250000	-45.098244
13824.316406	-44.970692
13867.382812	-45.081066
13910.449219	-45.395706
13953.515625	-45.303288
13996.582031	-45.447868
14039.648438	-45.296772
14082.714844	-45.358467
14125.781250	-45.322079
14168.847656	-45.466167
14211.914062	-45.648254
14254.980469	-45.528000
14298.046875	-45.158302
14341.113281	-45.118984
14384.179688	-45.367199
14427.246094	-45.610756
14470.312500	-45.367565
14513.378906	-45.481697
14556.445312	-45.486908
14599.511719	-45.494972
14642.578125	-45.382622
14685.644531	-45.791325
14728.710938	-45.777645
14771.777344	-45.600380
14814.843750	-45.652809
