frequency_hz,dB,pedal,gain,tone
43.066406,-21.273054000000002,nobels,100%,50%
86.132812,-10.063106999999999,nobels,100%,50%
129.199219,-5.180990999999999,nobels,100%,50%
172.265625,-4.968499999999999,nobels,100%,50%
215.332031,-5.100626999999999,nobels,100%,50%
258.398438,-4.291644999999999,nobels,100%,50%
301.464844,-3.676251999999998,nobels,100%,50%
344.53125,-3.4811629999999987,nobels,100%,50%
387.597656,-3.028375999999998,nobels,100%,50%
430.664062,-2.332203,nobels,100%,50%
473.730469,-2.1764730000000014,nobels,100%,50%
516.796875,-1.581115999999998,nobels,100%,50%
559.863281,-1.3388839999999966,nobels,100%,50%
602.929688,-1.104488,nobels,100%,50%
645.996094,-1.0129699999999993,nobels,100%,50%
689.0625,-0.8061749999999961,nobels,100%,50%
732.128906,-0.7206459999999986,nobels,100%,50%
775.195312,-0.8596229999999991,nobels,100%,50%
818.261719,-0.5875379999999986,nobels,100%,50%
861.328125,-0.7495599999999989,nobels,100%,50%
904.394531,-0.45108599999999655,nobels,100%,50%
947.460938,-0.2957069999999966,nobels,100%,50%
990.527344,-0.46337899999999976,nobels,100%,50%
1033.59375,-0.5318889999999996,nobels,100%,50%
1076.660156,-0.4192009999999975,nobels,100%,50%
1119.726562,-0.16101300000000052,nobels,100%,50%
1162.792969,-0.17633699999999664,nobels,100%,50%
1205.859375,-0.6597189999999955,nobels,100%,50%
1248.925781,-0.6513080000000002,nobels,100%,50%
1291.992188,0,nobels,100%,50%
1335.058594,-0.07271000000000072,nobels,100%,50%
1378.125,-0.4112370000000034,nobels,100%,50%
1421.191406,-0.3506210000000003,nobels,100%,50%
1464.257812,-0.4275759999999984,nobels,100%,50%
1507.324219,-0.2181829999999998,nobels,100%,50%
1550.390625,-0.19097099999999756,nobels,100%,50%
1593.457031,-0.6710349999999963,nobels,100%,50%
1636.523438,-0.7078829999999954,nobels,100%,50%
1679.589844,-0.5245019999999982,nobels,100%,50%
1722.65625,-0.3389149999999965,nobels,100%,50%
1765.722656,-0.07763099999999667,nobels,100%,50%
1808.789062,-0.44299700000000186,nobels,100%,50%
1851.855469,-0.522282999999998,nobels,100%,50%
1894.921875,-0.5063289999999974,nobels,100%,50%
1937.988281,-0.6021439999999991,nobels,100%,50%
1981.054688,-0.7918990000000008,nobels,100%,50%
2024.121094,-0.13073500000000138,nobels,100%,50%
2067.1875,-0.1476779999999991,nobels,100%,50%
2110.253906,-0.1767959999999995,nobels,100%,50%
2153.320312,-0.7610270000000021,nobels,100%,50%
2196.386719,-0.7846280000000014,nobels,100%,50%
2239.453125,-0.7043730000000004,nobels,100%,50%
2282.519531,-0.519442999999999,nobels,100%,50%
2325.585938,-0.4784259999999989,nobels,100%,50%
2368.652344,-0.37918699999999816,nobels,100%,50%
2411.71875,-0.3949679999999951,nobels,100%,50%
2454.785156,-0.36549600000000027,nobels,100%,50%
2497.851562,-0.479963000000005,nobels,100%,50%
2540.917969,-0.5807590000000005,nobels,100%,50%
2583.984375,-0.5662220000000033,nobels,100%,50%
