Frequency (Hz)	Level (dB)
43.066406	-31.089399
86.132812	-27.747133
129.199219	-26.321363
172.265625	-25.829136
215.332031	-25.605240
258.398438	-25.804577
301.464844	-25.757998
344.531250	-26.034334
387.597656	-26.304543
430.664062	-26.546289
473.730469	-26.706270
516.796875	-26.851509
559.863281	-26.894547
602.929688	-26.328804
645.996094	-26.450235
689.062500	-26.703094
732.128906	-26.686741
775.195312	-27.164570
818.261719	-27.270332
861.328125	-27.571848
904.394531	-28.017365
947.460938	-28.258612
990.527344	-28.160414
1033.593750	-28.363731
1076.660156	-28.556553
1119.726562	-28.898865
1162.792969	-29.403515
1205.859375	-29.021332
1248.925781	-29.046722
1291.992188	-29.391022
1335.058594	-29.843195
1378.125000	-29.339827
1421.191406	-30.221420
1464.257812	-30.737047
1507.324219	-30.511887
1550.390625	-30.550545
1593.457031	-30.712767
1636.523438	-30.975418
1679.589844	-30.998720
1722.656250	-30.799057
1765.722656	-31.209064
1808.789062	-31.457239
1851.855469	-31.538269
1894.921875	-32.363441
1937.988281	-32.452026
1981.054688	-32.551510
2024.121094	-32.775528
2067.187500	-32.587929
2110.253906	-32.960518
2153.320312	-33.012672
2196.386719	-33.110588
2239.453125	-33.110989
2282.519531	-33.310963
2325.585938	-33.613010
2368.652344	-33.817951
2411.718750	-34.021778
2454.785156	-34.114674
2497.851562	-34.531143
2540.917969	-34.846821
2583.984375	-34.940769
2627.050781	-35.175686
2670.117188	-35.398613
2713.183594	-35.220257
2756.250000	-35.695782
2799.316406	-35.595451
2842.382812	-35.912167
2885.449219	-36.075054
2928.515625	-36.209602
2971.582031	-36.308132
3014.648438	-36.626614
3057.714844	-36.809750
3100.781250	-37.025356
3143.847656	-37.059650
3186.914062	-37.008221
3229.980469	-36.923550
3273.046875	-37.511471
3316.113281	-37.765095
3359.179688	-37.815575
3402.246094	-37.964653
3445.312500	-38.323997
3488.378906	-38.984940
3531.445312	-39.191429
3574.511719	-39.027157
3617.578125	-39.474316
3660.644531	-39.241165
3703.710938	-39.290905
3746.777344	-39.704109
3789.843750	-40.433372
3832.910156	-40.196499
3875.976562	-39.873569
3919.042969	-40.161934
3962.109375	-40.261360
4005.175781	-40.413357
4048.242188	-40.408276
4091.308594	-40.720825
4134.375000	-41.011417
4177.441406	-41.272686
4220.507812	-41.605705
4263.574219	-41.357384
4306.640625	-41.897457
4349.707031	-42.183327
4392.773438	-42.258133
4435.839844	-42.761681
4478.906250	-42.866116
4521.972656	-42.923870
4565.039062	-43.149242
4608.105469	-43.244617
4651.171875	-43.194839
4694.238281	-43.422703
4737.304688	-43.908325
4780.371094	-43.714722
4823.437500	-43.924931
4866.503906	-44.493706
4909.570312	-44.463715
4952.636719	-44.228901
4995.703125	-44.692944
5038.769531	-45.231937
5081.835938	-45.198597
5124.902344	-45.733955
5167.968750	-45.709972
5211.035156	-45.745941
5254.101562	-45.886436
5297.167969	-46.269100
5340.234375	-46.045696
5383.300781	-46.159336
5426.367188	-46.627266
5469.433594	-46.707130
5512.500000	-47.043270
5555.566406	-47.218430
5598.632812	-47.405941
5641.699219	-47.232197
5684.765625	-47.863960
5727.832031	-47.880558
5770.898438	-48.226608
5813.964844	-48.589951
5857.031250	-48.596478
5900.097656	-48.606991
5943.164062	-48.420715
5986.230469	-48.642857
6029.296875	-48.760815
6072.363281	-48.981964
6115.429688	-49.210884
6158.496094	-49.440842
6201.562500	-49.845764
6244.628906	-50.121323
6287.695312	-49.874653
6330.761719	-50.179321
6373.828125	-50.394974
6416.894531	-50.553459
6459.960938	-50.693993
6503.027344	-50.560249
