Frequency (Hz)	Level (dB)
43.066406	-25.231997
86.132812	-24.951412
129.199219	-25.053265
172.265625	-24.154608
215.332031	-23.925739
258.398438	-23.681246
301.464844	-23.834673
344.531250	-24.125282
387.597656	-24.076096
430.664062	-24.310877
473.730469	-24.548107
516.796875	-24.776419
559.863281	-24.914528
602.929688	-24.538986
645.996094	-24.845497
689.062500	-25.314537
732.128906	-25.238758
775.195312	-25.407106
818.261719	-25.434359
861.328125	-25.439581
904.394531	-26.443594
947.460938	-27.181316
990.527344	-26.666578
1033.593750	-26.856628
1076.660156	-27.237995
1119.726562	-27.586838
1162.792969	-27.804745
1205.859375	-27.573666
1248.925781	-27.632162
1291.992188	-28.116360
1335.058594	-28.695602
1378.125000	-28.603270
1421.191406	-29.287268
1464.257812	-29.651464
1507.324219	-29.553055
1550.390625	-29.619631
1593.457031	-30.088545
1636.523438	-30.268484
1679.589844	-30.012568
1722.656250	-30.383644
1765.722656	-30.940121
1808.789062	-30.982817
1851.855469	-30.659857
1894.921875	-31.134949
1937.988281	-31.294052
1981.054688	-31.914766
2024.121094	-32.583122
2067.187500	-32.513432
2110.253906	-32.730679
2153.320312	-32.462917
2196.386719	-32.694530
2239.453125	-32.835079
2282.519531	-33.243679
2325.585938	-33.276081
2368.652344	-33.413586
2411.718750	-33.575172
2454.785156	-34.092041
2497.851562	-34.232117
2540.917969	-34.574516
2583.984375	-34.421234
2627.050781	-34.278271
2670.117188	-34.675434
2713.183594	-34.901951
2756.250000	-35.062019
2799.316406	-34.980949
2842.382812	-35.234802
2885.449219	-35.574844
2928.515625	-35.761223
2971.582031	-36.063934
3014.648438	-36.276546
3057.714844	-36.259609
3100.781250	-36.467937
3143.847656	-36.800484
3186.914062	-36.382774
3229.980469	-36.677292
3273.046875	-37.602036
3316.113281	-37.317596
3359.179688	-36.984993
3402.246094	-37.183529
3445.312500	-37.432289
3488.378906	-38.054668
3531.445312	-37.835812
3574.511719	-38.097439
3617.578125	-38.737240
3660.644531	-38.190563
3703.710938	-38.688881
3746.777344	-38.896599
3789.843750	-39.239166
3832.910156	-39.041512
3875.976562	-38.912659
3919.042969	-39.153389
3962.109375	-39.077316
4005.175781	-39.200424
4048.242188	-39.183632
4091.308594	-39.587948
4134.375000	-39.696190
4177.441406	-39.310535
4220.507812	-39.629787
4263.574219	-40.136360
4306.640625	-40.228264
4349.707031	-40.209354
4392.773438	-40.315235
4435.839844	-40.802128
4478.906250	-40.969402
4521.972656	-40.881462
4565.039062	-40.776081
4608.105469	-40.850113
4651.171875	-41.052284
4694.238281	-40.801735
4737.304688	-40.825653
4780.371094	-41.045303
4823.437500	-41.750210
4866.503906	-42.269855
4909.570312	-41.927116
4952.636719	-41.261833
4995.703125	-41.862228
5038.769531	-42.307266
5081.835938	-42.185757
5124.902344	-42.178059
5167.968750	-42.399734
5211.035156	-42.569611
5254.101562	-42.735561
5297.167969	-43.115032
5340.234375	-42.723831
5383.300781	-42.637611
5426.367188	-43.011734
5469.433594	-43.104912
5512.500000	-42.915611
5555.566406	-42.979366
5598.632812	-43.015781
5641.699219	-43.072720
5684.765625	-43.423996
5727.832031	-43.564507
5770.898438	-43.521366
5813.964844	-43.956142
5857.031250	-44.228867
5900.097656	-44.387272
5943.164062	-44.045738
5986.230469	-44.020508
6029.296875	-44.186089
6072.363281	-44.292854
6115.429688	-43.998554
6158.496094	-44.130138
6201.562500	-44.532360
6244.628906	-44.498295
6287.695312	-44.601212
6330.761719	-44.991451
6373.828125	-44.644848
6416.894531	-44.603542
6459.960938	-44.659832
6503.027344	-44.996006
6546.093750	-45.341465
6589.160156	-45.248554
6632.226562	-45.392719
6675.292969	-45.356396
6718.359375	-45.418419
6761.425781	-45.472721
6804.492188	-45.377907
6847.558594	-45.244202
6890.625000	-45.828705
6933.691406	-45.683342
6976.757812	-46.107044
7019.824219	-46.133801
7062.890625	-46.372635
7105.957031	-46.193302
7149.023438	-46.166584
7192.089844	-46.395359
7235.156250	-46.155418
7278.222656	-46.397007
7321.289062	-46.996239
7364.355469	-46.820244
7407.421875	-46.537006
7450.488281	-46.527245
7493.554688	-47.133976
7536.621094	-47.204044
7579.687500	-46.732185
7622.753906	-47.036293
7665.820312	-47.031590
7708.886719	-47.176018
7751.953125	-47.373119
7795.019531	-47.365868
7838.085938	-47.425808
7881.152344	-47.127518
7924.218750	-47.148895
7967.285156	-47.454624
8010.351562	-47.336849
8053.417969	-47.320801
8096.484375	-47.532810
8139.550781	-47.478825
8182.617188	-47.427132
8225.683594	-47.545143
8268.750000	-47.716015
8311.816406	-47.664497
8354.882812	-48.065216
8397.949219	-48.210907
8441.015625	-48.315865
8484.082031	-48.191673
8527.148438	-48.459297
8570.214844	-48.805790
8613.281250	-48.033699
8656.347656	-47.994438
8699.414062	-48.528061
8742.480469	-48.929665
8785.546875	-48.532269
8828.613281	-48.649937
8871.679688	-48.805279
8914.746094	-48.984253
8957.812500	-48.961727
9000.878906	-48.744396
9043.945312	-48.980511
9087.011719	-48.829311
9130.078125	-49.078491
9173.144531	-49.048855
9216.210938	-48.978592
9259.277344	-48.864487
9302.343750	-49.447834
9345.410156	-49.594631
9388.476562	-49.817650
9431.542969	-50.109787
9474.609375	-50.344788
9517.675781	-50.195213
9560.742188	-49.775948
9603.808594	-49.577541
9646.875000	-49.901936
9689.941406	-50.196373
9733.007812	-50.003002
9776.074219	-49.941772
9819.140625	-50.092438
